,>ENST00000435433.1,>ENST00000467090.1,>ENST00000594224.1,>ENST00000433309.1,>ENST00000390382.3,>ENST00000448566.1,>ENST00000477729.1,>ENST00000427227.2,>ENST00000496294.1,>ENST00000509498.1,>ENST00000514804.1,>ENST00000328088.5,>ENST00000441346.1,>ENST00000608646.2,>ENST00000592921.1,>ENST00000506341.2,>ENST00000604049.1,>ENST00000436507.2,>ENST00000465083.1,>ENST00000433407.1,>ENST00000498412.1,>ENST00000580842.1,>ENST00000437956.1,>ENST00000388836.3,>ENST00000532686.5,>ENST00000531623.3
>ENST00000435433.1,0.0,9.0,11.0,11.0,10.0,13.0,8.0,12.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,13.0,12.0
>ENST00000467090.1,9.0,0.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,11.0,8.0,10.0,8.0,9.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,11.0,8.0,9.0,10.0,8.0
>ENST00000594224.1,11.0,9.0,0.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,12.0,8.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0
>ENST00000433309.1,11.0,10.0,11.0,0.0,8.0,9.0,10.0,11.0,12.0,9.0,9.0,12.0,10.0,11.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,11.0,10.0
>ENST00000390382.3,10.0,9.0,10.0,8.0,0.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0,11.0,8.0
>ENST00000448566.1,13.0,9.0,9.0,9.0,8.0,0.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0
>ENST00000477729.1,8.0,10.0,10.0,10.0,8.0,8.0,0.0,9.0,10.0,10.0,9.0,9.0,14.0,10.0,10.0,9.0,9.0,12.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0
>ENST00000427227.2,12.0,8.0,10.0,11.0,7.0,8.0,9.0,0.0,9.0,8.0,7.0,8.0,8.0,12.0,7.0,9.0,9.0,8.0,12.0,9.0,9.0,13.0,9.0,9.0,10.0,9.0
>ENST00000496294.1,10.0,9.0,10.0,12.0,8.0,10.0,10.0,9.0,0.0,9.0,7.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0
>ENST00000509498.1,11.0,11.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,0.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0
>ENST00000514804.1,9.0,8.0,9.0,9.0,9.0,8.0,9.0,7.0,7.0,9.0,0.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,8.0,8.0,11.0,10.0,12.0,9.0
>ENST00000328088.5,10.0,10.0,9.0,12.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,0.0,10.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,13.0,10.0
>ENST00000441346.1,9.0,8.0,10.0,10.0,9.0,10.0,14.0,8.0,11.0,9.0,9.0,10.0,0.0,8.0,8.0,10.0,11.0,11.0,10.0,8.0,10.0,10.0,9.0,10.0,11.0,8.0
>ENST00000608646.2,10.0,9.0,12.0,11.0,11.0,10.0,10.0,12.0,9.0,11.0,9.0,9.0,8.0,0.0,9.0,10.0,11.0,9.0,11.0,9.0,11.0,13.0,9.0,11.0,14.0,12.0
>ENST00000592921.1,8.0,7.0,8.0,9.0,9.0,9.0,10.0,7.0,8.0,9.0,8.0,12.0,8.0,9.0,0.0,10.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,9.0
>ENST00000506341.2,12.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,0.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,12.0,12.0
>ENST00000604049.1,9.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,11.0,9.0,9.0,0.0,11.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,11.0
>ENST00000436507.2,9.0,9.0,9.0,9.0,9.0,9.0,12.0,8.0,9.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,0.0,9.0,8.0,9.0,10.0,9.0,10.0,11.0,9.0
>ENST00000465083.1,9.0,8.0,11.0,10.0,8.0,10.0,8.0,12.0,8.0,10.0,9.0,10.0,10.0,11.0,8.0,9.0,8.0,9.0,0.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0
>ENST00000433407.1,9.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,11.0,10.0,8.0,9.0,9.0,11.0,7.0,8.0,8.0,0.0,8.0,9.0,8.0,9.0,8.0,10.0
>ENST00000498412.1,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,11.0,7.0,10.0,9.0,9.0,9.0,8.0,0.0,8.0,8.0,9.0,11.0,8.0
>ENST00000580842.1,11.0,11.0,10.0,12.0,9.0,9.0,10.0,13.0,10.0,9.0,8.0,10.0,10.0,13.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,0.0,9.0,10.0,11.0,13.0
>ENST00000437956.1,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,0.0,9.0,12.0,9.0
>ENST00000388836.3,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,0.0,12.0,10.0
>ENST00000532686.5,13.0,10.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,12.0,13.0,11.0,14.0,9.0,12.0,10.0,11.0,10.0,8.0,11.0,11.0,12.0,12.0,0.0,9.0
>ENST00000531623.3,12.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,12.0,9.0,12.0,11.0,9.0,9.0,10.0,8.0,13.0,9.0,10.0,9.0,0.0
