,>ENST00000403497.2,>ENST00000423238.1,>ENST00000409159.2,>ENST00000434773.1,>ENST00000412766.1,>ENST00000507455.1,>ENST00000604121.1,>ENST00000590314.1,>ENST00000513977.2,>ENST00000482834.1,>ENST00000623416.2,>ENST00000534002.1,>ENST00000431448.1,>ENST00000552027.1,>ENST00000475455.1,>ENST00000567704.5,>ENST00000382617.4,>ENST00000414121.1,>ENST00000533158.1,>ENST00000606962.1,>ENST00000400706.3,>ENST00000578296.1,>ENST00000395798.2,>ENST00000481845.1,>ENST00000489763.1,>ENST00000618904.1,>ENST00000417533.1,>ENST00000448881.5,>ENST00000485426.1,>ENST00000505250.2
>ENST00000403497.2,0.0,11.0,13.0,11.0,10.0,9.0,13.0,10.0,8.0,10.0,9.0,8.0,8.0,13.0,10.0,11.0,10.0,11.0,11.0,9.0,14.0,9.0,11.0,10.0,9.0,11.0,11.0,11.0,9.0,9.0
>ENST00000423238.1,11.0,0.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,12.0,9.0,11.0,9.0,10.0,9.0,12.0,9.0,11.0,9.0,11.0,11.0,10.0,12.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0
>ENST00000409159.2,13.0,9.0,0.0,11.0,10.0,8.0,10.0,9.0,10.0,14.0,9.0,8.0,8.0,10.0,11.0,12.0,9.0,10.0,9.0,9.0,13.0,9.0,11.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0
>ENST00000434773.1,11.0,11.0,11.0,0.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,12.0,12.0,12.0,13.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0
>ENST00000412766.1,10.0,9.0,10.0,11.0,0.0,11.0,8.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,8.0,10.0,11.0,11.0,11.0,9.0,9.0,9.0,10.0
>ENST00000507455.1,9.0,9.0,8.0,10.0,11.0,0.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0
>ENST00000604121.1,13.0,9.0,10.0,10.0,8.0,9.0,0.0,12.0,8.0,9.0,9.0,9.0,9.0,11.0,12.0,11.0,12.0,9.0,10.0,9.0,11.0,10.0,11.0,7.0,8.0,9.0,9.0,12.0,9.0,8.0
>ENST00000590314.1,10.0,9.0,9.0,10.0,11.0,10.0,12.0,0.0,8.0,10.0,9.0,8.0,8.0,10.0,9.0,11.0,11.0,9.0,8.0,9.0,10.0,7.0,9.0,7.0,10.0,9.0,7.0,10.0,10.0,11.0
>ENST00000513977.2,8.0,8.0,10.0,11.0,11.0,9.0,8.0,8.0,0.0,10.0,9.0,10.0,8.0,9.0,12.0,13.0,10.0,9.0,11.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0
>ENST00000482834.1,10.0,12.0,14.0,10.0,10.0,9.0,9.0,10.0,10.0,0.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,8.0,11.0,13.0,10.0,9.0,8.0,8.0,11.0,9.0,12.0,11.0,9.0
>ENST00000623416.2,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,0.0,11.0,9.0,9.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,13.0,9.0,9.0
>ENST00000534002.1,8.0,11.0,8.0,9.0,10.0,11.0,9.0,8.0,10.0,9.0,11.0,0.0,9.0,9.0,10.0,10.0,8.0,10.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,10.0,7.0,8.0
>ENST00000431448.1,8.0,9.0,8.0,12.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,0.0,8.0,10.0,9.0,13.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0
>ENST00000552027.1,13.0,10.0,10.0,12.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,8.0,0.0,9.0,12.0,11.0,9.0,11.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,11.0
>ENST00000475455.1,10.0,9.0,11.0,12.0,11.0,10.0,12.0,9.0,12.0,11.0,12.0,10.0,10.0,9.0,0.0,12.0,10.0,11.0,12.0,10.0,12.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,16.0,10.0
>ENST00000567704.5,11.0,12.0,12.0,13.0,11.0,10.0,11.0,11.0,13.0,11.0,10.0,10.0,9.0,12.0,12.0,0.0,11.0,11.0,10.0,11.0,14.0,11.0,11.0,8.0,10.0,11.0,12.0,12.0,11.0,11.0
>ENST00000382617.4,10.0,9.0,9.0,11.0,10.0,9.0,12.0,11.0,10.0,9.0,10.0,8.0,13.0,11.0,10.0,11.0,0.0,10.0,9.0,11.0,11.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,11.0,10.0
>ENST00000414121.1,11.0,11.0,10.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,0.0,10.0,11.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0
>ENST00000533158.1,11.0,9.0,9.0,12.0,9.0,9.0,10.0,8.0,11.0,8.0,9.0,7.0,11.0,11.0,12.0,10.0,9.0,10.0,0.0,9.0,11.0,9.0,10.0,8.0,9.0,11.0,9.0,11.0,10.0,9.0
>ENST00000606962.1,9.0,11.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,9.0,0.0,10.0,10.0,10.0,8.0,11.0,9.0,10.0,11.0,11.0,10.0
>ENST00000400706.3,14.0,11.0,13.0,11.0,11.0,9.0,11.0,10.0,10.0,13.0,10.0,9.0,9.0,10.0,12.0,14.0,11.0,11.0,11.0,10.0,0.0,12.0,15.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0
