,>ENST00000428093.1,>ENST00000484361.1,>ENST00000401937.3,>ENST00000449433.2,ENSG00000264445.1,>ENST00000603441.1,>ENST00000568775.2,>ENST00000412447.1,>ENST00000562515.2,>ENST00000624484.1,>ENST00000416139.1,>ENST00000491689.1,>ENST00000603931.1,>ENST00000454044.1,>ENST00000433683.1,>ENST00000613765.1,>ENST00000505444.1,>ENST00000559166.1,>ENST00000566754.1,>ENST00000404237.1,>ENST00000530288.1,>ENST00000434965.1,>ENST00000622650.1,>ENST00000616872.1,>ENST00000506026.1,>ENST00000520038.1,>ENST00000434574.1,>ENST00000434994.1,>ENST00000451805.2,>ENST00000411601.2,>ENST00000447093.1,>ENST00000513307.1,>ENST00000445144.1,>ENST00000489027.1,>ENST00000548895.1,>ENST00000452967.2,>ENST00000554393.2,>ENST00000517763.1,>ENST00000617262.1,>ENST00000424938.1,>ENST00000532177.1,>ENST00000418351.1,>ENST00000421698.3,>ENST00000569826.2,>ENST00000604756.1,>ENST00000590111.1,>ENST00000502317.1,>ENST00000425489.1,>ENST00000557330.1,>ENST00000450258.1,>ENST00000525489.1,>ENST00000397477.2,ENSG00000199313.1,>ENST00000613077.1,>ENST00000524091.1,>ENST00000444886.1
>ENST00000428093.1,0.0,9.0,10.0,10.0,7.0,9.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,11.0,10.0,8.0,11.0,10.0,9.0,10.0,11.0,8.0,9.0,10.0,10.0,11.0,10.0,8.0,7.0,13.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,13.0,7.0,9.0,9.0,11.0
>ENST00000484361.1,9.0,0.0,10.0,13.0,8.0,8.0,10.0,9.0,9.0,10.0,8.0,11.0,11.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,8.0,11.0,10.0,12.0,11.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,7.0,12.0,11.0,9.0,10.0,9.0,17.0,11.0,8.0,13.0,8.0,10.0,11.0,9.0,11.0,12.0,11.0,9.0,9.0,12.0,7.0,9.0,9.0,12.0
>ENST00000401937.3,10.0,10.0,0.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,12.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,12.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,10.0,8.0,10.0,7.0,10.0,9.0,10.0,8.0,9.0,11.0,13.0,9.0,7.0,10.0,12.0,7.0,9.0,10.0,11.0
>ENST00000449433.2,10.0,13.0,9.0,0.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,8.0,11.0,11.0,9.0,9.0,8.0,11.0,11.0,10.0,9.0,10.0,9.0,10.0,12.0,10.0,12.0,10.0,12.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,13.0,9.0,11.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,13.0,11.0
ENSG00000264445.1,7.0,8.0,8.0,9.0,0.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,6.0,8.0,10.0,9.0,7.0,8.0,6.0,9.0,8.0,8.0,7.0,6.0,9.0,6.0,9.0,7.0,5.0,7.0,7.0,8.0,9.0,7.0,7.0,8.0,9.0,7.0,6.0,8.0,6.0,8.0,7.0,9.0,6.0,8.0,7.0,8.0,8.0,6.0,7.0,8.0
>ENST00000603441.1,9.0,8.0,7.0,11.0,8.0,0.0,10.0,8.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,11.0,11.0,8.0,8.0,7.0,11.0,9.0,8.0,10.0,7.0,13.0,8.0,9.0,8.0,6.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,11.0,9.0,10.0,8.0,6.0,8.0,9.0
>ENST00000568775.2,8.0,10.0,9.0,9.0,8.0,10.0,0.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,13.0,9.0,7.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,7.0,8.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,6.0,7.0,9.0,12.0
>ENST00000412447.1,9.0,9.0,9.0,10.0,7.0,8.0,9.0,0.0,9.0,9.0,8.0,7.0,10.0,10.0,9.0,8.0,8.0,10.0,11.0,11.0,7.0,13.0,8.0,9.0,9.0,9.0,12.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0,11.0,8.0,10.0,11.0,9.0,11.0,9.0,12.0,9.0,9.0,9.0,10.0
>ENST00000562515.2,9.0,9.0,9.0,10.0,7.0,10.0,8.0,9.0,0.0,11.0,10.0,10.0,13.0,11.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,12.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,12.0,9.0,9.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0
>ENST00000624484.1,10.0,10.0,9.0,11.0,7.0,8.0,9.0,9.0,11.0,0.0,9.0,10.0,13.0,10.0,12.0,11.0,8.0,11.0,14.0,9.0,11.0,10.0,8.0,10.0,11.0,10.0,13.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,8.0,12.0,10.0,9.0,10.0,8.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0
