,>ENST00000510754.2,>ENST00000448722.1,>ENST00000471402.1,>ENST00000463987.1,>ENST00000578195.6,>ENST00000462177.1,>ENST00000554777.2,>ENST00000505115.1,>ENST00000443595.1,>ENST00000413558.1,>ENST00000524806.1,>ENST00000622260.1,>ENST00000496877.1,>ENST00000450217.2,>ENST00000511646.2,>ENST00000431743.1
>ENST00000510754.2,0.0,9.0,9.0,9.0,10.0,12.0,8.0,9.0,9.0,9.0,9.0,11.0,8.0,11.0,8.0,8.0
>ENST00000448722.1,9.0,0.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0
>ENST00000471402.1,9.0,9.0,0.0,9.0,11.0,12.0,8.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,8.0,10.0
>ENST00000463987.1,9.0,8.0,9.0,0.0,12.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,8.0,8.0
>ENST00000578195.6,10.0,10.0,11.0,12.0,0.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0
>ENST00000462177.1,12.0,9.0,12.0,10.0,11.0,0.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0
>ENST00000554777.2,8.0,10.0,8.0,9.0,11.0,9.0,0.0,10.0,10.0,8.0,10.0,11.0,9.0,9.0,8.0,9.0
>ENST00000505115.1,9.0,9.0,9.0,9.0,9.0,10.0,10.0,0.0,10.0,10.0,10.0,12.0,10.0,10.0,11.0,9.0
>ENST00000443595.1,9.0,8.0,10.0,8.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0
>ENST00000413558.1,9.0,11.0,11.0,9.0,10.0,11.0,8.0,10.0,10.0,0.0,10.0,10.0,10.0,9.0,9.0,11.0
>ENST00000524806.1,9.0,9.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,12.0,9.0,9.0,10.0
>ENST00000622260.1,11.0,10.0,9.0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,10.0,0.0,9.0,13.0,12.0,8.0
>ENST00000496877.1,8.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,12.0,9.0,0.0,10.0,9.0,10.0
>ENST00000450217.2,11.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,13.0,10.0,0.0,8.0,9.0
>ENST00000511646.2,8.0,9.0,8.0,8.0,9.0,9.0,8.0,11.0,9.0,9.0,9.0,12.0,9.0,8.0,0.0,7.0
>ENST00000431743.1,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,10.0,9.0,7.0,0.0
