,>ENST00000550979.1,>ENST00000558165.3,>ENST00000429864.1,>ENST00000449593.1,>ENST00000520084.1,>ENST00000525383.1,>ENST00000619824.1,>ENST00000510299.2,>ENSTR0000422618.6,>ENST00000438895.1,>ENST00000430476.1,>ENST00000463396.2,>ENST00000616924.2,>ENST00000564851.1,>ENST00000421970.2,>ENST00000474767.1,ENSG00000187559.5,>ENST00000437166.2,>ENST00000417774.1,>ENST00000515212.1,>ENST00000433123.2,>ENST00000407097.2,>ENST00000502742.2,>ENST00000479171.1,>ENST00000423244.1,>ENST00000526011.2,>ENST00000565277.2,>ENST00000485295.5,>ENST00000443421.1,>ENST00000509441.1,>ENST00000628958.1,>ENST00000411919.1,>ENST00000402643.2,>ENST00000532615.1,>ENST00000592770.1,ENSG00000281006.1,>ENST00000491826.2,>ENST00000451026.1,>ENST00000338192.10,>ENST00000490836.1,>ENST00000518393.1,>ENST00000604279.1,>ENST00000556917.1,>ENST00000585707.1,>ENST00000438726.2,>ENST00000523025.1,ENSG00000252073.1,>ENST00000407896.2,>ENST00000405864.1,>ENST00000402069.1,>ENST00000605447.1,>ENST00000505112.1,>ENST00000430133.1,>ENST00000588332.1,>ENST00000404566.2,>ENST00000396690.2,>ENST00000441469.1,>ENST00000418955.1,>ENST00000563143.2,>ENST00000438361.2,>ENST00000402555.2,>ENST00000455595.1,>ENST00000416270.2,>ENST00000425959.1,>ENST00000495256.1,>ENST00000453501.1,>ENST00000448432.1,>ENST00000548926.1,>ENST00000614592.4,>ENST00000513194.1
>ENST00000550979.1,0.0,10.0,8.0,7.0,10.0,8.0,7.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,7.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,6.0,8.0,8.0,7.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0,8.0,6.0,9.0,8.0,11.0,8.0,9.0,12.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,128.0,9.0,9.0,11.0,7.0,9.0,9.0,11.0,10.0,10.0,9.0
>ENST00000558165.3,10.0,0.0,12.0,9.0,10.0,9.0,9.0,12.0,8.0,9.0,10.0,10.0,15.0,9.0,11.0,11.0,11.0,9.0,8.0,10.0,12.0,12.0,10.0,10.0,11.0,11.0,11.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,12.0,11.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,14.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,10.0,13.0,11.0
>ENST00000429864.1,8.0,12.0,0.0,11.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,12.0,11.0,11.0,8.0,13.0,10.0,8.0,10.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,11.0,13.0,9.0,7.0,8.0,10.0,9.0,10.0,8.0,8.0,11.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,8.0,11.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,11.0,10.0,9.0,8.0,10.0,14.0,11.0
>ENST00000449593.1,7.0,9.0,11.0,0.0,7.0,7.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,7.0,8.0,10.0,7.0,12.0,10.0,8.0,11.0,9.0,12.0,8.0,8.0,13.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,10.0,10.0,11.0,7.0,8.0,11.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,30.0,10.0,10.0,9.0,10.0,9.0,10.0
>ENST00000520084.1,10.0,10.0,9.0,7.0,0.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,7.0,7.0,9.0,10.0,7.0,7.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,12.0,7.0,8.0,10.0,7.0,12.0,6.0,7.0,11.0,10.0,8.0,10.0,8.0,9.0,10.0,7.0,7.0,7.0,8.0,11.0,8.0,9.0,8.0,11.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,10.0,7.0,8.0,8.0,10.0,7.0,8.0,10.0
>ENST00000525383.1,8.0,9.0,10.0,7.0,8.0,0.0,7.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0,12.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,9.0,10.0,7.0,9.0,8.0,10.0,7.0,7.0,7.0,8.0,9.0,5.0,9.0,8.0,63.0,7.0,8.0,6.0,8.0,11.0,8.0,9.0,7.0,7.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,7.0,7.0,7.0,9.0,11.0
>ENST00000619824.1,7.0,9.0,8.0,10.0,9.0,7.0,0.0,9.0,7.0,8.0,7.0,8.0,9.0,10.0,9.0,10.0,11.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0,10.0,8.0,7.0,8.0,7.0,8.0,9.0,10.0,6.0,7.0,8.0,9.0,11.0,8.0,7.0,8.0,7.0,9.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,11.0,9.0,9.0
>ENST00000510299.2,9.0,12.0,10.0,9.0,8.0,8.0,9.0,0.0,10.0,8.0,8.0,10.0,10.0,9.0,8.0,10.0,12.0,9.0,8.0,13.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,7.0,10.0,9.0,12.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,13.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,8.0,10.0,11.0,11.0
>ENSTR0000422618.6,8.0,8.0,9.0,9.0,8.0,9.0,7.0,10.0,0.0,7.0,7.0,7.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,8.0,9.0,11.0,7.0,9.0,12.0,8.0,9.0,7.0,10.0,9.0,8.0,8.0,9.0,6.0,9.0,10.0,9.0,7.0,8.0,9.0,10.0,10.0,8.0,11.0,8.0,7.0,6.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,7.0,9.0,10.0,8.0,11.0
>ENST00000438895.1,8.0,9.0,10.0,8.0,7.0,8.0,8.0,8.0,7.0,0.0,6.0,7.0,9.0,10.0,7.0,9.0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,10.0,13.0,8.0,7.0,8.0,9.0,8.0,6.0,8.0,13.0,9.0,8.0,5.0,8.0,9.0,10.0,7.0,9.0,7.0,7.0,9.0,8.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,6.0,8.0,10.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,10.0,8.0,8.0,12.0,10.0,9.0
