,>ENST00000445460.1,>ENST00000577321.1,>ENST00000402588.6,>ENST00000489759.1,>ENST00000444451.1,>ENST00000593746.1,>ENST00000419418.1,>ENST00000478450.1,>ENST00000462572.1,>ENST00000331172.7,>ENST00000334716.3,>ENST00000431242.1,>ENST00000497178.1,>ENST00000534621.1,>ENST00000417666.1,>ENST00000603444.1,>ENST00000591842.1,>ENST00000379063.2,>ENST00000518264.1,>ENST00000514881.1,>ENST00000494974.1,>ENST00000525903.1,>ENST00000456203.1,>ENST00000415278.1,>ENST00000513809.1,ENSG00000169548.3,ENSG00000277556.1,>ENST00000414693.1,>ENST00000614203.1,>ENST00000511745.1,>ENST00000453253.1,ENSG00000174255.6,>ENST00000439643.1,>ENST00000467608.1
>ENST00000445460.1,0.0,6.0,10.0,10.0,9.0,8.0,7.0,8.0,9.0,8.0,8.0,10.0,7.0,9.0,11.0,8.0,10.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,11.0,7.0,8.0
>ENST00000577321.1,6.0,0.0,9.0,9.0,8.0,6.0,8.0,9.0,9.0,7.0,8.0,10.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,10.0,10.0,8.0,8.0,10.0,7.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0
>ENST00000402588.6,10.0,9.0,0.0,10.0,12.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,11.0,12.0
>ENST00000489759.1,10.0,9.0,10.0,0.0,10.0,9.0,10.0,8.0,11.0,11.0,11.0,12.0,11.0,9.0,11.0,9.0,11.0,13.0,12.0,13.0,12.0,9.0,11.0,11.0,9.0,127.0,9.0,10.0,10.0,11.0,26.0,11.0,8.0,10.0
>ENST00000444451.1,9.0,8.0,12.0,10.0,0.0,12.0,9.0,12.0,12.0,11.0,10.0,12.0,11.0,11.0,11.0,10.0,10.0,9.0,11.0,10.0,13.0,11.0,10.0,13.0,11.0,12.0,10.0,10.0,10.0,10.0,12.0,11.0,9.0,11.0
>ENST00000593746.1,8.0,6.0,9.0,9.0,12.0,0.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,10.0,13.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,8.0,8.0
>ENST00000419418.1,7.0,8.0,8.0,10.0,9.0,9.0,0.0,8.0,10.0,10.0,8.0,9.0,8.0,8.0,10.0,12.0,12.0,9.0,8.0,9.0,10.0,9.0,7.0,13.0,8.0,12.0,8.0,10.0,11.0,10.0,9.0,9.0,8.0,10.0
>ENST00000478450.1,8.0,9.0,8.0,8.0,12.0,8.0,8.0,0.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,7.0,9.0,10.0,11.0,9.0,8.0,9.0,7.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0
>ENST00000462572.1,9.0,9.0,9.0,11.0,12.0,9.0,10.0,9.0,0.0,10.0,10.0,11.0,11.0,10.0,12.0,10.0,11.0,10.0,12.0,11.0,12.0,9.0,8.0,11.0,9.0,13.0,10.0,9.0,12.0,10.0,10.0,11.0,10.0,10.0
>ENST00000331172.7,8.0,7.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,0.0,9.0,11.0,10.0,10.0,10.0,9.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0
>ENST00000334716.3,8.0,8.0,10.0,11.0,10.0,8.0,8.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,12.0,11.0,9.0,10.0,9.0,12.0,8.0,11.0,11.0,9.0,10.0,11.0,9.0,10.0,9.0,8.0
>ENST00000431242.1,10.0,10.0,9.0,12.0,12.0,10.0,9.0,11.0,11.0,11.0,10.0,0.0,13.0,10.0,12.0,10.0,13.0,10.0,16.0,13.0,12.0,11.0,8.0,11.0,11.0,13.0,11.0,10.0,13.0,12.0,11.0,14.0,9.0,10.0
>ENST00000497178.1,7.0,8.0,9.0,11.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,13.0,0.0,9.0,10.0,8.0,11.0,9.0,9.0,11.0,10.0,11.0,9.0,9.0,10.0,11.0,11.0,9.0,13.0,11.0,11.0,12.0,9.0,8.0
>ENST00000534621.1,9.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0,10.0,10.0,8.0,10.0,9.0,0.0,10.0,9.0,9.0,11.0,8.0,9.0,11.0,9.0,7.0,10.0,8.0,10.0,23.0,9.0,9.0,11.0,10.0,11.0,10.0,8.0
>ENST00000417666.1,11.0,8.0,10.0,11.0,11.0,10.0,10.0,9.0,12.0,10.0,9.0,12.0,10.0,10.0,0.0,9.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0,10.0,15.0,10.0,13.0,11.0,11.0,11.0,12.0,9.0,11.0
>ENST00000603444.1,8.0,7.0,9.0,9.0,10.0,8.0,12.0,7.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,0.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,11.0,9.0,9.0,11.0,11.0,9.0,11.0,8.0,8.0
>ENST00000591842.1,10.0,9.0,9.0,11.0,10.0,9.0,12.0,9.0,11.0,11.0,10.0,13.0,11.0,9.0,11.0,9.0,0.0,10.0,11.0,11.0,10.0,11.0,10.0,12.0,9.0,12.0,9.0,10.0,10.0,10.0,12.0,11.0,8.0,11.0
>ENST00000379063.2,8.0,8.0,9.0,13.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,0.0,11.0,11.0,9.0,10.0,8.0,11.0,9.0,11.0,10.0,11.0,11.0,12.0,11.0,12.0,10.0,8.0
>ENST00000518264.1,8.0,9.0,8.0,12.0,11.0,8.0,8.0,11.0,12.0,11.0,12.0,16.0,9.0,8.0,11.0,11.0,11.0,11.0,0.0,9.0,11.0,11.0,9.0,10.0,8.0,13.0,9.0,8.0,10.0,11.0,11.0,11.0,10.0,9.0
>ENST00000514881.1,8.0,10.0,10.0,13.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,13.0,11.0,9.0,10.0,10.0,11.0,11.0,9.0,0.0,9.0,10.0,9.0,10.0,9.0,13.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,10.0
>ENST00000494974.1,11.0,10.0,10.0,12.0,13.0,11.0,10.0,8.0,12.0,10.0,9.0,12.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,0.0,11.0,9.0,11.0,11.0,13.0,9.0,8.0,10.0,11.0,9.0,10.0,10.0,12.0
>ENST00000525903.1,8.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,0.0,9.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,14.0,14.0,9.0,10.0
>ENST00000456203.1,8.0,8.0,8.0,11.0,10.0,8.0,7.0,7.0,8.0,10.0,9.0,8.0,9.0,7.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,0.0,10.0,8.0,10.0,9.0,8.0,10.0,13.0,9.0,9.0,9.0,8.0
>ENST00000415278.1,9.0,10.0,10.0,11.0,13.0,10.0,13.0,11.0,11.0,12.0,12.0,11.0,9.0,10.0,11.0,9.0,12.0,11.0,10.0,10.0,11.0,12.0,10.0,0.0,12.0,12.0,12.0,9.0,13.0,10.0,9.0,12.0,9.0,10.0
>ENST00000513809.1,10.0,7.0,9.0,9.0,11.0,13.0,8.0,8.0,9.0,9.0,8.0,11.0,10.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,11.0,11.0,8.0,12.0,0.0,12.0,11.0,9.0,9.0,9.0,11.0,12.0,8.0,10.0
ENSG00000169548.3,10.0,9.0,11.0,127.0,12.0,10.0,12.0,10.0,13.0,11.0,11.0,13.0,11.0,10.0,15.0,11.0,12.0,11.0,13.0,13.0,13.0,11.0,10.0,12.0,12.0,0.0,12.0,10.0,11.0,12.0,16.0,18.0,11.0,11.0
ENSG00000277556.1,8.0,8.0,11.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,11.0,11.0,11.0,23.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,12.0,11.0,12.0,0.0,11.0,10.0,11.0,11.0,12.0,8.0,11.0
>ENST00000414693.1,8.0,7.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,13.0,9.0,10.0,11.0,8.0,11.0,8.0,10.0,8.0,9.0,9.0,10.0,11.0,0.0,9.0,9.0,9.0,11.0,8.0,10.0
>ENST00000614203.1,10.0,8.0,10.0,10.0,10.0,9.0,11.0,9.0,12.0,10.0,10.0,13.0,13.0,9.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,12.0,10.0,13.0,9.0,11.0,10.0,9.0,0.0,11.0,13.0,11.0,9.0,11.0
>ENST00000511745.1,9.0,8.0,10.0,11.0,10.0,8.0,10.0,10.0,10.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,12.0,11.0,12.0,11.0,10.0,13.0,10.0,9.0,12.0,11.0,9.0,11.0,0.0,12.0,13.0,8.0,9.0
>ENST00000453253.1,9.0,8.0,11.0,26.0,12.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,11.0,9.0,12.0,11.0,11.0,11.0,9.0,14.0,9.0,9.0,11.0,16.0,11.0,9.0,13.0,12.0,0.0,11.0,9.0,11.0
ENSG00000174255.6,11.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,11.0,11.0,10.0,14.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,10.0,10.0,14.0,9.0,12.0,12.0,18.0,12.0,11.0,11.0,13.0,11.0,0.0,10.0,10.0
>ENST00000439643.1,7.0,9.0,11.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,11.0,8.0,8.0,9.0,8.0,9.0,10.0,0.0,8.0
>ENST00000467608.1,8.0,7.0,12.0,10.0,11.0,8.0,10.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,11.0,8.0,11.0,8.0,9.0,10.0,12.0,10.0,8.0,10.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,10.0,8.0,0.0
