,ENSG00000199179.2,ENSG00000242182.3,ENSG00000240940.3,ENSG00000252739.1,ENSG00000201912.1,ENSG00000167612.12,ENSG00000207075.1,ENSG00000252569.1,ENSG00000199196.1,ENSG00000280314.1,ENSG00000212404.1,ENSG00000173868.11
ENSG00000199179.2,0.0,8.0,9.0,6.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,12.0
ENSG00000242182.3,8.0,0.0,36.0,7.0,7.0,10.0,5.0,8.0,9.0,9.0,7.0,11.0
ENSG00000240940.3,9.0,36.0,0.0,6.0,10.0,12.0,10.0,7.0,9.0,10.0,7.0,10.0
ENSG00000252739.1,6.0,7.0,6.0,0.0,7.0,10.0,6.0,5.0,6.0,8.0,7.0,10.0
ENSG00000201912.1,9.0,7.0,10.0,7.0,0.0,10.0,7.0,8.0,9.0,10.0,8.0,11.0
ENSG00000167612.12,8.0,10.0,12.0,10.0,10.0,0.0,9.0,9.0,8.0,13.0,9.0,15.0
ENSG00000207075.1,7.0,5.0,10.0,6.0,7.0,9.0,0.0,5.0,6.0,7.0,9.0,10.0
ENSG00000252569.1,8.0,8.0,7.0,5.0,8.0,9.0,5.0,0.0,6.0,8.0,7.0,9.0
ENSG00000199196.1,8.0,9.0,9.0,6.0,9.0,8.0,6.0,6.0,0.0,8.0,7.0,10.0
ENSG00000280314.1,8.0,9.0,10.0,8.0,10.0,13.0,7.0,8.0,8.0,0.0,8.0,10.0
ENSG00000212404.1,7.0,7.0,7.0,7.0,8.0,9.0,9.0,7.0,7.0,8.0,0.0,10.0
ENSG00000173868.11,12.0,11.0,10.0,10.0,11.0,15.0,10.0,9.0,10.0,10.0,10.0,0.0
