,>ENST00000594193.1,>ENST00000563644.2,>ENST00000468051.1,>ENST00000505780.1,>ENST00000452067.1,>ENST00000482744.1,>ENST00000406170.1,>ENST00000553761.1,>ENST00000466377.1,>ENST00000442115.1,ENSG00000202479.1,>ENST00000419720.1,>ENST00000424327.1,>ENST00000440031.1,>ENST00000514835.1,>ENST00000479840.1,>ENST00000430879.1,>ENST00000531898.5,>ENST00000488458.1,>ENST00000480396.1,>ENST00000448836.1,>ENST00000584447.1,>ENST00000613576.1,>ENST00000513870.1,>ENST00000615104.1,>ENST00000507315.1,>ENST00000418672.1,>ENST00000603297.1,>ENST00000465776.1,>ENST00000447545.1,>ENST00000563187.1,>ENST00000416133.1,>ENST00000424397.2
>ENST00000594193.1,0.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,14.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0
>ENST00000563644.2,8.0,0.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,14.0,9.0,11.0,8.0,9.0,7.0,8.0,9.0
>ENST00000468051.1,8.0,9.0,0.0,9.0,12.0,9.0,15.0,7.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,10.0,12.0,11.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,10.0,8.0
>ENST00000505780.1,8.0,10.0,9.0,0.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,13.0,9.0,8.0,8.0,9.0,12.0,8.0,11.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0
>ENST00000452067.1,9.0,10.0,12.0,9.0,0.0,10.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,13.0,10.0,11.0,12.0,8.0,10.0,10.0,8.0,15.0,10.0,9.0,10.0,9.0,8.0,12.0,9.0
>ENST00000482744.1,8.0,9.0,9.0,9.0,10.0,0.0,12.0,8.0,9.0,8.0,6.0,7.0,9.0,10.0,9.0,8.0,11.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,13.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0
>ENST00000406170.1,9.0,10.0,15.0,9.0,11.0,12.0,0.0,9.0,11.0,13.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,13.0,12.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0
>ENST00000553761.1,9.0,9.0,7.0,9.0,8.0,8.0,9.0,0.0,8.0,8.0,6.0,8.0,15.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,11.0,9.0
>ENST00000466377.1,8.0,9.0,10.0,10.0,10.0,9.0,11.0,8.0,0.0,9.0,9.0,10.0,9.0,9.0,10.0,12.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,11.0,8.0,9.0,325.0,10.0,10.0,10.0,9.0,11.0,8.0
>ENST00000442115.1,10.0,9.0,9.0,10.0,9.0,8.0,13.0,8.0,9.0,0.0,7.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0
ENSG00000202479.1,14.0,8.0,8.0,7.0,10.0,6.0,8.0,6.0,9.0,7.0,0.0,5.0,12.0,6.0,7.0,6.0,8.0,8.0,10.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,9.0,7.0,7.0,7.0,6.0,8.0,7.0
>ENST00000419720.1,7.0,9.0,10.0,8.0,10.0,7.0,10.0,8.0,10.0,8.0,5.0,0.0,9.0,7.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,11.0,8.0,9.0,8.0
>ENST00000424327.1,9.0,10.0,9.0,10.0,9.0,9.0,10.0,15.0,9.0,9.0,12.0,9.0,0.0,10.0,12.0,9.0,10.0,10.0,11.0,13.0,8.0,8.0,11.0,9.0,11.0,10.0,10.0,9.0,9.0,8.0,7.0,10.0,11.0
>ENST00000440031.1,8.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,6.0,7.0,10.0,0.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0
>ENST00000514835.1,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,12.0,8.0,0.0,9.0,10.0,11.0,11.0,8.0,8.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,7.0,11.0,11.0
>ENST00000479840.1,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,12.0,8.0,6.0,10.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,12.0,9.0,11.0,12.0,9.0,9.0,8.0
>ENST00000430879.1,9.0,8.0,10.0,9.0,11.0,11.0,11.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0,10.0,8.0,0.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
>ENST00000531898.5,9.0,9.0,12.0,10.0,13.0,11.0,13.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,9.0,10.0,0.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,15.0,10.0,11.0,10.0,11.0,11.0,11.0,9.0
>ENST00000488458.1,10.0,9.0,11.0,13.0,10.0,10.0,12.0,10.0,11.0,11.0,10.0,9.0,11.0,9.0,11.0,9.0,11.0,11.0,0.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0
>ENST00000480396.1,10.0,9.0,9.0,9.0,11.0,8.0,10.0,8.0,10.0,11.0,8.0,8.0,13.0,7.0,8.0,9.0,9.0,9.0,9.0,0.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0
>ENST00000448836.1,9.0,8.0,10.0,8.0,12.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,0.0,8.0,9.0,8.0,7.0,10.0,10.0,8.0,8.0,8.0,9.0,11.0,10.0
>ENST00000584447.1,10.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,7.0,8.0,8.0,7.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,0.0,9.0,9.0,7.0,10.0,8.0,7.0,9.0,8.0,7.0,11.0,10.0
>ENST00000613576.1,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,0.0,9.0,9.0,13.0,11.0,9.0,13.0,10.0,11.0,13.0,11.0
>ENST00000513870.1,8.0,8.0,9.0,12.0,10.0,9.0,10.0,8.0,11.0,10.0,7.0,8.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,0.0,9.0,11.0,10.0,9.0,10.0,12.0,7.0,12.0,8.0
>ENST00000615104.1,10.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,10.0,11.0,8.0,10.0,10.0,10.0,7.0,7.0,9.0,9.0,0.0,10.0,10.0,9.0,10.0,8.0,8.0,9.0,7.0
>ENST00000507315.1,9.0,14.0,10.0,11.0,15.0,13.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,15.0,11.0,10.0,10.0,10.0,13.0,11.0,10.0,0.0,9.0,10.0,10.0,12.0,8.0,10.0,10.0
>ENST00000418672.1,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,325.0,10.0,9.0,10.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,0.0,9.0,9.0,9.0,9.0,11.0,9.0
>ENST00000603297.1,10.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,7.0,11.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,8.0,7.0,9.0,9.0,9.0,10.0,9.0,0.0,10.0,10.0,8.0,9.0,8.0
>ENST00000465776.1,10.0,8.0,10.0,9.0,10.0,11.0,9.0,8.0,10.0,9.0,7.0,10.0,9.0,8.0,10.0,11.0,9.0,10.0,10.0,9.0,8.0,9.0,13.0,10.0,10.0,10.0,9.0,10.0,0.0,13.0,10.0,10.0,9.0
>ENST00000447545.1,8.0,9.0,9.0,11.0,9.0,9.0,10.0,8.0,10.0,9.0,7.0,11.0,8.0,8.0,9.0,12.0,8.0,11.0,9.0,8.0,8.0,8.0,10.0,12.0,8.0,12.0,9.0,10.0,13.0,0.0,10.0,10.0,8.0
>ENST00000563187.1,8.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,6.0,8.0,7.0,8.0,7.0,9.0,9.0,11.0,8.0,8.0,9.0,7.0,11.0,7.0,8.0,8.0,9.0,8.0,10.0,10.0,0.0,12.0,8.0
>ENST00000416133.1,9.0,8.0,10.0,9.0,12.0,9.0,11.0,11.0,11.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,13.0,12.0,9.0,10.0,11.0,9.0,10.0,10.0,12.0,0.0,10.0
>ENST00000424397.2,9.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,7.0,8.0,11.0,7.0,11.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,11.0,8.0,7.0,10.0,9.0,8.0,9.0,8.0,8.0,10.0,0.0
