,>ENST00000483777.2,>ENST00000504319.1,>ENST00000411782.2,>ENST00000464158.1,>ENST00000447135.2,>ENST00000429111.1,>ENST00000449851.1,>ENST00000418213.1,>ENST00000505816.1,>ENST00000560794.1,>ENST00000448052.1,>ENST00000479278.2,>ENST00000605028.1,>ENST00000503996.1,>ENST00000583846.1,>ENST00000407764.2,>ENST00000550917.1,ENSG00000277225.1,>ENST00000453431.1,>ENST00000503029.1,>ENST00000441166.1
>ENST00000483777.2,0.0,9.0,8.0,9.0,11.0,8.0,10.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,10.0,9.0
>ENST00000504319.1,9.0,0.0,8.0,9.0,12.0,9.0,11.0,11.0,9.0,10.0,10.0,7.0,8.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0
>ENST00000411782.2,8.0,8.0,0.0,7.0,9.0,12.0,8.0,10.0,8.0,9.0,10.0,7.0,7.0,9.0,7.0,8.0,13.0,7.0,8.0,10.0,8.0
>ENST00000464158.1,9.0,9.0,7.0,0.0,8.0,11.0,9.0,11.0,8.0,8.0,10.0,10.0,9.0,11.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0
>ENST00000447135.2,11.0,12.0,9.0,8.0,0.0,12.0,10.0,12.0,11.0,9.0,10.0,13.0,9.0,11.0,10.0,8.0,11.0,7.0,9.0,10.0,9.0
>ENST00000429111.1,8.0,9.0,12.0,11.0,12.0,0.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,12.0,11.0,8.0,9.0,10.0
>ENST00000449851.1,10.0,11.0,8.0,9.0,10.0,9.0,0.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0
>ENST00000418213.1,11.0,11.0,10.0,11.0,12.0,11.0,11.0,0.0,9.0,9.0,9.0,10.0,8.0,11.0,9.0,11.0,10.0,8.0,8.0,10.0,11.0
>ENST00000505816.1,9.0,9.0,8.0,8.0,11.0,9.0,9.0,9.0,0.0,10.0,8.0,7.0,8.0,10.0,7.0,8.0,10.0,6.0,8.0,11.0,8.0
>ENST00000560794.1,9.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,0.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,7.0,8.0,10.0,8.0
>ENST00000448052.1,8.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,0.0,8.0,8.0,10.0,7.0,9.0,10.0,10.0,8.0,10.0,9.0
>ENST00000479278.2,8.0,7.0,7.0,10.0,13.0,8.0,8.0,10.0,7.0,9.0,8.0,0.0,6.0,9.0,8.0,7.0,8.0,6.0,6.0,8.0,10.0
>ENST00000605028.1,8.0,8.0,7.0,9.0,9.0,9.0,10.0,8.0,8.0,7.0,8.0,6.0,0.0,8.0,7.0,6.0,10.0,5.0,8.0,9.0,9.0
>ENST00000503996.1,9.0,9.0,9.0,11.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,0.0,9.0,8.0,9.0,9.0,8.0,11.0,10.0
>ENST00000583846.1,8.0,10.0,7.0,8.0,10.0,9.0,9.0,9.0,7.0,8.0,7.0,8.0,7.0,9.0,0.0,6.0,8.0,7.0,6.0,10.0,8.0
>ENST00000407764.2,7.0,9.0,8.0,9.0,8.0,9.0,8.0,11.0,8.0,9.0,9.0,7.0,6.0,8.0,6.0,0.0,8.0,6.0,7.0,8.0,6.0
>ENST00000550917.1,9.0,10.0,13.0,10.0,11.0,12.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,8.0,0.0,7.0,9.0,10.0,10.0
ENSG00000277225.1,7.0,8.0,7.0,8.0,7.0,11.0,9.0,8.0,6.0,7.0,10.0,6.0,5.0,9.0,7.0,6.0,7.0,0.0,5.0,9.0,7.0
>ENST00000453431.1,8.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,7.0,9.0,5.0,0.0,9.0,8.0
>ENST00000503029.1,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,8.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,0.0,12.0
>ENST00000441166.1,9.0,9.0,8.0,8.0,9.0,10.0,8.0,11.0,8.0,8.0,9.0,10.0,9.0,10.0,8.0,6.0,10.0,7.0,8.0,12.0,0.0
