,ENSG00000212226.1,ENSG00000207863.1,ENSG00000206857.1,ENSG00000207862.1,ENSG00000251799.1,ENSG00000276197.1,ENSG00000282815.1,ENSG00000206845.1,ENSG00000207924.2,ENSG00000200687.1,ENSG00000239710.3,ENSG00000242764.3,ENSG00000201426.1,ENSG00000204033.9,ENSG00000280533.1,ENSG00000221019.1,ENSG00000228083.2,ENSG00000252806.1,ENSG00000186288.5,ENSG00000212084.2,ENSG00000207595.1
ENSG00000212226.1,0.0,5.0,34.0,7.0,5.0,5.0,9.0,46.0,6.0,6.0,6.0,8.0,8.0,10.0,11.0,6.0,9.0,6.0,9.0,6.0,7.0
ENSG00000207863.1,5.0,0.0,6.0,5.0,7.0,5.0,10.0,6.0,6.0,6.0,8.0,9.0,5.0,9.0,7.0,9.0,9.0,6.0,11.0,6.0,6.0
ENSG00000206857.1,34.0,6.0,0.0,6.0,6.0,5.0,10.0,47.0,6.0,5.0,6.0,7.0,7.0,9.0,9.0,7.0,7.0,5.0,8.0,6.0,6.0
ENSG00000207862.1,7.0,5.0,6.0,0.0,6.0,5.0,8.0,6.0,7.0,6.0,7.0,7.0,6.0,10.0,6.0,7.0,7.0,6.0,9.0,5.0,6.0
ENSG00000251799.1,5.0,7.0,6.0,6.0,0.0,7.0,9.0,6.0,6.0,6.0,7.0,8.0,20.0,8.0,11.0,7.0,8.0,6.0,9.0,9.0,6.0
ENSG00000276197.1,5.0,5.0,5.0,5.0,7.0,0.0,9.0,6.0,6.0,6.0,8.0,8.0,5.0,8.0,7.0,6.0,7.0,6.0,9.0,7.0,8.0
ENSG00000282815.1,9.0,10.0,10.0,8.0,9.0,9.0,0.0,8.0,9.0,8.0,10.0,11.0,8.0,13.0,21.0,10.0,12.0,11.0,12.0,9.0,10.0
ENSG00000206845.1,46.0,6.0,47.0,6.0,6.0,6.0,8.0,0.0,7.0,6.0,6.0,7.0,8.0,8.0,6.0,7.0,8.0,6.0,9.0,8.0,6.0
ENSG00000207924.2,6.0,6.0,6.0,7.0,6.0,6.0,9.0,7.0,0.0,7.0,8.0,8.0,7.0,9.0,7.0,6.0,9.0,7.0,9.0,6.0,8.0
ENSG00000200687.1,6.0,6.0,5.0,6.0,6.0,6.0,8.0,6.0,7.0,0.0,6.0,7.0,6.0,8.0,7.0,6.0,7.0,19.0,8.0,7.0,5.0
ENSG00000239710.3,6.0,8.0,6.0,7.0,7.0,8.0,10.0,6.0,8.0,6.0,0.0,38.0,7.0,13.0,13.0,6.0,10.0,6.0,10.0,7.0,8.0
ENSG00000242764.3,8.0,9.0,7.0,7.0,8.0,8.0,11.0,7.0,8.0,7.0,38.0,0.0,6.0,11.0,12.0,7.0,9.0,8.0,9.0,9.0,7.0
ENSG00000201426.1,8.0,5.0,7.0,6.0,20.0,5.0,8.0,8.0,7.0,6.0,7.0,6.0,0.0,8.0,6.0,7.0,10.0,6.0,10.0,7.0,6.0
ENSG00000204033.9,10.0,9.0,9.0,10.0,8.0,8.0,13.0,8.0,9.0,8.0,13.0,11.0,8.0,0.0,10.0,9.0,11.0,11.0,13.0,8.0,10.0
ENSG00000280533.1,11.0,7.0,9.0,6.0,11.0,7.0,21.0,6.0,7.0,7.0,13.0,12.0,6.0,10.0,0.0,9.0,12.0,7.0,9.0,9.0,6.0
ENSG00000221019.1,6.0,9.0,7.0,7.0,7.0,6.0,10.0,7.0,6.0,6.0,6.0,7.0,7.0,9.0,9.0,0.0,10.0,6.0,10.0,23.0,7.0
ENSG00000228083.2,9.0,9.0,7.0,7.0,8.0,7.0,12.0,8.0,9.0,7.0,10.0,9.0,10.0,11.0,12.0,10.0,0.0,11.0,13.0,9.0,10.0
ENSG00000252806.1,6.0,6.0,5.0,6.0,6.0,6.0,11.0,6.0,7.0,19.0,6.0,8.0,6.0,11.0,7.0,6.0,11.0,0.0,8.0,6.0,7.0
ENSG00000186288.5,9.0,11.0,8.0,9.0,9.0,9.0,12.0,9.0,9.0,8.0,10.0,9.0,10.0,13.0,9.0,10.0,13.0,8.0,0.0,8.0,8.0
ENSG00000212084.2,6.0,6.0,6.0,5.0,9.0,7.0,9.0,8.0,6.0,7.0,7.0,9.0,7.0,8.0,9.0,23.0,9.0,6.0,8.0,0.0,7.0
ENSG00000207595.1,7.0,6.0,6.0,6.0,6.0,8.0,10.0,6.0,8.0,5.0,8.0,7.0,6.0,10.0,6.0,7.0,10.0,7.0,8.0,7.0,0.0
