,>ENST00000471756.2,>ENST00000415778.1,>ENST00000550729.1,>ENST00000412169.1,ENSG00000121807.5,>ENST00000398120.6,>ENST00000449155.1,>ENST00000602085.1,>ENST00000424794.1,>ENST00000450682.1,>ENST00000568208.5,ENSG00000207473.1,>ENST00000417594.2
>ENST00000471756.2,0.0,10.0,9.0,12.0,12.0,13.0,13.0,10.0,10.0,9.0,9.0,8.0,10.0
>ENST00000415778.1,10.0,0.0,9.0,9.0,11.0,12.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0
>ENST00000550729.1,9.0,9.0,0.0,10.0,13.0,10.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0
>ENST00000412169.1,12.0,9.0,10.0,0.0,11.0,9.0,12.0,9.0,11.0,7.0,9.0,6.0,9.0
ENSG00000121807.5,12.0,11.0,13.0,11.0,0.0,11.0,13.0,12.0,10.0,10.0,11.0,10.0,12.0
>ENST00000398120.6,13.0,12.0,10.0,9.0,11.0,0.0,8.0,8.0,9.0,9.0,13.0,9.0,10.0
>ENST00000449155.1,13.0,11.0,9.0,12.0,13.0,8.0,0.0,9.0,9.0,12.0,9.0,7.0,11.0
>ENST00000602085.1,10.0,9.0,11.0,9.0,12.0,8.0,9.0,0.0,8.0,8.0,8.0,9.0,9.0
>ENST00000424794.1,10.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,0.0,8.0,10.0,9.0,9.0
>ENST00000450682.1,9.0,9.0,9.0,7.0,10.0,9.0,12.0,8.0,8.0,0.0,8.0,6.0,8.0
>ENST00000568208.5,9.0,10.0,10.0,9.0,11.0,13.0,9.0,8.0,10.0,8.0,0.0,9.0,11.0
ENSG00000207473.1,8.0,9.0,8.0,6.0,10.0,9.0,7.0,9.0,9.0,6.0,9.0,0.0,7.0
>ENST00000417594.2,10.0,10.0,9.0,9.0,12.0,10.0,11.0,9.0,9.0,8.0,11.0,7.0,0.0
