,>ENST00000441422.1,>ENST00000419323.1,>ENST00000554099.1,>ENST00000622901.1,>ENST00000594464.1,>ENST00000550751.1,>ENST00000441557.1,>ENST00000455130.1,>ENST00000399358.2,>ENST00000493579.1,>ENST00000604951.1,>ENST00000413596.1,>ENST00000578420.1,>ENST00000559021.2,>ENST00000507987.2,>ENST00000635032.1,>ENST00000505530.1,>ENST00000421583.1,>ENST00000505915.1,>ENST00000566950.1,>ENST00000368966.8,>ENST00000597126.1,>ENST00000463742.1,>ENST00000523462.1,>ENST00000532368.1,>ENST00000455244.2,ENSG00000251697.1,>ENST00000440206.1,>ENST00000540175.1,>ENST00000559691.1,>ENST00000487352.1,>ENST00000617479.1,>ENST00000562529.1,>ENST00000488133.1,>ENST00000429959.2,>ENST00000578659.1,>ENST00000444641.2,>ENST00000411980.1,>ENST00000467363.1,>ENST00000494640.1,>ENST00000532980.3,>ENST00000423483.1,>ENST00000511272.2,>ENST00000620719.1,>ENST00000508865.1,>ENST00000509726.2
>ENST00000441422.1,0.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,9.0,9.0,12.0,9.0,11.0,9.0,11.0,9.0,11.0,11.0,13.0,9.0,10.0,11.0,11.0,10.0,11.0,9.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,10.0,14.0,9.0,11.0,12.0,12.0,10.0,11.0,10.0
>ENST00000419323.1,11.0,0.0,11.0,10.0,11.0,10.0,9.0,8.0,10.0,11.0,10.0,8.0,10.0,8.0,10.0,8.0,12.0,10.0,9.0,8.0,12.0,9.0,11.0,11.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,11.0,10.0,18.0,11.0,11.0,10.0
>ENST00000554099.1,10.0,11.0,0.0,9.0,9.0,9.0,9.0,10.0,11.0,12.0,11.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,14.0,12.0,10.0,11.0,10.0,13.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0
>ENST00000622901.1,10.0,10.0,9.0,0.0,9.0,10.0,7.0,8.0,9.0,13.0,10.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,8.0,7.0,10.0,8.0,8.0,9.0,11.0,9.0,10.0,12.0,11.0,8.0,9.0,9.0,7.0,8.0,8.0,11.0,8.0,9.0,9.0,9.0,11.0,9.0,8.0,8.0,10.0,10.0
>ENST00000594464.1,10.0,11.0,9.0,9.0,0.0,8.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,10.0,11.0,10.0,13.0,11.0,9.0,11.0,9.0,11.0,9.0
>ENST00000550751.1,10.0,10.0,9.0,10.0,8.0,0.0,13.0,9.0,10.0,11.0,10.0,9.0,12.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,11.0,9.0,13.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,11.0,9.0,8.0,11.0,10.0,9.0,8.0,9.0,12.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0
>ENST00000441557.1,10.0,9.0,9.0,7.0,9.0,13.0,0.0,12.0,9.0,11.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,10.0,11.0,13.0,8.0,10.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,7.0,9.0,12.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0
>ENST00000455130.1,10.0,8.0,10.0,8.0,9.0,9.0,12.0,0.0,8.0,9.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,12.0,8.0,9.0,9.0,8.0,7.0,9.0,9.0,7.0,9.0,11.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,7.0,10.0,9.0,11.0,11.0,8.0,10.0,10.0,7.0,7.0
>ENST00000399358.2,11.0,10.0,11.0,9.0,9.0,10.0,9.0,8.0,0.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,8.0,11.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,12.0,10.0,11.0,9.0,14.0,9.0,12.0,9.0
>ENST00000493579.1,11.0,11.0,12.0,13.0,12.0,11.0,11.0,9.0,9.0,0.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,8.0,12.0,11.0,11.0,10.0,11.0,11.0,10.0,9.0,13.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,12.0,11.0,12.0,11.0,11.0,10.0,15.0,12.0,11.0,11.0
>ENST00000604951.1,9.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,0.0,13.0,10.0,8.0,10.0,10.0,11.0,10.0,8.0,8.0,11.0,10.0,12.0,9.0,9.0,10.0,8.0,11.0,9.0,7.0,9.0,7.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0
>ENST00000413596.1,10.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,13.0,0.0,10.0,11.0,12.0,9.0,9.0,8.0,10.0,7.0,10.0,8.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,13.0,11.0,10.0,11.0,9.0,10.0,10.0,12.0,12.0
>ENST00000578420.1,9.0,10.0,9.0,8.0,9.0,12.0,8.0,8.0,11.0,11.0,10.0,10.0,0.0,8.0,9.0,8.0,10.0,9.0,10.0,7.0,11.0,8.0,11.0,10.0,9.0,11.0,8.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,14.0,12.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0
>ENST00000559021.2,9.0,8.0,10.0,8.0,8.0,8.0,8.0,7.0,10.0,10.0,8.0,11.0,8.0,0.0,11.0,9.0,7.0,8.0,7.0,6.0,12.0,9.0,9.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,12.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0
>ENST00000507987.2,12.0,10.0,10.0,9.0,9.0,11.0,10.0,8.0,10.0,11.0,10.0,12.0,9.0,11.0,0.0,11.0,9.0,10.0,10.0,8.0,11.0,9.0,12.0,11.0,9.0,11.0,9.0,10.0,12.0,11.0,10.0,8.0,11.0,11.0,9.0,10.0,9.0,11.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,11.0
