,>ENST00000440402.1,>ENST00000416987.1,>ENST00000434317.1,ENSG00000199870.1,>ENST00000467527.1,ENSG00000239948.2,>ENST00000487023.2,>ENST00000437653.1,>ENST00000418459.1,>ENST00000405630.1,>ENST00000423117.1,>ENST00000379514.2,>ENST00000621564.1,>ENST00000433675.1,>ENST00000519790.1,>ENST00000456608.1,>ENST00000545941.2,>ENST00000439585.1,>ENST00000569492.1,ENSG00000243541.3,>ENST00000582031.1,>ENST00000440671.2,>ENST00000429037.2
>ENST00000440402.1,0.0,11.0,9.0,8.0,12.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,11.0,9.0,7.0,8.0,11.0,9.0
>ENST00000416987.1,11.0,0.0,9.0,7.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,7.0,11.0,10.0,10.0,9.0,10.0,9.0,8.0,7.0,10.0,9.0
>ENST00000434317.1,9.0,9.0,0.0,8.0,9.0,9.0,9.0,11.0,10.0,11.0,8.0,10.0,10.0,12.0,9.0,10.0,11.0,9.0,9.0,9.0,7.0,12.0,9.0
ENSG00000199870.1,8.0,7.0,8.0,0.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,8.0
>ENST00000467527.1,12.0,10.0,9.0,8.0,0.0,9.0,9.0,10.0,9.0,13.0,8.0,9.0,10.0,8.0,8.0,12.0,8.0,11.0,9.0,9.0,8.0,10.0,9.0
ENSG00000239948.2,8.0,9.0,9.0,7.0,9.0,0.0,8.0,8.0,10.0,8.0,8.0,7.0,7.0,9.0,10.0,9.0,8.0,8.0,9.0,42.0,8.0,12.0,10.0
>ENST00000487023.2,10.0,9.0,9.0,7.0,9.0,8.0,0.0,14.0,8.0,10.0,7.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0
>ENST00000437653.1,10.0,9.0,11.0,8.0,10.0,8.0,14.0,0.0,10.0,10.0,9.0,8.0,9.0,11.0,11.0,12.0,11.0,11.0,11.0,10.0,9.0,11.0,11.0
>ENST00000418459.1,9.0,10.0,10.0,8.0,9.0,10.0,8.0,10.0,0.0,10.0,7.0,8.0,10.0,11.0,8.0,10.0,10.0,11.0,9.0,9.0,8.0,11.0,10.0
>ENST00000405630.1,9.0,9.0,11.0,7.0,13.0,8.0,10.0,10.0,10.0,0.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0
>ENST00000423117.1,9.0,8.0,8.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0,0.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0
>ENST00000379514.2,10.0,10.0,10.0,7.0,9.0,7.0,11.0,8.0,8.0,8.0,7.0,0.0,10.0,7.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,13.0,10.0
>ENST00000621564.1,8.0,7.0,10.0,7.0,10.0,7.0,8.0,9.0,10.0,8.0,7.0,10.0,0.0,9.0,10.0,11.0,9.0,9.0,7.0,10.0,8.0,9.0,8.0
>ENST00000433675.1,9.0,11.0,12.0,7.0,8.0,9.0,9.0,11.0,11.0,9.0,7.0,7.0,9.0,0.0,9.0,10.0,12.0,10.0,8.0,11.0,8.0,11.0,10.0
>ENST00000519790.1,8.0,10.0,9.0,8.0,8.0,10.0,9.0,11.0,8.0,9.0,7.0,8.0,10.0,9.0,0.0,9.0,9.0,10.0,9.0,8.0,7.0,10.0,8.0
>ENST00000456608.1,10.0,10.0,10.0,8.0,12.0,9.0,9.0,12.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,0.0,10.0,11.0,9.0,9.0,9.0,12.0,10.0
>ENST00000545941.2,10.0,9.0,11.0,8.0,8.0,8.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,12.0,9.0,10.0,0.0,10.0,11.0,9.0,9.0,10.0,9.0
>ENST00000439585.1,11.0,10.0,9.0,8.0,11.0,8.0,10.0,11.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,0.0,10.0,9.0,10.0,12.0,9.0
>ENST00000569492.1,9.0,9.0,9.0,6.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,7.0,8.0,9.0,9.0,11.0,10.0,0.0,10.0,8.0,12.0,8.0
ENSG00000243541.3,7.0,8.0,9.0,8.0,9.0,42.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,0.0,8.0,9.0,10.0
>ENST00000582031.1,8.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,7.0,9.0,9.0,10.0,8.0,8.0,0.0,9.0,6.0
>ENST00000440671.2,11.0,10.0,12.0,8.0,10.0,12.0,9.0,11.0,11.0,11.0,9.0,13.0,9.0,11.0,10.0,12.0,10.0,12.0,12.0,9.0,9.0,0.0,11.0
>ENST00000429037.2,9.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,7.0,10.0,8.0,10.0,8.0,10.0,9.0,9.0,8.0,10.0,6.0,11.0,0.0
