,>ENST00000506751.2,>ENST00000574375.1,>ENST00000496669.1,>ENST00000529497.2,ENSG00000212559.1,>ENST00000422893.2,>ENST00000592968.1,>ENST00000570544.1,>ENST00000532561.1,>ENST00000505749.1,>ENST00000603168.3,>ENST00000427790.1,>ENST00000447059.5,>ENST00000514975.1,>ENST00000444055.1,>ENST00000523979.1,>ENST00000491091.1,>ENST00000441264.1,>ENST00000411687.1
>ENST00000506751.2,0.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0
>ENST00000574375.1,9.0,0.0,9.0,6.0,8.0,8.0,7.0,6.0,9.0,8.0,7.0,8.0,7.0,10.0,7.0,8.0,10.0,9.0,7.0
>ENST00000496669.1,11.0,9.0,0.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,15.0,11.0,10.0,8.0,10.0,10.0,11.0,9.0
>ENST00000529497.2,8.0,6.0,10.0,0.0,6.0,9.0,8.0,7.0,8.0,9.0,8.0,8.0,11.0,9.0,7.0,9.0,9.0,9.0,10.0
ENSG00000212559.1,10.0,8.0,9.0,6.0,0.0,8.0,8.0,9.0,9.0,7.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0
>ENST00000422893.2,10.0,8.0,9.0,9.0,8.0,0.0,8.0,7.0,10.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0
>ENST00000592968.1,9.0,7.0,9.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,10.0,9.0,11.0,10.0,7.0,8.0,9.0,9.0,8.0
>ENST00000570544.1,10.0,6.0,8.0,7.0,9.0,7.0,8.0,0.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,7.0
>ENST00000532561.1,10.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,0.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0
>ENST00000505749.1,10.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,11.0
>ENST00000603168.3,9.0,7.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,0.0,9.0,9.0,11.0,8.0,10.0,9.0,8.0,11.0
>ENST00000427790.1,9.0,8.0,15.0,8.0,7.0,8.0,9.0,9.0,10.0,8.0,9.0,0.0,8.0,10.0,9.0,8.0,11.0,9.0,11.0
>ENST00000447059.5,11.0,7.0,11.0,11.0,8.0,10.0,11.0,9.0,10.0,9.0,9.0,8.0,0.0,9.0,7.0,11.0,9.0,9.0,8.0
>ENST00000514975.1,11.0,10.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,11.0,10.0,9.0,0.0,11.0,10.0,11.0,11.0,11.0
>ENST00000444055.1,11.0,7.0,8.0,7.0,8.0,9.0,7.0,7.0,9.0,8.0,8.0,9.0,7.0,11.0,0.0,10.0,9.0,9.0,9.0
>ENST00000523979.1,11.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0,11.0,10.0,10.0,0.0,9.0,12.0,9.0
>ENST00000491091.1,11.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,0.0,10.0,10.0
>ENST00000441264.1,10.0,9.0,11.0,9.0,7.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,11.0,9.0,12.0,10.0,0.0,9.0
>ENST00000411687.1,11.0,7.0,9.0,10.0,8.0,9.0,8.0,7.0,9.0,11.0,11.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,0.0
