,>ENST00000503579.1,>ENST00000424588.2,>ENST00000495697.1,>ENST00000398851.7,>ENST00000565063.1,>ENST00000440265.1,>ENST00000628409.1,>ENST00000506662.2,>ENST00000461814.1,>ENST00000553568.1,>ENST00000407697.2,>ENST00000588528.1,>ENST00000396783.2,>ENST00000441060.2,>ENST00000603029.1,>ENST00000495947.1,>ENST00000453285.1,>ENST00000454070.2,ENSG00000238423.1,>ENST00000423237.1,>ENST00000595739.1,>ENST00000514817.2,>ENST00000416186.1,>ENST00000604667.1,>ENST00000452408.1,>ENST00000449849.2,>ENST00000406997.2,>ENST00000605015.1,>ENST00000619761.1,>ENST00000440278.2
>ENST00000503579.1,0.0,9.0,10.0,9.0,8.0,8.0,7.0,10.0,10.0,10.0,10.0,8.0,9.0,11.0,13.0,9.0,8.0,10.0,7.0,9.0,11.0,10.0,8.0,11.0,9.0,10.0,7.0,10.0,9.0,9.0
>ENST00000424588.2,9.0,0.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0
>ENST00000495697.1,10.0,9.0,0.0,10.0,9.0,9.0,7.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,7.0,12.0,9.0,11.0,11.0,11.0,13.0,10.0,8.0,9.0,10.0,10.0
>ENST00000398851.7,9.0,10.0,10.0,0.0,10.0,9.0,7.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,7.0,9.0,11.0,12.0,10.0,10.0,11.0,10.0,9.0,9.0,8.0,10.0
>ENST00000565063.1,8.0,10.0,9.0,10.0,0.0,9.0,7.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,7.0,9.0,10.0,10.0,8.0,11.0,10.0,10.0,10.0,8.0,7.0,10.0
>ENST00000440265.1,8.0,10.0,9.0,9.0,9.0,0.0,6.0,14.0,10.0,12.0,9.0,9.0,8.0,8.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,7.0,10.0
>ENST00000628409.1,7.0,8.0,7.0,7.0,7.0,6.0,0.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,7.0,10.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,7.0,7.0
>ENST00000506662.2,10.0,10.0,11.0,10.0,9.0,14.0,8.0,0.0,9.0,10.0,10.0,10.0,10.0,14.0,11.0,9.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,11.0,10.0,11.0,10.0,12.0,9.0,12.0
>ENST00000461814.1,10.0,10.0,10.0,12.0,10.0,10.0,8.0,9.0,0.0,9.0,8.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,13.0,8.0,9.0,8.0,9.0
>ENST00000553568.1,10.0,9.0,9.0,9.0,10.0,12.0,8.0,10.0,9.0,0.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,11.0,8.0
>ENST00000407697.2,10.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,0.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,7.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0
>ENST00000588528.1,8.0,11.0,9.0,10.0,10.0,9.0,6.0,10.0,8.0,10.0,9.0,0.0,8.0,7.0,10.0,9.0,10.0,10.0,7.0,10.0,7.0,9.0,8.0,12.0,9.0,10.0,8.0,8.0,7.0,9.0
>ENST00000396783.2,9.0,11.0,8.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,0.0,8.0,11.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0
