,ENSG00000201898.1,ENSG00000278814.1,ENSG00000242769.3,ENSG00000200153.1,ENSG00000221020.1,ENSG00000179855.5,ENSG00000201489.1,ENSG00000272469.2,ENSG00000201671.1,ENSG00000280654.1,ENSG00000253065.1,ENSG00000253063.1,ENSG00000271394.1,ENSG00000252427.1,ENSG00000276610.1,ENSG00000276737.1,ENSG00000201023.1,ENSG00000111664.10,ENSG00000201843.1,ENSG00000222467.1,ENSG00000200189.1,ENSG00000201474.1
ENSG00000201898.1,0.0,6.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,8.0,5.0,6.0,7.0,8.0,10.0,6.0,7.0,6.0
ENSG00000278814.1,6.0,0.0,7.0,5.0,13.0,8.0,7.0,7.0,6.0,5.0,8.0,6.0,7.0,7.0,6.0,5.0,7.0,10.0,5.0,5.0,8.0,7.0
ENSG00000242769.3,7.0,7.0,0.0,6.0,6.0,13.0,7.0,27.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,16.0,7.0,9.0,6.0,6.0
ENSG00000200153.1,7.0,5.0,6.0,0.0,5.0,11.0,6.0,7.0,7.0,5.0,5.0,24.0,7.0,6.0,6.0,4.0,6.0,10.0,5.0,6.0,48.0,44.0
ENSG00000221020.1,7.0,13.0,6.0,5.0,0.0,8.0,6.0,6.0,5.0,8.0,10.0,7.0,10.0,6.0,6.0,5.0,6.0,9.0,5.0,6.0,6.0,6.0
ENSG00000179855.5,8.0,8.0,13.0,11.0,8.0,0.0,10.0,13.0,11.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,8.0,94.0,10.0,8.0,9.0,10.0
ENSG00000201489.1,7.0,7.0,7.0,6.0,6.0,10.0,0.0,7.0,8.0,7.0,6.0,5.0,9.0,6.0,8.0,6.0,56.0,9.0,25.0,9.0,6.0,6.0
ENSG00000272469.2,7.0,7.0,27.0,7.0,6.0,13.0,7.0,0.0,9.0,6.0,6.0,6.0,8.0,7.0,6.0,7.0,6.0,15.0,7.0,7.0,8.0,7.0
ENSG00000201671.1,6.0,6.0,8.0,7.0,5.0,11.0,8.0,9.0,0.0,6.0,6.0,5.0,6.0,7.0,5.0,7.0,8.0,11.0,5.0,7.0,6.0,6.0
ENSG00000280654.1,6.0,5.0,6.0,5.0,8.0,8.0,7.0,6.0,6.0,0.0,7.0,5.0,8.0,5.0,6.0,5.0,7.0,12.0,7.0,9.0,6.0,7.0
ENSG00000253065.1,6.0,8.0,6.0,5.0,10.0,10.0,6.0,6.0,6.0,7.0,0.0,8.0,8.0,6.0,7.0,6.0,7.0,10.0,7.0,8.0,8.0,9.0
ENSG00000253063.1,7.0,6.0,6.0,24.0,7.0,8.0,5.0,6.0,5.0,5.0,8.0,0.0,6.0,7.0,6.0,5.0,5.0,9.0,7.0,6.0,24.0,29.0
ENSG00000271394.1,7.0,7.0,7.0,7.0,10.0,10.0,9.0,8.0,6.0,8.0,8.0,6.0,0.0,8.0,6.0,6.0,7.0,11.0,9.0,9.0,6.0,7.0
ENSG00000252427.1,8.0,7.0,6.0,6.0,6.0,9.0,6.0,7.0,7.0,5.0,6.0,7.0,8.0,0.0,8.0,6.0,7.0,8.0,7.0,5.0,6.0,6.0
ENSG00000276610.1,5.0,6.0,7.0,6.0,6.0,8.0,8.0,6.0,5.0,6.0,7.0,6.0,6.0,8.0,0.0,6.0,8.0,8.0,5.0,7.0,6.0,8.0
ENSG00000276737.1,6.0,5.0,7.0,4.0,5.0,9.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,6.0,6.0,0.0,7.0,9.0,6.0,5.0,6.0,6.0
ENSG00000201023.1,7.0,7.0,8.0,6.0,6.0,8.0,56.0,6.0,8.0,7.0,7.0,5.0,7.0,7.0,8.0,7.0,0.0,10.0,22.0,7.0,6.0,8.0
ENSG00000111664.10,8.0,10.0,16.0,10.0,9.0,94.0,9.0,15.0,11.0,12.0,10.0,9.0,11.0,8.0,8.0,9.0,10.0,0.0,9.0,9.0,9.0,9.0
ENSG00000201843.1,10.0,5.0,7.0,5.0,5.0,10.0,25.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,5.0,6.0,22.0,9.0,0.0,9.0,6.0,6.0
ENSG00000222467.1,6.0,5.0,9.0,6.0,6.0,8.0,9.0,7.0,7.0,9.0,8.0,6.0,9.0,5.0,7.0,5.0,7.0,9.0,9.0,0.0,7.0,6.0
ENSG00000200189.1,7.0,8.0,6.0,48.0,6.0,9.0,6.0,8.0,6.0,6.0,8.0,24.0,6.0,6.0,6.0,6.0,6.0,9.0,6.0,7.0,0.0,28.0
ENSG00000201474.1,6.0,7.0,6.0,44.0,6.0,10.0,6.0,7.0,6.0,7.0,9.0,29.0,7.0,6.0,8.0,6.0,8.0,9.0,6.0,6.0,28.0,0.0
