,>ENST00000447259.2,>ENST00000411983.1,>ENST00000531117.1,>ENST00000634073.1,ENSG00000183305.13,>ENST00000424993.1,ENSG00000252125.1,>ENST00000557707.1,>ENST00000536421.1,>ENST00000584353.1,>ENST00000443767.1,>ENST00000553684.2,>ENST00000517543.1,>ENST00000421987.1,>ENST00000502593.2,>ENST00000439492.1,>ENST00000441783.2,>ENST00000530632.1,>ENST00000265458.7,>ENST00000511386.1
>ENST00000447259.2,0.0,10.0,11.0,9.0,12.0,10.0,10.0,13.0,11.0,9.0,10.0,11.0,11.0,9.0,9.0,10.0,12.0,12.0,11.0,11.0
>ENST00000411983.1,10.0,0.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0
>ENST00000531117.1,11.0,9.0,0.0,8.0,11.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,12.0,11.0,11.0,9.0,9.0,11.0,10.0,11.0
>ENST00000634073.1,9.0,8.0,8.0,0.0,14.0,8.0,7.0,10.0,9.0,7.0,9.0,8.0,9.0,8.0,9.0,11.0,11.0,9.0,10.0,11.0
ENSG00000183305.13,12.0,10.0,11.0,14.0,0.0,11.0,9.0,11.0,10.0,10.0,14.0,10.0,13.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0
>ENST00000424993.1,10.0,9.0,11.0,8.0,11.0,0.0,9.0,11.0,9.0,8.0,11.0,13.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,10.0
ENSG00000252125.1,10.0,8.0,8.0,7.0,9.0,9.0,0.0,8.0,8.0,6.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0
>ENST00000557707.1,13.0,10.0,9.0,10.0,11.0,11.0,8.0,0.0,9.0,7.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0
>ENST00000536421.1,11.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,0.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,13.0,10.0,10.0
>ENST00000584353.1,9.0,7.0,9.0,7.0,10.0,8.0,6.0,7.0,8.0,0.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0
>ENST00000443767.1,10.0,9.0,10.0,9.0,14.0,11.0,7.0,11.0,11.0,9.0,0.0,9.0,10.0,11.0,11.0,10.0,11.0,12.0,12.0,10.0
>ENST00000553684.2,11.0,8.0,9.0,8.0,10.0,13.0,7.0,9.0,9.0,8.0,9.0,0.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0
>ENST00000517543.1,11.0,8.0,12.0,9.0,13.0,10.0,8.0,9.0,9.0,8.0,10.0,8.0,0.0,9.0,10.0,10.0,10.0,9.0,11.0,13.0
>ENST00000421987.1,9.0,9.0,11.0,8.0,10.0,11.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0
>ENST00000502593.2,9.0,10.0,11.0,9.0,12.0,11.0,9.0,9.0,10.0,7.0,11.0,9.0,10.0,10.0,0.0,11.0,10.0,12.0,10.0,11.0
>ENST00000439492.1,10.0,9.0,9.0,11.0,11.0,12.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,0.0,10.0,11.0,11.0,10.0
>ENST00000441783.2,12.0,9.0,9.0,11.0,11.0,11.0,8.0,9.0,9.0,8.0,11.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,12.0,10.0
>ENST00000530632.1,12.0,11.0,11.0,9.0,11.0,9.0,8.0,9.0,13.0,9.0,12.0,9.0,9.0,10.0,12.0,11.0,10.0,0.0,10.0,9.0
>ENST00000265458.7,11.0,9.0,10.0,10.0,11.0,10.0,8.0,10.0,10.0,9.0,12.0,10.0,11.0,10.0,10.0,11.0,12.0,10.0,0.0,10.0
>ENST00000511386.1,11.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,13.0,9.0,11.0,10.0,10.0,9.0,10.0,0.0
