,ENSG00000216195.3,>ENST00000489014.2,>ENST00000534760.1,>ENST00000425399.1,>ENST00000445440.1,>ENST00000432407.1,>ENST00000496103.1,>ENST00000418575.1,ENSG00000199436.1,>ENST00000549284.2,>ENST00000431580.1,>ENST00000433335.1,>ENST00000531666.1,>ENST00000425131.1,>ENST00000556632.1
ENSG00000216195.3,0.0,8.0,8.0,7.0,9.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0,9.0,8.0
>ENST00000489014.2,8.0,0.0,8.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,10.0
>ENST00000534760.1,8.0,8.0,0.0,10.0,12.0,9.0,9.0,8.0,7.0,10.0,9.0,10.0,8.0,10.0,10.0
>ENST00000425399.1,7.0,11.0,10.0,0.0,11.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0
>ENST00000445440.1,9.0,9.0,12.0,11.0,0.0,10.0,10.0,11.0,8.0,12.0,11.0,9.0,11.0,9.0,10.0
>ENST00000432407.1,6.0,9.0,9.0,8.0,10.0,0.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0
>ENST00000496103.1,6.0,8.0,9.0,9.0,10.0,8.0,0.0,9.0,6.0,9.0,9.0,12.0,8.0,6.0,8.0
>ENST00000418575.1,7.0,9.0,8.0,9.0,11.0,10.0,9.0,0.0,8.0,10.0,10.0,10.0,9.0,10.0,8.0
ENSG00000199436.1,5.0,8.0,7.0,8.0,8.0,9.0,6.0,8.0,0.0,8.0,8.0,10.0,8.0,6.0,7.0
>ENST00000549284.2,6.0,10.0,10.0,9.0,12.0,8.0,9.0,10.0,8.0,0.0,11.0,9.0,9.0,8.0,10.0
>ENST00000431580.1,6.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,11.0,0.0,9.0,11.0,9.0,9.0
>ENST00000433335.1,6.0,10.0,10.0,9.0,9.0,9.0,12.0,10.0,10.0,9.0,9.0,0.0,10.0,8.0,9.0
>ENST00000531666.1,6.0,8.0,8.0,10.0,11.0,9.0,8.0,9.0,8.0,9.0,11.0,10.0,0.0,8.0,9.0
>ENST00000425131.1,9.0,9.0,10.0,10.0,9.0,8.0,6.0,10.0,6.0,8.0,9.0,8.0,8.0,0.0,8.0
>ENST00000556632.1,8.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,7.0,10.0,9.0,9.0,9.0,8.0,0.0
