,>ENST00000446214.1,ENSG00000153443.12,ENSG00000216027.1,ENSG00000238498.1,>ENST00000515228.1
>ENST00000446214.1,0.0,11.0,8.0,9.0,9.0
ENSG00000153443.12,11.0,0.0,9.0,11.0,10.0
ENSG00000216027.1,8.0,9.0,0.0,6.0,8.0
ENSG00000238498.1,9.0,11.0,6.0,0.0,7.0
>ENST00000515228.1,9.0,10.0,8.0,7.0,0.0
