,>ENST00000616149.1,>ENST00000605196.1,>ENST00000619152.1,>ENST00000437690.1,>ENST00000455196.1,>ENST00000428275.1,>ENST00000496833.1,>ENST00000480493.1,>ENST00000546432.1,>ENST00000473404.2
>ENST00000616149.1,0.0,9.0,9.0,8.0,10.0,8.0,8.0,10.0,9.0,9.0
>ENST00000605196.1,9.0,0.0,11.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0
>ENST00000619152.1,9.0,11.0,0.0,13.0,9.0,11.0,9.0,13.0,12.0,10.0
>ENST00000437690.1,8.0,8.0,13.0,0.0,8.0,9.0,8.0,10.0,8.0,8.0
>ENST00000455196.1,10.0,10.0,9.0,8.0,0.0,11.0,8.0,12.0,11.0,9.0
>ENST00000428275.1,8.0,10.0,11.0,9.0,11.0,0.0,10.0,9.0,9.0,8.0
>ENST00000496833.1,8.0,8.0,9.0,8.0,8.0,10.0,0.0,9.0,9.0,7.0
>ENST00000480493.1,10.0,9.0,13.0,10.0,12.0,9.0,9.0,0.0,9.0,10.0
>ENST00000546432.1,9.0,9.0,12.0,8.0,11.0,9.0,9.0,9.0,0.0,10.0
>ENST00000473404.2,9.0,8.0,10.0,8.0,9.0,8.0,7.0,10.0,10.0,0.0
