,>ENST00000505001.2,>ENST00000416198.1,>ENST00000624868.1,>ENST00000440661.1,>ENST00000517907.1,>ENST00000447946.1,>ENST00000444785.1,>ENST00000447438.1,>ENST00000533551.5,>ENST00000468281.1,>ENST00000421389.1,>ENST00000522047.1,>ENST00000507410.1,>ENST00000436455.1,>ENST00000512377.1,>ENST00000440982.1,>ENST00000413027.1,ENSG00000158887.15,ENSG00000252326.1,ENSG00000171489.10,>ENST00000588959.1,>ENST00000434913.1,>ENST00000406712.1,>ENST00000612348.1,>ENST00000402374.1,ENSG00000252135.1,>ENST00000413105.1,ENSG00000243260.3,>ENST00000420496.3,>ENST00000605342.1,>ENST00000520239.1,>ENST00000611097.1,ENSG00000222067.1,>ENST00000571388.1
>ENST00000505001.2,0.0,9.0,10.0,9.0,11.0,13.0,10.0,11.0,11.0,9.0,11.0,11.0,11.0,10.0,9.0,10.0,10.0,15.0,8.0,13.0,12.0,9.0,11.0,15.0,11.0,8.0,10.0,9.0,10.0,10.0,11.0,11.0,12.0,10.0
>ENST00000416198.1,9.0,0.0,10.0,7.0,8.0,8.0,9.0,8.0,7.0,11.0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,11.0,8.0,11.0,8.0,9.0,10.0,13.0,8.0,9.0,8.0,7.0,11.0,6.0,9.0,8.0,8.0,7.0
>ENST00000624868.1,10.0,10.0,0.0,10.0,9.0,12.0,9.0,11.0,10.0,11.0,11.0,9.0,11.0,9.0,9.0,9.0,11.0,12.0,9.0,11.0,8.0,10.0,10.0,13.0,11.0,8.0,10.0,9.0,12.0,10.0,10.0,11.0,8.0,10.0
>ENST00000440661.1,9.0,7.0,10.0,0.0,8.0,10.0,8.0,11.0,9.0,7.0,7.0,9.0,11.0,9.0,10.0,9.0,8.0,11.0,6.0,8.0,11.0,7.0,9.0,11.0,9.0,11.0,9.0,7.0,8.0,8.0,8.0,11.0,7.0,8.0
>ENST00000517907.1,11.0,8.0,9.0,8.0,0.0,8.0,8.0,10.0,8.0,7.0,8.0,9.0,9.0,7.0,9.0,12.0,9.0,11.0,7.0,10.0,8.0,8.0,9.0,10.0,11.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,7.0,8.0
>ENST00000447946.1,13.0,8.0,12.0,10.0,8.0,0.0,8.0,12.0,12.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,11.0,11.0,7.0,13.0,8.0,8.0,10.0,12.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0
>ENST00000444785.1,10.0,9.0,9.0,8.0,8.0,8.0,0.0,12.0,9.0,8.0,6.0,8.0,8.0,7.0,9.0,9.0,10.0,10.0,5.0,10.0,9.0,8.0,8.0,10.0,8.0,7.0,7.0,7.0,10.0,7.0,9.0,10.0,7.0,7.0
>ENST00000447438.1,11.0,8.0,11.0,11.0,10.0,12.0,12.0,0.0,11.0,10.0,8.0,11.0,9.0,8.0,10.0,9.0,12.0,10.0,7.0,11.0,8.0,10.0,10.0,12.0,10.0,8.0,8.0,10.0,9.0,11.0,12.0,12.0,9.0,9.0
>ENST00000533551.5,11.0,7.0,10.0,9.0,8.0,12.0,9.0,11.0,0.0,9.0,8.0,9.0,11.0,8.0,9.0,11.0,11.0,12.0,9.0,12.0,8.0,10.0,10.0,12.0,9.0,9.0,10.0,7.0,12.0,8.0,9.0,10.0,8.0,11.0
>ENST00000468281.1,9.0,11.0,11.0,7.0,7.0,9.0,8.0,10.0,9.0,0.0,7.0,9.0,10.0,9.0,9.0,10.0,11.0,11.0,9.0,12.0,9.0,10.0,11.0,11.0,11.0,8.0,8.0,11.0,11.0,11.0,10.0,9.0,8.0,8.0
>ENST00000421389.1,11.0,7.0,11.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,0.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,6.0,10.0,8.0,8.0,9.0,11.0,10.0,6.0,8.0,7.0,11.0,8.0,8.0,9.0,8.0,10.0
>ENST00000522047.1,11.0,9.0,9.0,9.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,0.0,9.0,8.0,8.0,9.0,12.0,9.0,8.0,10.0,8.0,9.0,202.0,14.0,10.0,7.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0
>ENST00000507410.1,11.0,10.0,11.0,11.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,9.0,0.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0,12.0,13.0,14.0,11.0,9.0,10.0,12.0,11.0,10.0,9.0,10.0,10.0,10.0
>ENST00000436455.1,10.0,7.0,9.0,9.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,10.0,0.0,10.0,8.0,10.0,11.0,8.0,12.0,9.0,8.0,9.0,13.0,9.0,9.0,9.0,8.0,9.0,7.0,10.0,9.0,8.0,9.0
>ENST00000512377.1,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,0.0,10.0,9.0,24.0,8.0,23.0,9.0,9.0,10.0,13.0,11.0,7.0,8.0,28.0,9.0,8.0,9.0,8.0,12.0,9.0
>ENST00000440982.1,10.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,8.0,10.0,0.0,11.0,11.0,8.0,11.0,9.0,10.0,10.0,12.0,10.0,8.0,10.0,8.0,10.0,9.0,10.0,13.0,8.0,8.0
>ENST00000413027.1,10.0,8.0,11.0,8.0,9.0,11.0,10.0,12.0,11.0,11.0,10.0,12.0,10.0,10.0,9.0,11.0,0.0,11.0,9.0,12.0,8.0,9.0,10.0,16.0,10.0,8.0,14.0,9.0,11.0,12.0,11.0,10.0,8.0,11.0
ENSG00000158887.15,15.0,11.0,12.0,11.0,11.0,11.0,10.0,10.0,12.0,11.0,10.0,9.0,12.0,11.0,24.0,11.0,11.0,0.0,9.0,25.0,11.0,10.0,12.0,14.0,12.0,11.0,12.0,13.0,11.0,11.0,11.0,12.0,15.0,12.0
ENSG00000252326.1,8.0,8.0,9.0,6.0,7.0,7.0,5.0,7.0,9.0,9.0,6.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,0.0,8.0,7.0,8.0,8.0,11.0,8.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,6.0,5.0
ENSG00000171489.10,13.0,11.0,11.0,8.0,10.0,13.0,10.0,11.0,12.0,12.0,10.0,10.0,12.0,12.0,23.0,11.0,12.0,25.0,8.0,0.0,11.0,11.0,11.0,14.0,12.0,10.0,10.0,22.0,12.0,11.0,12.0,10.0,25.0,9.0
>ENST00000588959.1,12.0,8.0,8.0,11.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,11.0,7.0,11.0,0.0,8.0,9.0,12.0,10.0,7.0,7.0,9.0,9.0,7.0,9.0,6.0,7.0,8.0
>ENST00000434913.1,9.0,9.0,10.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0,8.0,9.0,12.0,8.0,9.0,10.0,9.0,10.0,8.0,11.0,8.0,0.0,9.0,11.0,10.0,8.0,10.0,8.0,11.0,7.0,9.0,11.0,11.0,12.0
>ENST00000406712.1,11.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,202.0,13.0,9.0,10.0,10.0,10.0,12.0,8.0,11.0,9.0,9.0,0.0,13.0,9.0,7.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0
>ENST00000612348.1,15.0,13.0,13.0,11.0,10.0,12.0,10.0,12.0,12.0,11.0,11.0,14.0,14.0,13.0,13.0,12.0,16.0,14.0,11.0,14.0,12.0,11.0,13.0,0.0,14.0,11.0,11.0,10.0,12.0,10.0,12.0,11.0,14.0,12.0
>ENST00000402374.1,11.0,8.0,11.0,9.0,11.0,10.0,8.0,10.0,9.0,11.0,10.0,10.0,11.0,9.0,11.0,10.0,10.0,12.0,8.0,12.0,10.0,10.0,9.0,14.0,0.0,10.0,9.0,11.0,11.0,12.0,10.0,10.0,11.0,9.0
ENSG00000252135.1,8.0,9.0,8.0,11.0,7.0,9.0,7.0,8.0,9.0,8.0,6.0,7.0,9.0,9.0,7.0,8.0,8.0,11.0,6.0,10.0,7.0,8.0,7.0,11.0,10.0,0.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0
>ENST00000413105.1,10.0,8.0,10.0,9.0,9.0,8.0,7.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,14.0,12.0,8.0,10.0,7.0,10.0,9.0,11.0,9.0,8.0,0.0,8.0,10.0,8.0,13.0,9.0,8.0,10.0
ENSG00000243260.3,9.0,7.0,9.0,7.0,9.0,10.0,7.0,10.0,7.0,11.0,7.0,10.0,12.0,8.0,28.0,8.0,9.0,13.0,7.0,22.0,9.0,8.0,10.0,10.0,11.0,8.0,8.0,0.0,12.0,8.0,9.0,8.0,7.0,9.0
>ENST00000420496.3,10.0,11.0,12.0,8.0,10.0,9.0,10.0,9.0,12.0,11.0,11.0,11.0,11.0,9.0,9.0,10.0,11.0,11.0,8.0,12.0,9.0,11.0,10.0,12.0,11.0,8.0,10.0,12.0,0.0,9.0,10.0,9.0,9.0,9.0
>ENST00000605342.1,10.0,6.0,10.0,8.0,9.0,8.0,7.0,11.0,8.0,11.0,8.0,9.0,10.0,7.0,8.0,9.0,12.0,11.0,7.0,11.0,7.0,7.0,8.0,10.0,12.0,7.0,8.0,8.0,9.0,0.0,9.0,7.0,7.0,9.0
>ENST00000520239.1,11.0,9.0,10.0,8.0,8.0,8.0,9.0,12.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,8.0,12.0,9.0,9.0,10.0,12.0,10.0,8.0,13.0,9.0,10.0,9.0,0.0,8.0,9.0,9.0
>ENST00000611097.1,11.0,8.0,11.0,11.0,10.0,9.0,10.0,12.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,13.0,10.0,12.0,7.0,10.0,6.0,11.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,7.0,8.0,0.0,8.0,8.0
ENSG00000222067.1,12.0,8.0,8.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,12.0,8.0,8.0,15.0,6.0,25.0,7.0,11.0,9.0,14.0,11.0,7.0,8.0,7.0,9.0,7.0,9.0,8.0,0.0,7.0
>ENST00000571388.1,10.0,7.0,10.0,8.0,8.0,9.0,7.0,9.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,11.0,12.0,5.0,9.0,8.0,12.0,9.0,12.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,0.0
