,>ENST00000435134.2,>ENST00000514461.1,>ENST00000422630.1,ENSG00000171204.12
>ENST00000435134.2,0.0,11.0,7.0,11.0
>ENST00000514461.1,11.0,0.0,9.0,13.0
>ENST00000422630.1,7.0,9.0,0.0,12.0
ENSG00000171204.12,11.0,13.0,12.0,0.0
