,>ENST00000505798.2,>ENST00000457640.1,ENSG00000212607.1,>ENST00000457612.2,>ENST00000604823.1,>ENST00000432400.1,>ENST00000418624.1,>ENST00000506094.1,>ENST00000409072.3,>ENST00000519282.1,ENSG00000200857.1,>ENST00000477230.1,>ENST00000621695.1,>ENST00000413158.1,>ENST00000605063.1,>ENST00000513481.1,>ENST00000333235.3,>ENST00000483479.1,>ENST00000426370.1,>ENST00000552666.1,>ENST00000533883.1,>ENST00000427568.1,>ENST00000504372.1,>ENST00000600975.1,>ENST00000426199.1,>ENST00000449885.1,>ENST00000454528.1,>ENST00000321498.5,>ENST00000454924.1,>ENSTR0000421233.6
>ENST00000505798.2,0.0,9.0,7.0,11.0,10.0,9.0,8.0,12.0,10.0,11.0,8.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,7.0,9.0,10.0,8.0,10.0,8.0
>ENST00000457640.1,9.0,0.0,8.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,8.0,10.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,8.0,11.0,8.0,10.0,10.0
ENSG00000212607.1,7.0,8.0,0.0,8.0,10.0,7.0,8.0,9.0,9.0,8.0,6.0,7.0,6.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,7.0,7.0,10.0,7.0,9.0,7.0
>ENST00000457612.2,11.0,9.0,8.0,0.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,11.0,11.0,11.0,9.0,10.0,12.0,8.0,11.0,9.0,8.0,10.0,8.0,9.0,9.0,12.0,10.0
>ENST00000604823.1,10.0,10.0,10.0,10.0,0.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,12.0,10.0,11.0,9.0,8.0,9.0,11.0,11.0,9.0,10.0,10.0
>ENST00000432400.1,9.0,10.0,7.0,10.0,8.0,0.0,7.0,9.0,8.0,10.0,7.0,8.0,8.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,12.0,7.0,8.0,9.0,9.0,7.0,10.0,9.0
>ENST00000418624.1,8.0,11.0,8.0,9.0,10.0,7.0,0.0,9.0,8.0,9.0,8.0,8.0,7.0,10.0,10.0,9.0,11.0,10.0,10.0,8.0,8.0,9.0,7.0,10.0,10.0,7.0,10.0,10.0,11.0,8.0
>ENST00000506094.1,12.0,10.0,9.0,10.0,10.0,9.0,9.0,0.0,12.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,13.0,11.0,9.0,10.0,10.0,10.0,10.0,12.0,8.0,9.0,10.0,9.0,9.0,10.0
>ENST00000409072.3,10.0,10.0,9.0,10.0,9.0,8.0,8.0,12.0,0.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,11.0,12.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0
>ENST00000519282.1,11.0,10.0,8.0,9.0,10.0,10.0,9.0,11.0,11.0,0.0,7.0,10.0,9.0,11.0,11.0,10.0,12.0,11.0,12.0,9.0,8.0,13.0,11.0,11.0,9.0,12.0,11.0,9.0,11.0,10.0
