,>ENST00000438196.2,>ENST00000606775.2,>ENST00000528671.1,>ENST00000484240.1,>ENST00000411449.1,>ENST00000603743.1,>ENST00000599388.2,>ENST00000486594.1,>ENST00000480924.3,>ENST00000407852.2,>ENST00000412705.1,>ENST00000407196.1,>ENST00000535885.1,>ENST00000437667.1,>ENST00000482276.1,>ENST00000566277.2,>ENST00000406156.2,>ENST00000392009.3,>ENST00000612210.1,>ENST00000540396.1,ENSG00000274755.1,>ENST00000553227.1,>ENST00000438988.1,>ENST00000502314.1,>ENST00000607661.1,>ENST00000450813.1,>ENST00000579400.6,>ENST00000529567.5
>ENST00000438196.2,0.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,7.0,9.0,8.0,9.0,8.0,7.0,7.0,10.0,8.0,7.0,9.0,10.0,6.0,8.0,9.0,10.0,6.0,8.0,9.0,9.0
>ENST00000606775.2,8.0,0.0,9.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,12.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,9.0,11.0,10.0,11.0,10.0,9.0,11.0,12.0
>ENST00000528671.1,8.0,9.0,0.0,10.0,8.0,8.0,8.0,15.0,9.0,9.0,7.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0
>ENST00000484240.1,9.0,11.0,10.0,0.0,10.0,8.0,9.0,9.0,9.0,14.0,10.0,10.0,8.0,11.0,8.0,10.0,11.0,10.0,9.0,11.0,8.0,10.0,9.0,10.0,7.0,9.0,10.0,10.0
>ENST00000411449.1,8.0,11.0,8.0,10.0,0.0,9.0,8.0,13.0,11.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,10.0
>ENST00000603743.1,7.0,10.0,8.0,8.0,9.0,0.0,8.0,10.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,7.0,8.0,10.0,12.0,7.0,9.0,9.0,11.0
>ENST00000599388.2,8.0,11.0,8.0,9.0,8.0,8.0,0.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,9.0,11.0,8.0,8.0,10.0,10.0,7.0,15.0,10.0,10.0
>ENST00000486594.1,7.0,11.0,15.0,9.0,13.0,10.0,9.0,0.0,12.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,12.0,10.0,8.0,10.0,9.0,9.0
>ENST00000480924.3,7.0,10.0,9.0,9.0,11.0,11.0,10.0,12.0,0.0,8.0,9.0,11.0,9.0,9.0,9.0,10.0,12.0,10.0,10.0,8.0,7.0,10.0,9.0,14.0,6.0,10.0,11.0,12.0
>ENST00000407852.2,9.0,11.0,9.0,14.0,9.0,9.0,8.0,9.0,8.0,0.0,9.0,9.0,13.0,9.0,11.0,11.0,10.0,8.0,9.0,8.0,7.0,9.0,10.0,11.0,7.0,11.0,11.0,10.0
>ENST00000412705.1,8.0,9.0,7.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,0.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,8.0,10.0,8.0,10.0,8.0,8.0,9.0,11.0
>ENST00000407196.1,9.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,0.0,10.0,8.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,8.0,10.0,10.0,12.0
>ENST00000535885.1,8.0,12.0,10.0,8.0,10.0,8.0,8.0,11.0,9.0,13.0,10.0,10.0,0.0,8.0,10.0,11.0,9.0,9.0,8.0,9.0,8.0,13.0,11.0,9.0,8.0,11.0,11.0,12.0
>ENST00000437667.1,7.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,9.0,11.0,10.0,9.0,9.0,7.0,6.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0
>ENST00000482276.1,7.0,10.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,11.0,8.0,10.0,10.0,9.0,0.0,10.0,8.0,10.0,9.0,7.0,9.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0
>ENST00000566277.2,10.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,11.0,9.0,11.0,11.0,11.0,10.0,0.0,11.0,10.0,10.0,13.0,8.0,9.0,12.0,10.0,9.0,10.0,11.0,13.0
>ENST00000406156.2,8.0,10.0,10.0,11.0,9.0,10.0,8.0,10.0,12.0,10.0,10.0,9.0,9.0,10.0,8.0,11.0,0.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0
>ENST00000392009.3,7.0,11.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,0.0,9.0,10.0,9.0,8.0,10.0,11.0,7.0,10.0,10.0,11.0
>ENST00000612210.1,9.0,11.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,0.0,10.0,7.0,9.0,13.0,9.0,9.0,10.0,8.0,9.0
>ENST00000540396.1,10.0,10.0,10.0,11.0,9.0,8.0,11.0,9.0,8.0,8.0,11.0,10.0,9.0,7.0,7.0,13.0,9.0,10.0,10.0,0.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,10.0
ENSG00000274755.1,6.0,9.0,7.0,8.0,9.0,7.0,8.0,9.0,7.0,7.0,8.0,9.0,8.0,6.0,9.0,8.0,8.0,9.0,7.0,10.0,0.0,7.0,13.0,8.0,6.0,13.0,9.0,9.0
>ENST00000553227.1,8.0,11.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,13.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,7.0,0.0,11.0,10.0,7.0,9.0,9.0,10.0
>ENST00000438988.1,9.0,10.0,9.0,9.0,9.0,10.0,10.0,12.0,9.0,10.0,8.0,9.0,11.0,8.0,11.0,12.0,9.0,10.0,13.0,11.0,13.0,11.0,0.0,10.0,7.0,9.0,10.0,12.0
>ENST00000502314.1,10.0,11.0,9.0,10.0,9.0,12.0,10.0,10.0,14.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,0.0,8.0,10.0,9.0,12.0
>ENST00000607661.1,6.0,10.0,8.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,0.0,8.0,7.0,8.0
>ENST00000450813.1,8.0,9.0,9.0,9.0,9.0,9.0,15.0,10.0,10.0,11.0,8.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,13.0,9.0,9.0,10.0,8.0,0.0,9.0,11.0
>ENST00000579400.6,9.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,7.0,9.0,0.0,11.0
