,ENSG00000206871.1,>ENST00000447806.1,>ENST00000591045.1,>ENST00000448132.1,>ENST00000599873.1,>ENST00000422215.1,>ENST00000439327.1,>ENST00000427559.1,>ENST00000547203.1,>ENST00000441055.1,>ENST00000413906.2,>ENST00000519131.1,>ENST00000438030.1,>ENST00000441775.1,>ENST00000621415.4,>ENST00000624915.1,>ENST00000451300.2,>ENST00000450079.1,>ENST00000427102.1,>ENST00000588063.1,>ENST00000567390.5,>ENST00000464143.2,>ENST00000554095.2,>ENST00000559334.2,>ENST00000431037.1,>ENST00000523210.1,>ENST00000430261.1,>ENST00000633717.1,>ENST00000603878.1,>ENST00000542491.2,>ENST00000603908.1,>ENST00000265259.5,>ENST00000469825.1,>ENST00000447528.1,>ENST00000405257.1,>ENST00000603311.1,>ENST00000603944.1,>ENST00000382759.2,>ENST00000589501.1,>ENST00000623182.1,>ENST00000435693.1,>ENST00000445497.1,>ENST00000441690.1,>ENST00000418010.1,>ENST00000579720.1
ENSG00000206871.1,0.0,7.0,9.0,8.0,7.0,7.0,8.0,9.0,13.0,12.0,8.0,7.0,7.0,8.0,11.0,8.0,10.0,8.0,7.0,9.0,8.0,10.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,10.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0
>ENST00000447806.1,7.0,0.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0,10.0,9.0,11.0,12.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0
>ENST00000591045.1,9.0,9.0,0.0,8.0,9.0,8.0,10.0,10.0,12.0,11.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,11.0,7.0,9.0,8.0,11.0,9.0,8.0,9.0,11.0,12.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,13.0,9.0
>ENST00000448132.1,8.0,9.0,8.0,0.0,9.0,8.0,9.0,11.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,8.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0
>ENST00000599873.1,7.0,9.0,9.0,9.0,0.0,10.0,8.0,10.0,10.0,11.0,10.0,9.0,10.0,8.0,10.0,11.0,10.0,9.0,9.0,9.0,13.0,10.0,10.0,11.0,11.0,9.0,10.0,8.0,11.0,13.0,10.0,9.0,11.0,11.0,12.0,9.0,9.0,11.0,12.0,15.0,9.0,9.0,11.0,8.0,9.0
>ENST00000422215.1,7.0,10.0,8.0,8.0,10.0,0.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,10.0,10.0,9.0,7.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,6.0,7.0,7.0,7.0,9.0,10.0,8.0,9.0,7.0,8.0,10.0,11.0,8.0,8.0,8.0,8.0,8.0,9.0
>ENST00000439327.1,8.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,11.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,7.0,10.0,9.0,9.0,9.0,13.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0
>ENST00000427559.1,9.0,10.0,10.0,11.0,10.0,9.0,10.0,0.0,9.0,11.0,10.0,9.0,8.0,10.0,14.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,8.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,12.0,9.0,7.0,10.0,10.0,12.0,9.0,9.0,10.0,9.0,8.0
>ENST00000547203.1,13.0,10.0,12.0,9.0,10.0,10.0,9.0,9.0,0.0,12.0,10.0,11.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,12.0,10.0,10.0,11.0,12.0,11.0,11.0,14.0,11.0,10.0,9.0,9.0,10.0,10.0,11.0,11.0,9.0
>ENST00000441055.1,12.0,10.0,11.0,11.0,11.0,9.0,9.0,11.0,12.0,0.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,8.0,12.0,8.0,12.0,10.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,10.0,11.0,11.0,10.0,9.0,9.0,11.0
>ENST00000413906.2,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,0.0,9.0,9.0,10.0,11.0,9.0,13.0,10.0,9.0,11.0,10.0,9.0,10.0,11.0,11.0,8.0,11.0,10.0,11.0,11.0,12.0,9.0,9.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0
>ENST00000519131.1,7.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,11.0,9.0,9.0,0.0,11.0,9.0,10.0,12.0,9.0,9.0,8.0,12.0,11.0,9.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,11.0,10.0,8.0,10.0,11.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0
>ENST00000438030.1,7.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,11.0,0.0,8.0,11.0,10.0,10.0,10.0,8.0,9.0,11.0,8.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,8.0,9.0,12.0,9.0,8.0,8.0,9.0,9.0,12.0,9.0,8.0,9.0,8.0,7.0
