,>ENST00000603085.1,>ENST00000580637.1,>ENST00000457786.1,>ENST00000455475.2,>ENST00000527233.2,>ENST00000441256.1,>ENST00000494583.1,>ENST00000452590.2,>ENST00000444290.1,>ENST00000413613.1,>ENST00000494861.2,>ENST00000425869.1,>ENST00000537470.1,>ENST00000603781.1,>ENST00000420310.2,>ENST00000613227.1,>ENST00000595427.1,>ENST00000503606.1,>ENST00000562853.2,>ENST00000464893.1,>ENST00000442165.1,>ENST00000428234.1,>ENST00000394552.2,ENSG00000214042.1,>ENST00000424997.1,ENSG00000178403.3,>ENST00000455736.1,>ENST00000509021.1,>ENST00000456199.2,>ENST00000413857.1,>ENST00000456479.1,>ENST00000536295.1,>ENST00000447427.2,>ENST00000412165.1,>ENST00000550830.1,>ENST00000539481.1,>ENST00000534575.1
>ENST00000603085.1,0.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,7.0,10.0,9.0,10.0,8.0,9.0,9.0,13.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0
>ENST00000580637.1,10.0,0.0,12.0,10.0,8.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,12.0,7.0,9.0,12.0,8.0,10.0,8.0,11.0,12.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,9.0,8.0,9.0
>ENST00000457786.1,9.0,12.0,0.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,8.0,8.0,11.0,10.0,8.0,9.0,8.0,14.0,13.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0,8.0,10.0
>ENST00000455475.2,11.0,10.0,9.0,0.0,9.0,9.0,7.0,9.0,10.0,8.0,9.0,10.0,8.0,11.0,11.0,9.0,8.0,8.0,9.0,8.0,9.0,12.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0
>ENST00000527233.2,9.0,8.0,10.0,9.0,0.0,9.0,10.0,10.0,9.0,7.0,9.0,10.0,8.0,9.0,10.0,9.0,12.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,7.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0
>ENST00000441256.1,8.0,11.0,8.0,9.0,9.0,0.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,11.0,11.0,9.0,8.0,8.0,8.0,11.0,9.0,11.0,8.0,9.0,7.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0
>ENST00000494583.1,9.0,8.0,9.0,7.0,10.0,8.0,0.0,9.0,8.0,7.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,7.0,8.0,8.0,8.0,10.0,8.0,10.0,8.0,8.0
>ENST00000452590.2,9.0,9.0,10.0,9.0,10.0,8.0,9.0,0.0,8.0,9.0,12.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,11.0,13.0,8.0,10.0,11.0,10.0,11.0,8.0,11.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0
>ENST00000444290.1,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,0.0,8.0,8.0,11.0,7.0,8.0,8.0,10.0,10.0,9.0,11.0,7.0,8.0,11.0,10.0,11.0,9.0,10.0,11.0,8.0,7.0,9.0,7.0,8.0,9.0,7.0,10.0,8.0,9.0
>ENST00000413613.1,7.0,9.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,0.0,9.0,8.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,10.0,8.0,10.0,9.0,10.0,10.0,8.0,11.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,11.0
>ENST00000494861.2,10.0,9.0,9.0,9.0,9.0,10.0,8.0,12.0,8.0,9.0,0.0,10.0,10.0,8.0,10.0,9.0,11.0,8.0,9.0,11.0,9.0,12.0,11.0,9.0,9.0,10.0,12.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,9.0,10.0,9.0
>ENST00000425869.1,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,8.0,10.0,0.0,9.0,9.0,10.0,12.0,11.0,10.0,9.0,9.0,9.0,13.0,9.0,11.0,10.0,10.0,12.0,11.0,9.0,11.0,10.0,10.0,11.0,10.0,56.0,8.0,11.0
>ENST00000537470.1,10.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,7.0,11.0,10.0,9.0,0.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,8.0,14.0,8.0,12.0,7.0,9.0,9.0,11.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,10.0,9.0
>ENST00000603781.1,8.0,8.0,10.0,11.0,9.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,0.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,13.0,9.0,8.0,10.0,10.0,11.0,8.0,8.0,9.0,8.0,11.0,11.0,11.0,7.0,11.0
>ENST00000420310.2,9.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,0.0,10.0,9.0,8.0,10.0,11.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,10.0,10.0
>ENST00000613227.1,9.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,12.0,8.0,8.0,10.0,0.0,10.0,11.0,8.0,8.0,10.0,13.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0
>ENST00000595427.1,13.0,9.0,9.0,8.0,12.0,8.0,9.0,8.0,10.0,8.0,11.0,11.0,9.0,8.0,9.0,10.0,0.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,11.0,11.0,8.0,10.0,11.0,10.0,13.0,9.0,9.0,10.0,9.0
>ENST00000503606.1,8.0,8.0,11.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,11.0,9.0,0.0,9.0,9.0,8.0,10.0,9.0,10.0,7.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0
>ENST00000562853.2,9.0,12.0,8.0,9.0,9.0,8.0,8.0,9.0,11.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,9.0,0.0,7.0,9.0,12.0,10.0,10.0,9.0,9.0,8.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,7.0,10.0
>ENST00000464893.1,9.0,7.0,8.0,8.0,9.0,11.0,8.0,9.0,7.0,9.0,11.0,9.0,8.0,8.0,11.0,8.0,9.0,9.0,7.0,0.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,7.0,8.0,8.0,10.0,8.0,8.0,8.0,7.0,8.0
>ENST00000442165.1,10.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,8.0,7.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,0.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,11.0,12.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0
>ENST00000428234.1,10.0,12.0,10.0,12.0,11.0,11.0,9.0,11.0,11.0,10.0,12.0,13.0,14.0,10.0,10.0,13.0,10.0,10.0,12.0,9.0,9.0,0.0,10.0,11.0,9.0,11.0,13.0,10.0,11.0,12.0,10.0,12.0,12.0,9.0,12.0,12.0,11.0
>ENST00000394552.2,9.0,8.0,8.0,9.0,9.0,8.0,8.0,13.0,10.0,8.0,11.0,9.0,8.0,13.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,0.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,14.0
ENSG00000214042.1,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,11.0,10.0,9.0,11.0,12.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0,0.0,8.0,11.0,10.0,9.0,8.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0
>ENST00000424997.1,9.0,8.0,8.0,9.0,8.0,7.0,8.0,10.0,9.0,9.0,9.0,10.0,7.0,8.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,8.0,0.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,12.0,9.0,10.0,8.0,8.0
ENSG00000178403.3,10.0,11.0,14.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,11.0,9.0,0.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0
>ENST00000455736.1,9.0,12.0,13.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,12.0,12.0,9.0,10.0,10.0,11.0,11.0,11.0,8.0,8.0,10.0,13.0,9.0,10.0,8.0,10.0,0.0,11.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,9.0,11.0
>ENST00000509021.1,10.0,9.0,9.0,11.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,11.0,11.0,11.0,10.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,0.0,10.0,12.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0
>ENST00000456199.2,8.0,8.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,11.0,11.0,8.0,8.0,8.0,11.0,9.0,10.0,0.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,11.0
>ENST00000413857.1,11.0,10.0,10.0,9.0,10.0,8.0,8.0,11.0,9.0,10.0,10.0,11.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,12.0,12.0,9.0,8.0,9.0,9.0,10.0,12.0,9.0,0.0,11.0,9.0,9.0,9.0,10.0,9.0,11.0
>ENST00000456479.1,9.0,10.0,11.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,7.0,10.0,10.0,8.0,9.0,11.0,0.0,10.0,9.0,8.0,9.0,11.0,9.0
>ENST00000536295.1,9.0,7.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,12.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,0.0,11.0,9.0,9.0,9.0,12.0
