,>ENST00000605810.1,>ENST00000434190.1,>ENST00000509969.2,>ENST00000508957.1,>ENST00000568156.1,>ENST00000422653.1,>ENST00000456760.1,>ENST00000418461.1,>ENST00000425390.2,>ENST00000455678.1,>ENST00000412884.1,>ENST00000439737.1,>ENST00000508668.1,>ENST00000464109.1,>ENST00000415468.1,>ENST00000633535.1,>ENST00000429708.2,>ENST00000425870.1,>ENST00000454465.1,>ENST00000477967.1,>ENST00000458273.2,>ENST00000454884.2,>ENST00000482912.2,>ENST00000412317.1,>ENST00000422362.1,>ENST00000528208.2,>ENST00000452011.1,>ENST00000612052.1,>ENST00000428124.1,>ENST00000495909.2,>ENST00000588553.1,>ENST00000442609.1,>ENST00000508230.1,>ENST00000511779.1,>ENST00000440192.1,>ENST00000442990.1,>ENST00000417789.2,>ENST00000584883.1,>ENST00000614861.1,>ENST00000419224.1,>ENST00000624596.1,>ENST00000523940.1,>ENST00000505369.1,>ENST00000453261.1,>ENST00000447155.1,>ENST00000545095.1,>ENST00000606668.1,>ENST00000438507.1,>ENST00000604263.1,>ENST00000530088.1
>ENST00000605810.1,0.0,9.0,9.0,14.0,8.0,12.0,13.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,9.0,10.0,9.0,12.0,13.0,8.0,12.0,9.0,11.0,9.0,12.0,13.0,15.0,11.0,10.0,9.0,10.0,12.0,10.0,10.0,11.0,9.0,12.0,10.0,11.0,12.0,11.0,9.0,12.0,11.0,11.0,8.0,8.0,10.0,9.0,10.0
>ENST00000434190.1,9.0,0.0,8.0,10.0,8.0,9.0,11.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,11.0,8.0,10.0,7.0,8.0,12.0,9.0
>ENST00000509969.2,9.0,8.0,0.0,9.0,7.0,11.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,11.0,8.0,8.0,9.0,7.0,12.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,11.0,7.0,8.0,10.0,9.0,9.0
>ENST00000508957.1,14.0,10.0,9.0,0.0,9.0,9.0,10.0,9.0,734.0,666.0,8.0,12.0,12.0,10.0,9.0,9.0,10.0,8.0,11.0,8.0,11.0,11.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0,13.0,10.0,10.0,11.0,9.0,18.0,10.0,10.0,8.0,16.0,8.0,12.0,10.0,10.0,9.0,7.0,9.0,8.0,10.0
>ENST00000568156.1,8.0,8.0,7.0,9.0,0.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,7.0,9.0,7.0,7.0,10.0,7.0,12.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,7.0,11.0,7.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,5.0,8.0,10.0,8.0,6.0,6.0,8.0,8.0,8.0
>ENST00000422653.1,12.0,9.0,11.0,9.0,8.0,0.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,13.0,11.0,14.0,10.0,10.0,14.0,10.0,10.0,9.0,11.0,14.0,10.0,11.0,10.0,11.0,12.0,11.0,12.0,11.0,11.0,9.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,12.0,7.0,8.0,9.0,11.0,11.0
>ENST00000456760.1,13.0,11.0,9.0,10.0,9.0,11.0,0.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,12.0,12.0,12.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,11.0,12.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,12.0,11.0,10.0,11.0,9.0,11.0,10.0,12.0,10.0,9.0,11.0,10.0,11.0
>ENST00000418461.1,11.0,11.0,9.0,9.0,8.0,10.0,10.0,0.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,8.0,9.0,9.0,13.0,9.0,11.0,12.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,11.0,8.0,7.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,7.0,8.0,10.0,10.0
>ENST00000425390.2,11.0,10.0,9.0,734.0,9.0,10.0,10.0,9.0,0.0,748.0,8.0,12.0,12.0,10.0,9.0,10.0,10.0,8.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,14.0,10.0,10.0,8.0,16.0,10.0,12.0,9.0,11.0,8.0,7.0,10.0,9.0,10.0
>ENST00000455678.1,11.0,9.0,8.0,666.0,10.0,10.0,10.0,9.0,748.0,0.0,8.0,12.0,10.0,10.0,8.0,10.0,9.0,8.0,12.0,9.0,10.0,10.0,9.0,11.0,10.0,12.0,9.0,9.0,10.0,10.0,10.0,13.0,10.0,10.0,10.0,9.0,18.0,10.0,10.0,9.0,10.0,11.0,12.0,9.0,10.0,10.0,7.0,10.0,9.0,9.0
