,>ENST00000447689.1,>ENST00000426985.1,>ENST00000415971.1,>ENST00000414573.1,>ENST00000449856.1,ENSG00000175602.3,>ENST00000422168.1,>ENST00000604817.1
>ENST00000447689.1,0.0,9.0,10.0,8.0,10.0,11.0,9.0,9.0
>ENST00000426985.1,9.0,0.0,9.0,9.0,10.0,8.0,7.0,9.0
>ENST00000415971.1,10.0,9.0,0.0,8.0,10.0,10.0,8.0,8.0
>ENST00000414573.1,8.0,9.0,8.0,0.0,10.0,11.0,9.0,8.0
>ENST00000449856.1,10.0,10.0,10.0,10.0,0.0,10.0,10.0,8.0
ENSG00000175602.3,11.0,8.0,10.0,11.0,10.0,0.0,9.0,11.0
>ENST00000422168.1,9.0,7.0,8.0,9.0,10.0,9.0,0.0,10.0
>ENST00000604817.1,9.0,9.0,8.0,8.0,8.0,11.0,10.0,0.0
