,>ENST00000530771.1,>ENST00000456766.1,>ENST00000429447.1,>ENST00000419491.1,>ENST00000605365.1,>ENST00000505417.1,>ENST00000525775.1,>ENST00000436250.1,>ENST00000550105.1,>ENST00000584218.1,>ENST00000452981.1,>ENST00000437516.1,>ENST00000402426.2,>ENST00000559787.1,>ENST00000600023.2,>ENST00000413361.2,>ENST00000433260.1,>ENST00000427725.1,>ENST00000604053.1,>ENST00000624103.1,>ENST00000546381.1,>ENST00000425396.1,>ENST00000430712.1,>ENST00000507707.1,>ENST00000593748.1,>ENST00000443141.2,>ENST00000477943.1,>ENST00000622603.1,>ENST00000391712.3,>ENST00000522872.1,>ENST00000605228.1,>ENST00000403621.1,ENSG00000211946.3,>ENST00000599928.1,>ENST00000603879.1,>ENST00000556269.1,>ENST00000509301.1,>ENST00000472090.6,>ENST00000613393.1,ENSG00000280567.1,>ENST00000445059.3,>ENST00000522638.1,>ENST00000457119.1,>ENST00000455518.1,>ENST00000427711.2,>ENST00000506556.1,>ENST00000425455.2,>ENST00000519939.1
>ENST00000530771.1,0.0,12.0,6.0,9.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,7.0,9.0,8.0,8.0,7.0,10.0,8.0,9.0,9.0,10.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,9.0,7.0,10.0,7.0,8.0,11.0,8.0,9.0,8.0,10.0,8.0,11.0,8.0,8.0,8.0,8.0,7.0,10.0,10.0,9.0
>ENST00000456766.1,12.0,0.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,18.0,9.0,8.0,10.0,11.0,9.0,14.0,13.0,10.0,8.0,11.0,11.0,8.0,10.0,10.0,12.0,9.0,9.0,10.0,9.0,8.0,10.0,12.0,10.0,12.0,9.0,15.0,9.0,12.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,11.0,11.0
>ENST00000429447.1,6.0,8.0,0.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,6.0,8.0,11.0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0,8.0,10.0,8.0,10.0,8.0,8.0
>ENST00000419491.1,9.0,9.0,8.0,0.0,10.0,7.0,9.0,11.0,8.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,7.0,10.0,11.0,9.0,12.0,10.0,10.0
>ENST00000605365.1,10.0,9.0,9.0,10.0,0.0,10.0,10.0,9.0,8.0,10.0,11.0,7.0,11.0,9.0,11.0,13.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,12.0,9.0,9.0,9.0,7.0,10.0,11.0,7.0,10.0,11.0,10.0
>ENST00000505417.1,8.0,8.0,7.0,7.0,10.0,0.0,8.0,7.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,10.0,7.0,8.0,9.0,8.0,9.0,8.0,6.0,9.0,7.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,11.0,8.0,9.0,9.0,7.0,9.0,8.0,10.0
>ENST00000525775.1,8.0,9.0,7.0,9.0,10.0,8.0,0.0,8.0,11.0,10.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,11.0,9.0,12.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,7.0,9.0,9.0,8.0,11.0,10.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0
>ENST00000436250.1,8.0,9.0,8.0,11.0,9.0,7.0,8.0,0.0,9.0,12.0,7.0,7.0,10.0,10.0,8.0,8.0,10.0,13.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0,7.0,9.0,7.0,9.0,7.0,12.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0
>ENST00000550105.1,10.0,9.0,8.0,8.0,8.0,10.0,11.0,9.0,0.0,9.0,8.0,10.0,9.0,10.0,8.0,11.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,9.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0
>ENST00000584218.1,10.0,18.0,9.0,10.0,10.0,9.0,10.0,12.0,9.0,0.0,9.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,11.0,8.0,10.0,11.0,8.0,10.0,12.0,11.0,13.0,10.0,15.0,8.0,10.0,11.0,9.0,10.0,9.0,11.0,8.0,38.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0
