,>ENST00000458678.1,>ENST00000465274.1,>ENST00000446393.1,>ENST00000506543.1,>ENST00000330965.4,>ENST00000560634.1,>ENST00000469247.1,>ENST00000521273.1,>ENST00000605428.1,>ENST00000512142.2,>ENST00000448912.1,>ENST00000397300.2,>ENST00000445574.2,>ENST00000465539.1,>ENST00000400619.3,>ENST00000600907.1,>ENST00000588046.1,>ENST00000612164.1,>ENST00000412619.1,>ENST00000484096.1,>ENST00000412213.1,>ENST00000444023.4,>ENST00000447549.1,>ENST00000530195.1,>ENST00000248151.4,>ENST00000580677.1,>ENST00000512475.1,>ENST00000416034.1,>ENST00000424045.2,>ENST00000446199.2,>ENST00000513074.2,ENSG00000281816.1,>ENST00000601468.1,>ENST00000519073.1,>ENST00000278882.8,>ENST00000489095.1,>ENST00000431784.2,>ENST00000468802.1,>ENST00000451797.1,>ENST00000590960.1,>ENST00000495560.2,>ENST00000423857.1,>ENST00000615161.1,>ENST00000523386.1
>ENST00000458678.1,0.0,8.0,10.0,11.0,10.0,11.0,10.0,657.0,8.0,10.0,10.0,10.0,10.0,12.0,10.0,13.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,12.0,12.0,10.0,8.0,10.0,10.0,11.0,9.0,8.0,11.0,9.0,10.0,10.0,9.0,10.0,13.0
>ENST00000465274.1,8.0,0.0,9.0,8.0,8.0,11.0,8.0,8.0,7.0,8.0,7.0,9.0,9.0,11.0,8.0,8.0,9.0,10.0,7.0,8.0,8.0,10.0,8.0,10.0,9.0,8.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,9.0,7.0,8.0,7.0,8.0,10.0
>ENST00000446393.1,10.0,9.0,0.0,9.0,10.0,12.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,11.0,9.0,11.0,11.0,12.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,11.0,10.0,10.0,11.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,11.0,9.0
>ENST00000506543.1,11.0,8.0,9.0,0.0,9.0,11.0,9.0,9.0,10.0,11.0,10.0,9.0,15.0,10.0,12.0,9.0,11.0,12.0,9.0,12.0,9.0,8.0,10.0,13.0,11.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,12.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,11.0
>ENST00000330965.4,10.0,8.0,10.0,9.0,0.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,11.0,9.0,10.0,8.0,12.0,8.0,9.0,9.0,14.0,10.0,9.0,9.0,8.0,12.0,9.0,10.0,12.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0
>ENST00000560634.1,11.0,11.0,12.0,11.0,11.0,0.0,14.0,13.0,10.0,12.0,10.0,10.0,11.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,12.0,12.0,11.0,10.0,13.0,10.0,9.0,12.0,11.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,12.0,12.0,10.0,11.0
>ENST00000469247.1,10.0,8.0,9.0,9.0,10.0,14.0,0.0,11.0,8.0,10.0,9.0,10.0,11.0,10.0,12.0,13.0,9.0,8.0,8.0,9.0,12.0,8.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,12.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0
>ENST00000521273.1,657.0,8.0,10.0,9.0,10.0,13.0,11.0,0.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,10.0,11.0,10.0,10.0,12.0,9.0,10.0,7.0,9.0,10.0,11.0,9.0,12.0,9.0,9.0,10.0,10.0,9.0,10.0,13.0
>ENST00000605428.1,8.0,7.0,8.0,10.0,8.0,10.0,8.0,9.0,0.0,8.0,9.0,8.0,10.0,8.0,9.0,10.0,12.0,9.0,8.0,9.0,7.0,6.0,9.0,7.0,8.0,8.0,8.0,7.0,10.0,8.0,8.0,6.0,7.0,10.0,12.0,8.0,7.0,8.0,8.0,10.0,8.0,9.0,11.0,9.0
>ENST00000512142.2,10.0,8.0,10.0,11.0,9.0,12.0,10.0,10.0,8.0,0.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,11.0,10.0,9.0,12.0,9.0,9.0,7.0,10.0,8.0,8.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0
