,>ENST00000455717.2,>ENST00000490852.1,>ENST00000517449.1,ENSG00000265777.2,>ENST00000366255.3,>ENST00000423690.1,>ENST00000441426.1,>ENST00000508046.1,>ENST00000505029.1,>ENST00000402650.1,>ENST00000443291.1,>ENST00000611755.1,>ENST00000447309.1,>ENST00000605325.1,>ENST00000454311.1,>ENST00000603826.1,>ENST00000604305.1,>ENST00000457344.1,ENSG00000252079.1,>ENST00000618530.1,>ENST00000604718.1,>ENST00000603775.1,>ENST00000417918.1,>ENST00000436364.1,>ENST00000396851.3,>ENST00000425165.1,>ENST00000569537.1,>ENST00000416956.1,>ENST00000444577.1,>ENST00000621262.1,>ENST00000524977.1,>ENST00000525240.1
>ENST00000455717.2,0.0,9.0,9.0,8.0,10.0,10.0,8.0,11.0,8.0,11.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,11.0,8.0,9.0,12.0,8.0,10.0,10.0,14.0,12.0,9.0,9.0,8.0
>ENST00000490852.1,9.0,0.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,6.0,10.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0
>ENST00000517449.1,9.0,8.0,0.0,7.0,9.0,8.0,8.0,8.0,10.0,7.0,9.0,10.0,10.0,7.0,7.0,8.0,11.0,9.0,8.0,7.0,8.0,6.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,11.0,8.0
ENSG00000265777.2,8.0,8.0,7.0,0.0,40.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,9.0,7.0,11.0,8.0,6.0,7.0,8.0,6.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,12.0,7.0,7.0
>ENST00000366255.3,10.0,9.0,9.0,40.0,0.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,13.0,8.0,10.0
>ENST00000423690.1,10.0,9.0,8.0,9.0,9.0,0.0,10.0,9.0,8.0,10.0,11.0,9.0,9.0,7.0,8.0,8.0,11.0,11.0,7.0,10.0,8.0,7.0,9.0,12.0,9.0,11.0,9.0,8.0,10.0,8.0,10.0,10.0
>ENST00000441426.1,8.0,9.0,8.0,9.0,9.0,10.0,0.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,6.0,12.0,9.0,8.0,10.0,9.0,9.0,11.0,7.0,8.0,7.0
>ENST00000508046.1,11.0,8.0,8.0,9.0,10.0,9.0,9.0,0.0,10.0,11.0,8.0,10.0,12.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,12.0,10.0,11.0,11.0,9.0,9.0,8.0,12.0
>ENST00000505029.1,8.0,8.0,10.0,8.0,11.0,8.0,8.0,10.0,0.0,8.0,8.0,7.0,8.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,7.0,6.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0
>ENST00000402650.1,11.0,9.0,7.0,8.0,10.0,10.0,8.0,11.0,8.0,0.0,9.0,8.0,11.0,8.0,8.0,9.0,11.0,9.0,8.0,10.0,9.0,6.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0
>ENST00000443291.1,8.0,8.0,9.0,10.0,9.0,11.0,8.0,8.0,8.0,9.0,0.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,6.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0
>ENST00000611755.1,8.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,7.0,8.0,7.0,0.0,12.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,6.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0
>ENST00000447309.1,9.0,8.0,10.0,8.0,10.0,9.0,9.0,12.0,8.0,11.0,9.0,12.0,0.0,8.0,8.0,8.0,11.0,9.0,7.0,8.0,9.0,7.0,11.0,10.0,8.0,11.0,9.0,12.0,10.0,9.0,9.0,8.0
>ENST00000605325.1,10.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,7.0,8.0,9.0,9.0,7.0,6.0,5.0,11.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,7.0
>ENST00000454311.1,9.0,8.0,7.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,0.0,8.0,8.0,9.0,8.0,9.0,8.0,6.0,10.0,10.0,7.0,9.0,8.0,8.0,9.0,7.0,8.0,7.0
>ENST00000603826.1,10.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,7.0,8.0,0.0,11.0,8.0,7.0,7.0,7.0,6.0,8.0,12.0,7.0,8.0,8.0,8.0,10.0,8.0,7.0,7.0
>ENST00000604305.1,10.0,9.0,11.0,11.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0,11.0,8.0,8.0,11.0,0.0,10.0,8.0,10.0,9.0,6.0,10.0,11.0,11.0,14.0,10.0,10.0,10.0,8.0,9.0,10.0
>ENST00000457344.1,10.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,0.0,7.0,10.0,10.0,7.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,9.0
ENSG00000252079.1,9.0,7.0,8.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,8.0,7.0,0.0,7.0,9.0,5.0,9.0,10.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0
>ENST00000618530.1,8.0,8.0,7.0,7.0,9.0,10.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,7.0,9.0,7.0,10.0,10.0,7.0,0.0,9.0,6.0,11.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,9.0
>ENST00000604718.1,11.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,10.0,9.0,9.0,6.0,8.0,7.0,9.0,10.0,9.0,9.0,0.0,10.0,10.0,9.0,8.0,9.0,7.0,10.0,8.0,7.0,7.0,7.0
>ENST00000603775.1,8.0,6.0,6.0,6.0,8.0,7.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,10.0,0.0,9.0,9.0,6.0,7.0,6.0,9.0,8.0,6.0,7.0,6.0
>ENST00000417918.1,9.0,10.0,9.0,9.0,10.0,9.0,12.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,10.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,0.0,11.0,11.0,11.0,11.0,12.0,10.0,9.0,10.0,8.0
