,>ENST00000405832.2,>ENST00000456225.1,>ENST00000417406.1,>ENST00000547729.1,>ENST00000441480.2,>ENST00000397222.2,>ENST00000434352.1,>ENST00000427083.2,>ENST00000421995.1,>ENST00000552208.1,>ENST00000605103.1,>ENST00000519826.1,>ENST00000603161.1,>ENST00000436998.1,>ENST00000529703.1,>ENST00000446998.2,>ENST00000412883.1,>ENST00000510368.1,>ENST00000520905.1,>ENST00000508850.1,>ENST00000415328.1,>ENST00000561489.3,>ENST00000465212.1,>ENST00000419324.1,>ENST00000434803.1,>ENST00000603247.1,>ENST00000433352.1,>ENST00000451736.1,>ENST00000401872.1,>ENST00000533272.1,>ENST00000515730.1,>ENST00000455484.2,>ENST00000555466.2,>ENST00000520803.1,ENSG00000103490.13,>ENST00000603171.1,>ENST00000548906.1,>ENST00000439415.1,>ENST00000603589.1,>ENST00000591692.1,>ENST00000429024.1,>ENST00000456962.1,>ENST00000415143.1,>ENST00000414147.1,>ENST00000411859.1,>ENST00000445747.1,>ENST00000532731.1,>ENST00000605409.1
>ENST00000405832.2,0.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,8.0,11.0,13.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,13.0,9.0,15.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0
>ENST00000456225.1,11.0,0.0,9.0,11.0,13.0,11.0,11.0,11.0,11.0,8.0,9.0,9.0,8.0,13.0,10.0,9.0,9.0,10.0,11.0,9.0,12.0,8.0,8.0,9.0,9.0,11.0,12.0,9.0,11.0,9.0,10.0,9.0,13.0,12.0,10.0,10.0,9.0,10.0,9.0,10.0,12.0,10.0,8.0,10.0,11.0,10.0,10.0,10.0
>ENST00000417406.1,11.0,9.0,0.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,7.0,8.0,8.0,9.0,12.0,9.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,8.0,9.0,8.0,13.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,11.0,8.0,9.0,10.0,11.0,7.0,10.0
>ENST00000547729.1,10.0,11.0,8.0,0.0,8.0,11.0,10.0,12.0,10.0,8.0,12.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,12.0,9.0,8.0,8.0,10.0,11.0,11.0,11.0,9.0,10.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,8.0,10.0,10.0,7.0,9.0
>ENST00000441480.2,9.0,13.0,8.0,8.0,0.0,8.0,11.0,10.0,10.0,9.0,7.0,8.0,8.0,12.0,11.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,8.0,10.0,12.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0,13.0,9.0,10.0,11.0,11.0,8.0,10.0,9.0,8.0,9.0
>ENST00000397222.2,10.0,11.0,8.0,11.0,8.0,0.0,10.0,9.0,10.0,7.0,8.0,9.0,10.0,10.0,11.0,8.0,12.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,11.0,12.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,14.0,10.0,9.0,9.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0
>ENST00000434352.1,10.0,11.0,9.0,10.0,11.0,10.0,0.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,7.0,8.0,12.0,8.0,9.0,10.0,9.0,10.0,11.0,9.0,12.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,8.0,12.0,13.0,8.0,8.0,9.0,8.0,9.0,13.0,9.0,8.0,11.0
>ENST00000427083.2,9.0,11.0,9.0,12.0,10.0,9.0,11.0,0.0,11.0,7.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,12.0,8.0,8.0,10.0,9.0,7.0,8.0,11.0,10.0,10.0,10.0,10.0,11.0,12.0,9.0,10.0,11.0,11.0,9.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,8.0,10.0,10.0,8.0,10.0
>ENST00000421995.1,11.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,0.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0,10.0,7.0,9.0,10.0,11.0,10.0,9.0,12.0,13.0,12.0,11.0,10.0,10.0,12.0,11.0,10.0,12.0,10.0,12.0,11.0,11.0,11.0,10.0,11.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0
>ENST00000552208.1,9.0,8.0,9.0,8.0,9.0,7.0,9.0,7.0,9.0,0.0,7.0,7.0,7.0,9.0,8.0,8.0,9.0,9.0,6.0,7.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,11.0,8.0,6.0,10.0,9.0,7.0,8.0,9.0,7.0,7.0,9.0,7.0,9.0,9.0,8.0,10.0,9.0
