,>ENST00000489462.1,>ENST00000455855.1,ENSG00000239108.1,>ENST00000577135.1,ENSG00000244693.1,>ENST00000476406.1,>ENST00000426688.1,>ENST00000521454.1,>ENST00000457501.1,>ENST00000433096.1,>ENST00000419844.1,>ENST00000422599.1,>ENST00000510471.2,>ENST00000442908.2,>ENST00000442453.2,>ENST00000634283.1,>ENST00000561335.2,>ENST00000554039.1
>ENST00000489462.1,0.0,10.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,8.0,11.0,9.0
>ENST00000455855.1,10.0,0.0,9.0,9.0,13.0,10.0,11.0,7.0,11.0,12.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0
ENSG00000239108.1,8.0,9.0,0.0,9.0,9.0,10.0,9.0,6.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,10.0,7.0
>ENST00000577135.1,9.0,9.0,9.0,0.0,11.0,11.0,9.0,7.0,11.0,9.0,8.0,10.0,11.0,10.0,9.0,7.0,9.0,10.0
ENSG00000244693.1,11.0,13.0,9.0,11.0,0.0,10.0,11.0,7.0,11.0,13.0,9.0,11.0,10.0,11.0,11.0,10.0,13.0,11.0
>ENST00000476406.1,10.0,10.0,10.0,11.0,10.0,0.0,11.0,10.0,9.0,11.0,9.0,9.0,9.0,12.0,8.0,8.0,9.0,9.0
>ENST00000426688.1,9.0,11.0,9.0,9.0,11.0,11.0,0.0,8.0,11.0,11.0,9.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0
>ENST00000521454.1,8.0,7.0,6.0,7.0,7.0,10.0,8.0,0.0,8.0,8.0,6.0,8.0,7.0,8.0,7.0,6.0,7.0,8.0
>ENST00000457501.1,9.0,11.0,10.0,11.0,11.0,9.0,11.0,8.0,0.0,8.0,8.0,10.0,10.0,10.0,13.0,7.0,12.0,10.0
>ENST00000433096.1,10.0,12.0,10.0,9.0,13.0,11.0,11.0,8.0,8.0,0.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0
>ENST00000419844.1,8.0,9.0,9.0,8.0,9.0,9.0,9.0,6.0,8.0,10.0,0.0,11.0,10.0,8.0,9.0,8.0,10.0,9.0
>ENST00000422599.1,11.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,10.0,10.0,11.0,0.0,10.0,10.0,9.0,9.0,10.0,9.0
>ENST00000510471.2,10.0,9.0,9.0,11.0,10.0,9.0,11.0,7.0,10.0,9.0,10.0,10.0,0.0,10.0,12.0,10.0,10.0,9.0
>ENST00000442908.2,10.0,9.0,7.0,10.0,11.0,12.0,9.0,8.0,10.0,9.0,8.0,10.0,10.0,0.0,9.0,8.0,10.0,12.0
>ENST00000442453.2,9.0,8.0,9.0,9.0,11.0,8.0,8.0,7.0,13.0,9.0,9.0,9.0,12.0,9.0,0.0,8.0,9.0,10.0
>ENST00000634283.1,8.0,9.0,8.0,7.0,10.0,8.0,9.0,6.0,7.0,8.0,8.0,9.0,10.0,8.0,8.0,0.0,10.0,8.0
>ENST00000561335.2,11.0,10.0,10.0,9.0,13.0,9.0,10.0,7.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,10.0
>ENST00000554039.1,9.0,9.0,7.0,10.0,11.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,12.0,10.0,8.0,10.0,0.0
