,>ENST00000505608.1,ENSG00000241785.3,>ENST00000470084.1,>ENST00000395416.2,>ENST00000429776.2,>ENST00000496795.1,>ENST00000437270.1,>ENST00000520807.3,>ENST00000439089.1,>ENST00000523157.1,ENSG00000201390.1,>ENST00000459899.1,>ENST00000560942.2,>ENST00000484902.1,>ENST00000635058.1,>ENST00000547107.5,>ENST00000523059.1,>ENST00000510981.1,>ENST00000428553.1,>ENST00000416662.1,>ENST00000432672.1,>ENST00000393026.3,>ENST00000584190.1,ENSG00000101246.19,>ENST00000508125.1,>ENST00000423267.1,>ENST00000440420.1,>ENST00000506658.1,>ENST00000421140.6,>ENST00000455249.1,>ENST00000421454.2,>ENST00000446607.1,>ENST00000414775.1,>ENST00000623845.1,>ENST00000440030.1,>ENST00000447422.1,>ENST00000436861.1,>ENST00000438721.1,>ENST00000561884.1,>ENST00000598980.1,>ENST00000617244.1,>ENST00000447235.1,>ENST00000577332.1,>ENST00000510577.1,>ENST00000517322.1,ENSG00000139549.2,>ENST00000457256.1,>ENST00000471467.2,>ENST00000565524.3,>ENST00000440468.1,>ENST00000438745.1,>ENST00000454984.1,>ENST00000399037.2,>ENST00000615610.1,>ENST00000561835.1
>ENST00000505608.1,0.0,8.0,9.0,11.0,12.0,9.0,10.0,8.0,7.0,9.0,7.0,10.0,11.0,7.0,11.0,11.0,7.0,8.0,10.0,9.0,9.0,10.0,8.0,13.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,12.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,11.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0
ENSG00000241785.3,8.0,0.0,8.0,10.0,8.0,7.0,8.0,7.0,8.0,8.0,10.0,9.0,9.0,6.0,8.0,8.0,6.0,7.0,7.0,9.0,7.0,9.0,8.0,10.0,9.0,6.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,7.0,8.0,13.0,7.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0,7.0
>ENST00000470084.1,9.0,8.0,0.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,8.0,11.0,10.0,8.0,10.0,12.0,9.0,12.0,9.0,12.0,10.0,13.0,12.0,11.0,9.0,8.0,8.0,9.0,9.0,12.0,8.0,11.0,8.0,10.0,11.0,9.0,10.0,9.0,10.0,13.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,11.0,9.0,14.0,9.0,10.0,12.0,9.0,8.0
>ENST00000395416.2,11.0,10.0,9.0,0.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,14.0,10.0,7.0,8.0,8.0,9.0,8.0,7.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0
>ENST00000429776.2,12.0,8.0,11.0,9.0,0.0,10.0,10.0,10.0,9.0,12.0,10.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,11.0,9.0,12.0,10.0,11.0,13.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,13.0,11.0,11.0,10.0,11.0,13.0,11.0,11.0,10.0,9.0,11.0,14.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,9.0
>ENST00000496795.1,9.0,7.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,7.0,12.0,11.0,8.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,10.0,10.0,11.0,10.0,7.0,12.0,14.0,10.0,9.0,8.0,11.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,11.0,11.0
>ENST00000437270.1,10.0,8.0,9.0,10.0,10.0,10.0,0.0,12.0,8.0,9.0,8.0,10.0,11.0,7.0,9.0,10.0,7.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,10.0,11.0,14.0,11.0,9.0,12.0,12.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,8.0
>ENST00000520807.3,8.0,7.0,9.0,8.0,10.0,10.0,12.0,0.0,8.0,8.0,12.0,8.0,9.0,10.0,13.0,10.0,7.0,9.0,8.0,11.0,10.0,9.0,12.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,15.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,10.0,10.0,9.0,10.0,14.0,8.0,11.0,11.0,7.0
>ENST00000439089.1,7.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,0.0,9.0,7.0,10.0,7.0,8.0,8.0,9.0,7.0,9.0,9.0,11.0,7.0,10.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,12.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,9.0,7.0,11.0,9.0,8.0,11.0,10.0,8.0
>ENST00000523157.1,9.0,8.0,9.0,8.0,12.0,10.0,9.0,8.0,9.0,0.0,10.0,10.0,9.0,7.0,8.0,10.0,8.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,7.0,9.0,9.0,9.0,9.0,7.0,11.0,8.0,11.0,10.0,10.0,10.0,9.0,13.0,9.0,8.0,9.0,10.0,8.0,12.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,12.0,9.0
