,ENSG00000140030.5,ENSG00000244139.3,ENSG00000200903.1,ENSG00000200823.1,ENSG00000211717.3,ENSG00000207166.1,ENSG00000199332.1,ENSG00000143257.11,ENSG00000211714.3,ENSG00000221639.1,ENSG00000222394.2,ENSG00000211962.2,ENSG00000223350.2,ENSG00000252358.1,ENSG00000252676.1,ENSG00000211721.2,ENSG00000223217.1,ENSG00000251999.1,ENSG00000280974.1
ENSG00000140030.5,0.0,24.0,9.0,10.0,11.0,10.0,10.0,95.0,30.0,8.0,12.0,13.0,12.0,11.0,10.0,10.0,10.0,10.0,30.0
ENSG00000244139.3,24.0,0.0,7.0,8.0,8.0,7.0,7.0,32.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,29.0
ENSG00000200903.1,9.0,7.0,0.0,5.0,10.0,9.0,6.0,13.0,8.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,7.0,8.0
ENSG00000200823.1,10.0,8.0,5.0,0.0,8.0,6.0,6.0,10.0,6.0,6.0,6.0,8.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0
ENSG00000211717.3,11.0,8.0,10.0,8.0,0.0,7.0,8.0,10.0,11.0,10.0,8.0,10.0,9.0,9.0,11.0,46.0,9.0,8.0,9.0
ENSG00000207166.1,10.0,7.0,9.0,6.0,7.0,0.0,9.0,10.0,7.0,6.0,5.0,8.0,6.0,9.0,9.0,8.0,6.0,7.0,8.0
ENSG00000199332.1,10.0,7.0,6.0,6.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,6.0,8.0,5.0,6.0,7.0
ENSG00000143257.11,95.0,32.0,13.0,10.0,10.0,10.0,10.0,0.0,13.0,11.0,10.0,12.0,11.0,11.0,9.0,12.0,11.0,11.0,56.0
ENSG00000211714.3,30.0,9.0,8.0,6.0,11.0,7.0,8.0,13.0,0.0,11.0,9.0,11.0,12.0,8.0,7.0,18.0,8.0,9.0,8.0
ENSG00000221639.1,8.0,8.0,7.0,6.0,10.0,6.0,8.0,11.0,11.0,0.0,8.0,8.0,7.0,7.0,6.0,10.0,5.0,8.0,7.0
ENSG00000222394.2,12.0,8.0,6.0,6.0,8.0,5.0,8.0,10.0,9.0,8.0,0.0,7.0,8.0,9.0,5.0,7.0,6.0,7.0,7.0
ENSG00000211962.2,13.0,9.0,8.0,8.0,10.0,8.0,9.0,12.0,11.0,8.0,7.0,0.0,9.0,10.0,8.0,11.0,8.0,9.0,9.0
ENSG00000223350.2,12.0,8.0,8.0,6.0,9.0,6.0,8.0,11.0,12.0,7.0,8.0,9.0,0.0,9.0,7.0,9.0,9.0,8.0,8.0
ENSG00000252358.1,11.0,7.0,7.0,7.0,9.0,9.0,8.0,11.0,8.0,7.0,9.0,10.0,9.0,0.0,7.0,10.0,8.0,8.0,7.0
ENSG00000252676.1,10.0,7.0,6.0,5.0,11.0,9.0,6.0,9.0,7.0,6.0,5.0,8.0,7.0,7.0,0.0,7.0,6.0,7.0,7.0
ENSG00000211721.2,10.0,8.0,8.0,7.0,46.0,8.0,8.0,12.0,18.0,10.0,7.0,11.0,9.0,10.0,7.0,0.0,8.0,7.0,9.0
ENSG00000223217.1,10.0,7.0,7.0,7.0,9.0,6.0,5.0,11.0,8.0,5.0,6.0,8.0,9.0,8.0,6.0,8.0,0.0,8.0,8.0
ENSG00000251999.1,10.0,7.0,7.0,7.0,8.0,7.0,6.0,11.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,0.0,7.0
ENSG00000280974.1,30.0,29.0,8.0,7.0,9.0,8.0,7.0,56.0,8.0,7.0,7.0,9.0,8.0,7.0,7.0,9.0,8.0,7.0,0.0
