,>ENST00000436794.1,>ENST00000599859.2,>ENST00000455273.1,>ENST00000436223.1,>ENST00000503426.1,>ENST00000569855.1,>ENST00000438350.2,>ENST00000419877.1,>ENST00000453886.1,>ENST00000521486.1,>ENST00000481111.1,>ENST00000486625.1,>ENST00000504733.1,>ENST00000405282.1,>ENST00000513669.1,>ENST00000429409.1,>ENST00000442089.1,>ENST00000477662.1,>ENST00000503632.1,>ENST00000413200.1,>ENST00000425026.1,>ENST00000442554.1,>ENST00000428639.1,>ENST00000505037.1,>ENST00000438532.4,>ENST00000512058.1,ENSG00000277727.1,>ENST00000448535.1,>ENST00000413190.1
>ENST00000436794.1,0.0,9.0,10.0,9.0,10.0,9.0,76.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,6.0,8.0,11.0,9.0,8.0,10.0,7.0,11.0,8.0,8.0,8.0,7.0,9.0,9.0
>ENST00000599859.2,9.0,0.0,9.0,12.0,9.0,10.0,10.0,12.0,9.0,11.0,9.0,9.0,11.0,13.0,9.0,8.0,10.0,9.0,11.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0
>ENST00000455273.1,10.0,9.0,0.0,11.0,11.0,10.0,9.0,12.0,10.0,11.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,12.0,10.0
>ENST00000436223.1,9.0,12.0,11.0,0.0,9.0,9.0,9.0,11.0,9.0,11.0,8.0,10.0,11.0,10.0,11.0,8.0,10.0,10.0,11.0,11.0,10.0,8.0,10.0,11.0,8.0,11.0,10.0,11.0,9.0
>ENST00000503426.1,10.0,9.0,11.0,9.0,0.0,9.0,8.0,13.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,10.0,11.0,9.0,9.0,8.0,8.0,10.0
>ENST00000569855.1,9.0,10.0,10.0,9.0,9.0,0.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,6.0,9.0,9.0,11.0,8.0,10.0,8.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0
>ENST00000438350.2,76.0,10.0,9.0,9.0,8.0,9.0,0.0,7.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0,8.0,10.0,8.0,10.0,7.0,9.0,8.0,10.0,9.0,7.0,9.0,11.0
>ENST00000419877.1,9.0,12.0,12.0,11.0,13.0,11.0,7.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,6.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,12.0,8.0,9.0,7.0,10.0,8.0
>ENST00000453886.1,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,0.0,8.0,8.0,9.0,10.0,8.0,10.0,13.0,9.0,8.0,10.0,8.0,11.0,8.0,14.0,9.0,9.0,9.0,10.0,8.0,11.0
>ENST00000521486.1,8.0,11.0,11.0,11.0,9.0,11.0,10.0,9.0,8.0,0.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,12.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0
>ENST00000481111.1,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,0.0,9.0,8.0,10.0,7.0,9.0,9.0,9.0,8.0,7.0,11.0,9.0,9.0,8.0,8.0,7.0,6.0,7.0,10.0
>ENST00000486625.1,8.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,0.0,10.0,8.0,15.0,7.0,13.0,10.0,11.0,10.0,11.0,8.0,10.0,12.0,11.0,10.0,7.0,9.0,8.0
>ENST00000504733.1,9.0,11.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,0.0,9.0,10.0,8.0,9.0,7.0,12.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,7.0,9.0,9.0
>ENST00000405282.1,9.0,13.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,0.0,10.0,7.0,10.0,8.0,10.0,9.0,10.0,7.0,9.0,8.0,7.0,11.0,9.0,8.0,8.0
>ENST00000513669.1,10.0,9.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,7.0,15.0,10.0,10.0,0.0,7.0,9.0,9.0,10.0,9.0,12.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0
>ENST00000429409.1,6.0,8.0,8.0,8.0,9.0,6.0,7.0,6.0,13.0,10.0,9.0,7.0,8.0,7.0,7.0,0.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,7.0
>ENST00000442089.1,8.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,13.0,9.0,10.0,9.0,7.0,0.0,9.0,9.0,7.0,11.0,8.0,10.0,9.0,8.0,8.0,8.0,10.0,10.0
>ENST00000477662.1,11.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,7.0,8.0,9.0,8.0,9.0,0.0,8.0,6.0,11.0,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0
>ENST00000503632.1,9.0,11.0,10.0,11.0,8.0,11.0,10.0,9.0,10.0,10.0,8.0,11.0,12.0,10.0,10.0,8.0,9.0,8.0,0.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0
>ENST00000413200.1,8.0,9.0,9.0,11.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,10.0,9.0,9.0,9.0,7.0,7.0,6.0,11.0,0.0,9.0,7.0,8.0,8.0,7.0,9.0,6.0,10.0,10.0
>ENST00000425026.1,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0,11.0,10.0,10.0,12.0,9.0,11.0,11.0,10.0,9.0,0.0,8.0,11.0,10.0,9.0,12.0,9.0,10.0,10.0
>ENST00000442554.1,7.0,10.0,9.0,8.0,10.0,8.0,7.0,8.0,8.0,11.0,9.0,8.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,0.0,9.0,8.0,8.0,8.0,6.0,9.0,8.0
>ENST00000428639.1,11.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,14.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,8.0,11.0,9.0,0.0,9.0,9.0,10.0,10.0,9.0,10.0
