,>ENST00000435241.1,>ENST00000417252.2,>ENST00000417272.1,>ENST00000453364.1,>ENST00000393781.2,>ENST00000498293.1,>ENST00000547343.1,>ENST00000413855.2,>ENST00000433136.1,>ENST00000450128.1,>ENST00000447086.1,>ENST00000512891.1,>ENST00000546860.2,>ENST00000395823.2,>ENST00000559009.1,>ENST00000564761.3,>ENST00000399571.2,>ENST00000257020.7,>ENST00000413815.2,>ENST00000440360.1,>ENST00000439659.1,>ENST00000485799.1,>ENST00000495884.2,>ENST00000555532.2,>ENST00000546499.1,>ENST00000438690.1,>ENST00000426454.2,>ENST00000620542.1,>ENST00000447288.1,>ENST00000449393.1,>ENST00000433904.1,>ENST00000603123.1,>ENST00000422534.1,>ENST00000457002.1,>ENST00000555184.2,>ENST00000512074.1,>ENST00000615802.1,>ENST00000401676.2,>ENST00000615531.4,>ENST00000423259.1,>ENST00000510729.1,>ENST00000496507.1,>ENST00000449999.1,>ENST00000447010.1,>ENST00000520784.2,>ENST00000422002.1,>ENST00000424698.1,>ENST00000455456.2,>ENST00000604687.1,ENSG00000169840.4,>ENST00000566387.2,>ENST00000621631.1,>ENST00000441105.1,>ENST00000427863.1,>ENST00000505092.1,>ENST00000469761.1,>ENST00000533569.1,>ENST00000469999.1,>ENST00000444720.1,>ENST00000436520.1,>ENST00000560037.3,>ENST00000420734.1,>ENST00000505786.1,>ENST00000507033.1,>ENST00000407266.1,>ENST00000559497.1,>ENST00000431069.1,>ENST00000486956.1,>ENST00000618406.1,>ENST00000415473.1,>ENST00000479327.1,>ENST00000435086.1
>ENST00000435241.1,0.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,11.0,10.0,8.0,8.0,8.0,10.0,12.0,9.0,11.0,10.0,9.0,12.0,9.0,9.0,10.0,10.0,8.0,10.0,12.0,11.0,10.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,11.0,9.0,8.0,10.0,10.0,11.0,9.0,9.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0
>ENST00000417252.2,10.0,0.0,11.0,11.0,12.0,13.0,11.0,8.0,9.0,11.0,9.0,10.0,9.0,10.0,71.0,9.0,12.0,12.0,12.0,10.0,9.0,12.0,10.0,12.0,11.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,17.0,10.0,10.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,12.0,11.0,11.0,11.0,10.0,12.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,13.0,8.0,10.0,9.0,11.0,11.0,10.0
>ENST00000417272.1,9.0,11.0,0.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,8.0,11.0,10.0,10.0,11.0,10.0,11.0,11.0,9.0,8.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,11.0,8.0,9.0,9.0,11.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,9.0,12.0,9.0,9.0,8.0,11.0,8.0,11.0,9.0,9.0,12.0,11.0,9.0,12.0,10.0,11.0
>ENST00000453364.1,10.0,11.0,10.0,0.0,10.0,10.0,9.0,10.0,10.0,13.0,8.0,10.0,10.0,11.0,11.0,13.0,10.0,10.0,11.0,8.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,8.0,10.0,11.0,12.0,11.0,13.0,8.0,9.0,10.0,11.0,11.0,12.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,12.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0
>ENST00000393781.2,8.0,12.0,10.0,10.0,0.0,9.0,8.0,7.0,8.0,10.0,7.0,8.0,9.0,10.0,11.0,9.0,9.0,11.0,10.0,7.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,12.0,13.0,7.0,9.0,8.0,8.0,8.0,12.0,9.0,9.0,8.0,9.0,14.0,8.0,10.0,10.0,10.0,11.0,8.0,9.0,11.0,9.0,9.0,9.0,12.0,8.0,10.0,9.0,6.0,10.0,10.0,8.0,9.0,8.0,9.0
>ENST00000498293.1,10.0,13.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,11.0,9.0,8.0,12.0,11.0,11.0,10.0,11.0,9.0,8.0,7.0,9.0,10.0,10.0,8.0,10.0,11.0,12.0,7.0,12.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,12.0,9.0,11.0,7.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,8.0,10.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,11.0
>ENST00000547343.1,10.0,11.0,8.0,9.0,8.0,10.0,0.0,9.0,7.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,12.0,13.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,12.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,11.0,8.0,9.0,7.0,12.0,8.0,12.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,11.0,11.0,10.0,9.0,8.0,12.0,11.0,7.0,10.0
>ENST00000413855.2,8.0,8.0,10.0,10.0,7.0,9.0,9.0,0.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,11.0,12.0,8.0,9.0,8.0,11.0,10.0,8.0,7.0,10.0,10.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,11.0,9.0,10.0,10.0,7.0,10.0,8.0,8.0,8.0,9.0,10.0,7.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0
>ENST00000433136.1,9.0,9.0,9.0,10.0,8.0,8.0,7.0,8.0,0.0,10.0,9.0,8.0,9.0,8.0,12.0,8.0,10.0,9.0,8.0,7.0,8.0,8.0,10.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,7.0,9.0,10.0,8.0,12.0,8.0,8.0,10.0,8.0,10.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,7.0,9.0,7.0,7.0,7.0,7.0,9.0,9.0,8.0,9.0
>ENST00000450128.1,10.0,11.0,9.0,13.0,10.0,11.0,11.0,8.0,10.0,0.0,11.0,14.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,11.0,8.0,13.0,8.0,12.0,8.0,8.0,10.0,10.0,9.0,8.0,13.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,11.0,10.0,10.0,13.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,12.0,10.0,10.0,8.0,10.0
