,>ENST00000428754.2,>ENST00000425787.2,>ENST00000428431.1,>ENST00000533326.1,>ENST00000421404.1,>ENST00000503144.1,>ENST00000601990.1,>ENST00000428102.1,>ENST00000472363.1,>ENST00000612005.1,>ENST00000412776.1,>ENST00000397772.2,>ENST00000507797.1,>ENST00000372031.3,>ENST00000528242.1,>ENST00000392260.2,>ENST00000475771.1,ENSG00000263969.2,>ENST00000509243.1,>ENST00000439655.1,>ENST00000618627.1,>ENST00000435890.1,>ENST00000416154.2,>ENST00000503372.1,>ENST00000603803.1,>ENST00000512282.2,>ENST00000595685.1,>ENST00000623530.1,>ENST00000441744.1,ENSG00000267534.2,>ENST00000485521.1,>ENST00000539533.3,>ENST00000440547.1,>ENST00000427891.2,>ENST00000408897.2,>ENST00000448700.2
>ENST00000428754.2,0.0,6.0,8.0,10.0,8.0,9.0,10.0,7.0,9.0,7.0,9.0,7.0,7.0,6.0,8.0,8.0,8.0,6.0,9.0,6.0,8.0,7.0,8.0,8.0,10.0,8.0,7.0,8.0,7.0,9.0,7.0,7.0,8.0,10.0,7.0,8.0
>ENST00000425787.2,6.0,0.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,10.0,7.0,9.0,8.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,10.0,9.0,7.0,8.0,8.0,8.0,11.0,7.0,8.0,11.0,9.0,9.0,9.0
>ENST00000428431.1,8.0,8.0,0.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,6.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,13.0,8.0,8.0
>ENST00000533326.1,10.0,8.0,8.0,0.0,10.0,11.0,11.0,10.0,8.0,11.0,10.0,9.0,9.0,11.0,9.0,11.0,8.0,11.0,8.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,14.0,9.0,11.0,8.0,12.0,9.0,10.0,8.0,10.0
>ENST00000421404.1,8.0,8.0,8.0,10.0,0.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0,14.0,11.0,10.0,9.0,8.0,11.0,8.0,9.0,8.0,9.0,10.0,11.0,11.0,13.0,9.0,10.0,10.0,11.0,9.0,10.0,12.0,11.0,9.0,11.0
>ENST00000503144.1,9.0,8.0,9.0,11.0,10.0,0.0,11.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,10.0,11.0,11.0,10.0,43.0,11.0,11.0,9.0,12.0,9.0,12.0,11.0,10.0,11.0,10.0
>ENST00000601990.1,10.0,7.0,9.0,11.0,10.0,11.0,0.0,10.0,7.0,10.0,8.0,9.0,10.0,9.0,10.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,12.0,9.0,8.0,10.0,11.0,10.0,7.0,13.0,7.0,13.0,10.0,9.0,11.0,9.0
>ENST00000428102.1,7.0,8.0,9.0,10.0,9.0,10.0,10.0,0.0,8.0,10.0,10.0,8.0,9.0,11.0,9.0,10.0,8.0,11.0,8.0,7.0,7.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,15.0,7.0,13.0,9.0,12.0,9.0,10.0
>ENST00000472363.1,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,0.0,9.0,9.0,8.0,8.0,10.0,8.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,7.0,9.0,9.0,8.0,8.0,7.0
>ENST00000612005.1,7.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,9.0,0.0,12.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,12.0,9.0,14.0,10.0,11.0,10.0,11.0,10.0,8.0
