,>ENST00000509755.1,>ENST00000440049.1,>ENST00000622303.1,>ENST00000519849.1,>ENST00000417622.2,>ENST00000436658.1,>ENST00000618886.1,>ENST00000425391.1,>ENST00000505809.1,>ENST00000582508.1,>ENSTR0000431238.7,>ENST00000529862.1,>ENST00000523611.1,>ENST00000505544.1,>ENST00000554374.2,>ENST00000456162.2,>ENST00000452430.1,>ENST00000490318.1,>ENST00000551091.1,>ENST00000535743.1,>ENST00000421221.1,>ENST00000560114.1,>ENST00000446318.2,>ENST00000413752.2,>ENST00000397646.2,>ENST00000522976.2,>ENST00000507903.2,ENSG00000273809.1,>ENST00000445034.1,ENSG00000252113.2,>ENST00000504159.1,>ENST00000507399.2
>ENST00000509755.1,0.0,10.0,9.0,7.0,8.0,10.0,7.0,8.0,9.0,6.0,7.0,11.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,7.0,7.0,8.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0
>ENST00000440049.1,10.0,0.0,12.0,7.0,11.0,8.0,8.0,9.0,13.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,11.0,8.0,10.0,8.0,10.0,129.0,10.0,8.0,9.0,9.0,9.0,7.0,10.0,9.0
>ENST00000622303.1,9.0,12.0,0.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,8.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,12.0,11.0,10.0,8.0,12.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,12.0,10.0
>ENST00000519849.1,7.0,7.0,10.0,0.0,7.0,8.0,7.0,6.0,8.0,5.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,6.0,10.0,8.0,8.0,8.0,7.0,5.0,8.0,8.0,8.0,7.0
>ENST00000417622.2,8.0,11.0,10.0,7.0,0.0,8.0,8.0,7.0,7.0,7.0,7.0,9.0,10.0,9.0,8.0,7.0,8.0,9.0,10.0,10.0,7.0,7.0,9.0,11.0,9.0,9.0,9.0,7.0,9.0,7.0,9.0,6.0
>ENST00000436658.1,10.0,8.0,11.0,8.0,8.0,0.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,15.0,12.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,11.0,8.0,10.0,8.0,9.0,8.0,10.0,11.0
>ENST00000618886.1,7.0,8.0,11.0,7.0,8.0,9.0,0.0,9.0,8.0,6.0,8.0,9.0,11.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,13.0,7.0,8.0,9.0,10.0,8.0,8.0,10.0,8.0,7.0,8.0,9.0
>ENST00000425391.1,8.0,9.0,10.0,6.0,7.0,8.0,9.0,0.0,7.0,6.0,10.0,7.0,8.0,9.0,12.0,8.0,9.0,8.0,9.0,10.0,7.0,8.0,8.0,8.0,10.0,7.0,8.0,7.0,9.0,6.0,9.0,7.0
>ENST00000505809.1,9.0,13.0,9.0,8.0,7.0,9.0,8.0,7.0,0.0,8.0,7.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,11.0,7.0,7.0,9.0,9.0,11.0,10.0,8.0,8.0,10.0,10.0,9.0,8.0,7.0
>ENST00000582508.1,6.0,8.0,9.0,5.0,7.0,10.0,6.0,6.0,8.0,0.0,6.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,8.0,11.0,7.0,7.0,5.0,6.0,5.0,7.0,7.0
>ENSTR0000431238.7,7.0,8.0,8.0,7.0,7.0,9.0,8.0,10.0,7.0,6.0,0.0,10.0,9.0,8.0,10.0,7.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,7.0,9.0
>ENST00000529862.1,11.0,8.0,11.0,7.0,9.0,10.0,9.0,7.0,9.0,7.0,10.0,0.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,12.0,10.0,8.0,8.0,8.0
>ENST00000523611.1,8.0,9.0,11.0,8.0,10.0,10.0,11.0,8.0,9.0,7.0,9.0,11.0,0.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,12.0,8.0,8.0,13.0,7.0,13.0,9.0
