,>ENST00000514243.1,ENSG00000172938.3,>ENST00000532323.1,>ENST00000429257.5,>ENST00000411867.1,>ENST00000489971.1,>ENST00000418405.1,>ENST00000635008.1,>ENST00000511500.1,>ENST00000612653.1,>ENST00000427532.1,>ENST00000440707.1,>ENST00000432327.1,>ENST00000519951.2,>ENST00000497201.2,ENSG00000164129.11,>ENST00000421277.1,>ENST00000419971.1,>ENST00000430791.1,>ENST00000413730.2,>ENST00000398005.3,>ENST00000546439.1,>ENST00000438808.1,>ENST00000433466.1,>ENST00000503319.1,>ENST00000422742.2,>ENST00000515557.1,>ENST00000431838.1,>ENST00000445066.1,>ENST00000419501.1,>ENST00000447193.2,>ENST00000486833.1,>ENST00000456025.1,>ENST00000523393.1,>ENST00000448737.1,>ENST00000479457.1,>ENST00000392516.4,>ENST00000562444.1,>ENST00000403471.6,>ENST00000447844.1,>ENST00000432046.1,>ENST00000513203.2,>ENST00000617410.4,>ENST00000622949.2,>ENST00000519121.1,>ENST00000603824.1,>ENST00000492126.1,>ENST00000605374.1,>ENST00000446263.1,>ENST00000405722.1,>ENST00000635574.1,>ENST00000567218.1,>ENST00000430836.1
>ENST00000514243.1,0.0,10.0,10.0,11.0,10.0,8.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,12.0,17.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,13.0,10.0,13.0,11.0,11.0,12.0,11.0,9.0,10.0,7.0,8.0,13.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,13.0,11.0,9.0,10.0,8.0,8.0,8.0,9.0,7.0,10.0
ENSG00000172938.3,10.0,0.0,11.0,11.0,13.0,10.0,9.0,10.0,12.0,7.0,10.0,10.0,12.0,10.0,10.0,13.0,10.0,10.0,10.0,9.0,10.0,12.0,12.0,12.0,9.0,11.0,11.0,10.0,13.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,11.0,9.0,12.0,10.0,8.0,13.0,10.0,10.0,9.0,8.0,12.0,9.0,7.0,8.0,9.0,11.0,9.0
>ENST00000532323.1,10.0,11.0,0.0,11.0,13.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,11.0,10.0,8.0,12.0,9.0,9.0,9.0,11.0,9.0,13.0,11.0,9.0,9.0,13.0,10.0,10.0,8.0,9.0,11.0,10.0,8.0,10.0,10.0,11.0,8.0,10.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,8.0,8.0
>ENST00000429257.5,11.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,12.0,12.0,13.0,9.0,12.0,10.0,10.0,11.0,10.0,9.0,12.0,12.0,11.0,9.0,11.0,10.0,14.0,10.0,10.0,11.0,10.0,10.0,11.0,13.0,10.0,14.0,10.0,11.0,11.0,10.0,11.0,11.0,12.0,11.0,14.0,16.0,11.0,9.0,10.0,11.0,9.0,9.0
>ENST00000411867.1,10.0,13.0,13.0,11.0,0.0,11.0,10.0,11.0,13.0,9.0,11.0,10.0,12.0,13.0,11.0,14.0,12.0,11.0,11.0,12.0,10.0,11.0,13.0,12.0,10.0,10.0,12.0,11.0,11.0,9.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,12.0,14.0,10.0,10.0,13.0,12.0,11.0,11.0,11.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0
>ENST00000489971.1,8.0,10.0,9.0,11.0,11.0,0.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,13.0,9.0,9.0,8.0,8.0,10.0,11.0,9.0,8.0,10.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0,10.0,8.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,9.0,8.0,8.0,9.0
>ENST00000418405.1,9.0,9.0,9.0,11.0,10.0,9.0,0.0,10.0,10.0,8.0,9.0,10.0,11.0,13.0,11.0,13.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,12.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0
>ENST00000635008.1,11.0,10.0,11.0,11.0,11.0,8.0,10.0,0.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,13.0,8.0,10.0,8.0,9.0,8.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,7.0,8.0,8.0,8.0,8.0
>ENST00000511500.1,10.0,12.0,10.0,11.0,13.0,9.0,10.0,8.0,0.0,9.0,10.0,11.0,15.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,10.0,8.0,9.0,10.0,10.0,12.0,10.0,8.0,10.0,8.0,8.0,9.0,9.0,10.0,15.0,10.0,11.0,9.0,13.0,9.0,11.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0,8.0
>ENST00000612653.1,11.0,7.0,9.0,12.0,9.0,10.0,8.0,10.0,9.0,0.0,9.0,7.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,9.0,8.0,8.0,10.0,8.0,10.0,9.0,8.0,8.0,7.0,10.0,6.0,7.0,8.0,8.0,11.0,7.0
>ENST00000427532.1,10.0,10.0,11.0,13.0,11.0,9.0,9.0,8.0,10.0,9.0,0.0,10.0,10.0,10.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,11.0,11.0,8.0,9.0,11.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,10.0,8.0,8.0,10.0,9.0,9.0,7.0,11.0,8.0,12.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,9.0,10.0
>ENST00000440707.1,10.0,10.0,11.0,12.0,10.0,10.0,10.0,9.0,11.0,7.0,10.0,0.0,10.0,10.0,8.0,11.0,10.0,9.0,10.0,8.0,9.0,13.0,11.0,10.0,12.0,10.0,10.0,11.0,10.0,8.0,8.0,9.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,13.0,9.0,13.0,9.0,9.0,11.0,8.0,8.0,11.0,10.0,8.0,8.0
>ENST00000432327.1,11.0,12.0,11.0,12.0,12.0,10.0,11.0,9.0,15.0,9.0,10.0,10.0,0.0,11.0,10.0,99.0,11.0,9.0,11.0,10.0,9.0,10.0,12.0,11.0,10.0,10.0,12.0,10.0,12.0,8.0,12.0,11.0,9.0,10.0,12.0,10.0,11.0,10.0,10.0,11.0,8.0,11.0,10.0,11.0,11.0,14.0,11.0,11.0,8.0,11.0,8.0,8.0,10.0
>ENST00000519951.2,10.0,10.0,10.0,13.0,13.0,9.0,13.0,11.0,11.0,9.0,10.0,10.0,11.0,0.0,9.0,12.0,11.0,11.0,13.0,9.0,10.0,10.0,12.0,11.0,12.0,10.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,9.0,11.0,12.0,10.0,11.0,10.0,12.0,11.0,12.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0
>ENST00000497201.2,12.0,10.0,8.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,0.0,20.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,10.0,8.0,8.0,9.0,7.0,10.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,7.0,7.0,8.0,8.0,8.0
ENSG00000164129.11,17.0,13.0,12.0,12.0,14.0,11.0,13.0,10.0,10.0,11.0,11.0,11.0,99.0,12.0,20.0,0.0,11.0,12.0,14.0,10.0,10.0,11.0,12.0,13.0,11.0,11.0,10.0,11.0,12.0,12.0,11.0,11.0,13.0,12.0,12.0,9.0,11.0,10.0,12.0,12.0,10.0,14.0,12.0,10.0,14.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,11.0
>ENST00000421277.1,9.0,10.0,9.0,10.0,12.0,13.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,11.0,9.0,11.0,0.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,8.0,11.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,12.0,10.0,11.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,10.0
>ENST00000419971.1,9.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,12.0,9.0,0.0,10.0,8.0,8.0,11.0,9.0,10.0,9.0,12.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,11.0,9.0,12.0,12.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,7.0,9.0,9.0,7.0,13.0
>ENST00000430791.1,9.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,10.0,8.0,11.0,10.0,11.0,13.0,9.0,14.0,11.0,10.0,0.0,9.0,8.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,11.0,9.0,8.0,7.0,8.0,10.0,8.0,25.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,7.0,10.0
>ENST00000413730.2,9.0,9.0,11.0,10.0,12.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,0.0,8.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,11.0,10.0,7.0,8.0,11.0,8.0,9.0,10.0
>ENST00000398005.3,9.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,0.0,9.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,13.0,8.0,10.0,10.0,8.0,8.0,9.0,11.0,11.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,8.0,8.0,9.0,8.0,9.0
>ENST00000546439.1,9.0,12.0,13.0,12.0,11.0,10.0,11.0,9.0,9.0,9.0,10.0,13.0,10.0,10.0,9.0,11.0,10.0,11.0,11.0,9.0,9.0,0.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,12.0,12.0,8.0,11.0,10.0,10.0,10.0,8.0,9.0,7.0
>ENST00000438808.1,11.0,12.0,11.0,12.0,13.0,11.0,10.0,9.0,11.0,9.0,11.0,11.0,12.0,12.0,10.0,12.0,11.0,9.0,10.0,9.0,9.0,10.0,0.0,13.0,10.0,11.0,12.0,10.0,12.0,9.0,11.0,11.0,12.0,10.0,11.0,8.0,10.0,13.0,10.0,12.0,9.0,11.0,11.0,11.0,10.0,10.0,11.0,8.0,9.0,11.0,10.0,9.0,9.0
>ENST00000433466.1,13.0,12.0,9.0,11.0,12.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,13.0,9.0,10.0,10.0,11.0,11.0,10.0,13.0,0.0,10.0,10.0,11.0,10.0,9.0,8.0,9.0,8.0,10.0,8.0,12.0,8.0,8.0,10.0,10.0,12.0,9.0,10.0,10.0,10.0,10.0,8.0,13.0,9.0,9.0,9.0,9.0,8.0,9.0
>ENST00000503319.1,10.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,12.0,10.0,12.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,0.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,11.0,8.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0
>ENST00000422742.2,13.0,11.0,13.0,11.0,10.0,10.0,11.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,11.0,9.0,12.0,9.0,10.0,11.0,11.0,11.0,10.0,11.0,0.0,10.0,9.0,12.0,11.0,9.0,11.0,9.0,11.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,12.0,10.0,10.0,13.0,11.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0
>ENST00000515557.1,11.0,11.0,10.0,10.0,12.0,11.0,10.0,13.0,10.0,8.0,11.0,10.0,12.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,12.0,11.0,10.0,10.0,0.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,10.0,8.0,11.0,10.0,10.0,10.0,8.0,10.0,11.0,9.0,10.0,8.0,11.0,8.0,7.0,9.0,8.0,8.0,9.0
>ENST00000431838.1,11.0,10.0,10.0,14.0,11.0,9.0,11.0,8.0,10.0,9.0,8.0,11.0,10.0,11.0,8.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,0.0,11.0,10.0,10.0,9.0,8.0,11.0,10.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,13.0,8.0,11.0,9.0,8.0,10.0,9.0,8.0,9.0
>ENST00000445066.1,12.0,13.0,8.0,10.0,11.0,9.0,9.0,10.0,12.0,8.0,9.0,10.0,12.0,11.0,8.0,12.0,9.0,9.0,8.0,10.0,9.0,10.0,12.0,9.0,9.0,12.0,10.0,11.0,0.0,10.0,10.0,8.0,9.0,9.0,11.0,8.0,13.0,9.0,10.0,9.0,8.0,13.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0
>ENST00000419501.1,11.0,10.0,9.0,10.0,9.0,8.0,12.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,12.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,8.0,8.0,11.0,10.0,10.0,10.0,0.0,11.0,8.0,8.0,9.0,10.0,7.0,13.0,7.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0
>ENST00000447193.2,9.0,10.0,11.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,12.0,10.0,7.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,8.0,9.0,8.0,10.0,10.0,11.0,0.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,13.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,7.0
>ENST00000486833.1,10.0,9.0,10.0,10.0,11.0,8.0,9.0,8.0,10.0,8.0,8.0,9.0,11.0,12.0,10.0,11.0,11.0,8.0,8.0,10.0,13.0,8.0,11.0,8.0,8.0,11.0,8.0,9.0,8.0,8.0,8.0,0.0,10.0,10.0,11.0,11.0,9.0,10.0,14.0,9.0,8.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,8.0,9.0,10.0,8.0,9.0
>ENST00000456025.1,7.0,10.0,8.0,10.0,10.0,9.0,9.0,7.0,8.0,7.0,7.0,9.0,9.0,10.0,8.0,13.0,9.0,11.0,7.0,8.0,8.0,8.0,12.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,0.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0
>ENST00000523393.1,8.0,8.0,10.0,11.0,11.0,9.0,9.0,10.0,8.0,8.0,8.0,12.0,10.0,10.0,10.0,12.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0,8.0,8.0,11.0,10.0,11.0,9.0,9.0,8.0,10.0,8.0,0.0,11.0,7.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0
>ENST00000448737.1,13.0,10.0,10.0,13.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,12.0,11.0,9.0,12.0,11.0,11.0,10.0,9.0,10.0,9.0,11.0,12.0,9.0,11.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,11.0,0.0,9.0,10.0,8.0,11.0,12.0,8.0,12.0,10.0,10.0,10.0,9.0,10.0,8.0,11.0,8.0,11.0,8.0,10.0
>ENST00000479457.1,10.0,8.0,11.0,10.0,11.0,7.0,10.0,8.0,9.0,7.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,7.0,8.0,11.0,7.0,7.0,9.0,0.0,10.0,10.0,10.0,9.0,6.0,10.0,9.0,8.0,9.0,8.0,12.0,9.0,6.0,9.0,8.0,7.0,10.0
>ENST00000392516.4,9.0,11.0,8.0,14.0,10.0,8.0,10.0,8.0,10.0,9.0,8.0,10.0,11.0,10.0,8.0,11.0,11.0,12.0,25.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,11.0,8.0,13.0,13.0,8.0,9.0,8.0,8.0,10.0,10.0,0.0,11.0,10.0,9.0,8.0,11.0,9.0,13.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0
>ENST00000562444.1,9.0,9.0,10.0,10.0,12.0,9.0,9.0,8.0,15.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,12.0,9.0,9.0,9.0,11.0,13.0,10.0,8.0,9.0,10.0,8.0,9.0,7.0,9.0,10.0,8.0,8.0,8.0,10.0,11.0,0.0,8.0,8.0,7.0,11.0,10.0,9.0,9.0,11.0,10.0,8.0,9.0,8.0,9.0,12.0,9.0
>ENST00000403471.6,9.0,12.0,10.0,11.0,14.0,10.0,11.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,12.0,12.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,13.0,14.0,9.0,10.0,11.0,10.0,10.0,8.0,0.0,10.0,13.0,11.0,10.0,10.0,12.0,12.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0
>ENST00000447844.1,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,12.0,10.0,12.0,10.0,9.0,8.0,9.0,11.0,9.0,12.0,12.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,9.0,9.0,8.0,10.0,0.0,8.0,11.0,9.0,11.0,10.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0
>ENST00000432046.1,9.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,7.0,10.0,8.0,10.0,8.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,6.0,8.0,7.0,13.0,8.0,0.0,10.0,9.0,8.0,9.0,8.0,8.0,7.0,6.0,8.0,8.0,9.0,9.0
>ENST00000513203.2,9.0,13.0,11.0,11.0,13.0,10.0,12.0,10.0,13.0,10.0,11.0,13.0,11.0,11.0,8.0,14.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,12.0,10.0,10.0,13.0,10.0,10.0,10.0,9.0,10.0,12.0,10.0,11.0,11.0,11.0,11.0,10.0,0.0,11.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,11.0
>ENST00000617410.4,11.0,10.0,11.0,11.0,12.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,12.0,12.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,0.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,12.0,8.0,9.0
>ENST00000622949.2,13.0,10.0,10.0,12.0,11.0,8.0,10.0,9.0,11.0,8.0,12.0,13.0,11.0,12.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,12.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,13.0,9.0,10.0,11.0,8.0,11.0,10.0,0.0,9.0,9.0,11.0,8.0,8.0,8.0,9.0,7.0,9.0
>ENST00000519121.1,11.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,11.0,9.0,14.0,11.0,9.0,9.0,8.0,9.0,12.0,10.0,10.0,11.0,13.0,10.0,13.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,12.0,10.0,9.0,11.0,11.0,9.0,0.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0
