,>ENST00000581528.1,>ENST00000451823.2,>ENST00000514887.1,>ENST00000590033.1,>ENST00000450410.2,>ENST00000468701.1,>ENST00000488281.1,>ENST00000511476.1,>ENST00000433704.1,>ENST00000584783.1,>ENST00000555623.1,>ENST00000434546.1,>ENST00000420957.1,>ENST00000564713.2,>ENST00000430768.1,>ENST00000403423.3,>ENST00000430854.2,>ENST00000411421.1,>ENST00000507981.1,>ENST00000486904.2,>ENST00000419302.1,>ENST00000445283.1,>ENST00000417811.2,>ENST00000564496.1,>ENST00000426018.1,>ENST00000501221.2,>ENST00000601044.1,>ENST00000393490.3,>ENST00000403971.2,>ENST00000407887.1,>ENST00000546669.1,>ENST00000567603.1,>ENST00000528645.1,>ENST00000472163.1,>ENST00000587765.1,>ENST00000559543.2,>ENST00000461635.1,>ENST00000449377.1,>ENST00000441157.1,ENSG00000271818.1,>ENST00000407033.2,>ENST00000527147.1,>ENST00000355509.5,>ENST00000570209.1,>ENST00000438345.1,>ENST00000503796.3,>ENST00000568175.1
>ENST00000581528.1,0.0,10.0,8.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0,10.0,9.0,7.0,9.0,8.0,9.0,10.0,9.0,8.0,11.0,8.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0
>ENST00000451823.2,10.0,0.0,8.0,10.0,8.0,8.0,10.0,11.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,10.0,13.0,11.0,9.0,13.0,11.0,11.0,9.0,11.0,12.0,8.0,174.0,10.0,12.0,8.0,13.0,9.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0
>ENST00000514887.1,8.0,8.0,0.0,8.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,8.0,11.0,8.0,10.0,9.0
>ENST00000590033.1,9.0,10.0,8.0,0.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,11.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,11.0,9.0
>ENST00000450410.2,8.0,8.0,10.0,9.0,0.0,8.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,9.0,9.0,12.0,8.0,12.0,9.0,8.0,8.0,11.0,11.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,9.0
>ENST00000468701.1,8.0,8.0,8.0,9.0,8.0,0.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,11.0,8.0,9.0,10.0,174.0,9.0,11.0,9.0,8.0,12.0,8.0,11.0,9.0,10.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,10.0
>ENST00000488281.1,9.0,10.0,10.0,9.0,9.0,9.0,0.0,11.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,11.0,10.0,9.0,13.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0
>ENST00000511476.1,7.0,11.0,11.0,10.0,10.0,8.0,11.0,0.0,9.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,8.0,7.0,10.0,9.0,15.0,9.0,11.0,8.0,7.0,7.0,9.0,8.0,8.0,10.0,10.0,7.0,8.0
>ENST00000433704.1,9.0,10.0,10.0,11.0,10.0,8.0,10.0,9.0,0.0,8.0,11.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,12.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0
>ENST00000584783.1,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,0.0,10.0,8.0,12.0,13.0,10.0,10.0,9.0,10.0,10.0,8.0,7.0,8.0,10.0,12.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,9.0,10.0
