,>ENST00000621554.1,>ENST00000444706.2,>ENST00000413508.1,>ENST00000506408.2,>ENST00000397754.2,>ENST00000539977.1,>ENST00000462678.1,>ENST00000549779.1,>ENST00000416158.1,>ENST00000457038.1,>ENST00000506315.1,>ENST00000437982.1,>ENST00000456973.2,>ENST00000440080.1,>ENST00000515142.1,>ENST00000484779.1,>ENST00000491713.1,>ENST00000412694.3,>ENST00000513286.1,>ENST00000514706.1,>ENST00000510265.2,>ENST00000622094.1,>ENST00000437472.1,>ENST00000456718.1,>ENST00000556680.1,>ENST00000504966.2,>ENST00000530779.1,>ENST00000431890.1,>ENST00000442520.1,>ENST00000615237.1,>ENST00000416821.1,>ENST00000449387.1,>ENST00000513990.1,>ENST00000522108.1,>ENST00000521833.1,>ENST00000426313.1,>ENST00000519490.1,>ENST00000447168.1,>ENST00000417713.1,>ENST00000453063.1,>ENST00000434303.1,>ENST00000437558.1,>ENST00000502740.1,>ENST00000491923.1,>ENST00000519013.1,>ENST00000518643.1,>ENST00000450770.1,>ENST00000398190.2,>ENST00000420177.1,>ENST00000587474.1,ENSG00000222448.1,>ENST00000579393.1,>ENST00000515767.1,>ENST00000506989.1,>ENST00000623030.1,>ENST00000438592.2,>ENST00000418183.1,>ENST00000487533.1,>ENST00000572223.1,>ENST00000420550.1,>ENST00000431047.1,>ENST00000442006.2,>ENST00000421414.2,>ENST00000588113.1
>ENST00000621554.1,0.0,9.0,9.0,8.0,13.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,12.0,10.0,9.0,8.0,12.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,11.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0
>ENST00000444706.2,9.0,0.0,9.0,9.0,10.0,11.0,11.0,9.0,11.0,10.0,13.0,9.0,8.0,10.0,9.0,17.0,11.0,10.0,9.0,11.0,9.0,11.0,10.0,13.0,10.0,11.0,11.0,10.0,9.0,11.0,9.0,9.0,12.0,13.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,8.0,12.0,12.0,11.0,8.0,12.0,11.0,10.0,13.0,11.0,10.0,9.0,10.0,10.0,11.0,12.0,11.0,11.0
>ENST00000413508.1,9.0,9.0,0.0,12.0,10.0,11.0,12.0,10.0,11.0,9.0,11.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,13.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,11.0,7.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,10.0,9.0,10.0,9.0,12.0,9.0,8.0
>ENST00000506408.2,8.0,9.0,12.0,0.0,9.0,10.0,8.0,11.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,11.0,8.0,8.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,12.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,7.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0
>ENST00000397754.2,13.0,10.0,10.0,9.0,0.0,10.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,11.0,8.0,7.0,9.0,10.0,7.0,13.0,9.0,9.0,10.0,8.0,11.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,7.0
>ENST00000539977.1,10.0,11.0,11.0,10.0,10.0,0.0,11.0,10.0,11.0,10.0,9.0,11.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,11.0,11.0,10.0,10.0,11.0,9.0,11.0,9.0,9.0,13.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,8.0,10.0,10.0,12.0,10.0,10.0,9.0,11.0,9.0,12.0,11.0,10.0,9.0,10.0,11.0,9.0,14.0,10.0,10.0
>ENST00000462678.1,9.0,11.0,12.0,8.0,9.0,11.0,0.0,9.0,11.0,8.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,7.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,12.0,9.0,9.0,8.0,11.0,10.0,8.0,10.0,9.0,8.0,11.0,10.0,11.0,7.0,8.0,10.0,134.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0
>ENST00000549779.1,9.0,9.0,10.0,11.0,8.0,10.0,9.0,0.0,9.0,12.0,8.0,11.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,11.0,7.0,8.0,10.0,12.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,9.0,10.0,10.0,8.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0
>ENST00000416158.1,9.0,11.0,11.0,9.0,9.0,11.0,11.0,9.0,0.0,9.0,11.0,9.0,8.0,12.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,13.0,9.0,11.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,11.0,8.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,11.0,9.0,8.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,12.0,9.0,10.0
>ENST00000457038.1,9.0,10.0,9.0,11.0,9.0,10.0,8.0,12.0,9.0,0.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,12.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,7.0,8.0,9.0,10.0,9.0,9.0,11.0,8.0,10.0,8.0,10.0,8.0,10.0,13.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0
