,>ENST00000450749.1,>ENST00000399502.2,>ENST00000531501.2,>ENST00000505275.1,>ENST00000506116.1,>ENST00000508988.3,>ENST00000507778.1,>ENST00000479379.2,>ENST00000596555.1,>ENST00000603811.1,>ENST00000431574.1,>ENST00000603861.1,>ENST00000603942.1,>ENST00000513224.1,>ENST00000429934.1,>ENST00000424370.2,>ENST00000604520.1,>ENST00000528254.1,>ENST00000407725.2,>ENST00000430780.1,>ENST00000426040.1
>ENST00000450749.1,0.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,10.0,9.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0
>ENST00000399502.2,9.0,0.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0
>ENST00000531501.2,9.0,10.0,0.0,10.0,9.0,12.0,11.0,11.0,10.0,10.0,9.0,8.0,12.0,8.0,12.0,9.0,10.0,8.0,10.0,10.0,8.0
>ENST00000505275.1,10.0,11.0,10.0,0.0,9.0,12.0,10.0,11.0,10.0,10.0,11.0,8.0,9.0,10.0,12.0,9.0,8.0,10.0,10.0,8.0,9.0
>ENST00000506116.1,11.0,11.0,9.0,9.0,0.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,9.0,8.0,11.0,9.0,11.0,9.0
>ENST00000508988.3,10.0,10.0,12.0,12.0,9.0,0.0,11.0,13.0,10.0,9.0,9.0,11.0,8.0,10.0,12.0,9.0,10.0,8.0,8.0,11.0,10.0
>ENST00000507778.1,8.0,10.0,11.0,10.0,10.0,11.0,0.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,12.0,8.0,9.0
>ENST00000479379.2,8.0,9.0,11.0,11.0,9.0,13.0,9.0,0.0,10.0,12.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,8.0,8.0,11.0
>ENST00000596555.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,10.0,7.0
>ENST00000603811.1,9.0,9.0,10.0,10.0,8.0,9.0,9.0,12.0,8.0,0.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,10.0,8.0
>ENST00000431574.1,11.0,10.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,0.0,9.0,9.0,10.0,11.0,9.0,9.0,11.0,7.0,8.0,8.0
>ENST00000603861.1,10.0,10.0,8.0,8.0,9.0,11.0,8.0,8.0,10.0,9.0,9.0,0.0,8.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0
>ENST00000603942.1,9.0,9.0,12.0,9.0,11.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,0.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0
>ENST00000513224.1,9.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,8.0,0.0,8.0,11.0,9.0,10.0,9.0,9.0,9.0
>ENST00000429934.1,8.0,10.0,12.0,12.0,9.0,12.0,9.0,10.0,9.0,9.0,11.0,8.0,8.0,8.0,0.0,10.0,9.0,10.0,9.0,9.0,9.0
>ENST00000424370.2,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,11.0,10.0,0.0,11.0,10.0,9.0,10.0,8.0
>ENST00000604520.1,9.0,11.0,10.0,8.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,8.0,8.0,9.0,9.0,11.0,0.0,10.0,8.0,9.0,9.0
>ENST00000528254.1,10.0,9.0,8.0,10.0,11.0,8.0,9.0,8.0,10.0,8.0,11.0,8.0,9.0,10.0,10.0,10.0,10.0,0.0,9.0,10.0,8.0
>ENST00000407725.2,8.0,10.0,10.0,10.0,9.0,8.0,12.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,8.0,9.0,0.0,8.0,7.0
>ENST00000430780.1,9.0,9.0,10.0,8.0,11.0,11.0,8.0,8.0,10.0,10.0,8.0,7.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,0.0,8.0
>ENST00000426040.1,9.0,9.0,8.0,9.0,9.0,10.0,9.0,11.0,7.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,0.0
