,>ENST00000392293.2,>ENST00000485059.1,>ENST00000498403.1,>ENST00000481698.1,>ENST00000514003.2,>ENST00000395943.3,>ENST00000491303.2,>ENST00000564933.5,>ENST00000489946.1,>ENST00000440505.1,>ENST00000605712.1,ENSG00000200757.1,>ENST00000550420.1,>ENST00000521678.1,>ENST00000588023.1,>ENST00000566704.1,>ENST00000478174.1,>ENST00000512910.1,>ENST00000550710.1,>ENST00000431607.1,ENSG00000197532.1,ENSG00000200095.1,>ENST00000467589.1,>ENST00000445588.2,>ENST00000452289.1,>ENST00000508857.2,>ENST00000547968.1,>ENST00000441482.1,>ENST00000518404.1,>ENST00000531247.1,>ENST00000400616.2,>ENST00000432723.3,>ENST00000414265.1,>ENST00000555304.1,>ENST00000604713.1
>ENST00000392293.2,0.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,12.0,11.0,9.0,12.0,12.0,8.0,10.0,10.0,8.0,11.0,10.0,10.0,9.0,8.0,9.0,11.0,11.0,8.0,12.0,8.0,11.0,10.0
>ENST00000485059.1,10.0,0.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,9.0,7.0,6.0,11.0,7.0,9.0,5.0,8.0,9.0,8.0,7.0,9.0,10.0,7.0,7.0,10.0,8.0,8.0,7.0,9.0
>ENST00000498403.1,8.0,11.0,0.0,10.0,8.0,10.0,8.0,8.0,9.0,10.0,10.0,7.0,8.0,7.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,6.0,9.0,11.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0
>ENST00000481698.1,10.0,9.0,10.0,0.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,7.0,10.0,9.0,9.0,9.0,11.0,13.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,11.0,10.0,12.0,9.0,9.0,9.0
>ENST00000514003.2,9.0,8.0,8.0,8.0,0.0,9.0,8.0,12.0,8.0,8.0,8.0,7.0,11.0,10.0,8.0,11.0,10.0,8.0,8.0,9.0,10.0,11.0,9.0,11.0,7.0,10.0,8.0,9.0,10.0,9.0,12.0,10.0,9.0,9.0,10.0
>ENST00000395943.3,10.0,8.0,10.0,8.0,9.0,0.0,9.0,10.0,9.0,8.0,9.0,9.0,12.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,7.0,8.0,9.0,8.0,11.0,7.0,9.0,11.0,8.0,10.0,9.0,10.0,9.0,12.0
>ENST00000491303.2,10.0,9.0,8.0,9.0,8.0,9.0,0.0,9.0,9.0,10.0,8.0,6.0,9.0,8.0,9.0,8.0,10.0,8.0,7.0,9.0,12.0,6.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,8.0,8.0,12.0,9.0,9.0,9.0
>ENST00000564933.5,10.0,9.0,8.0,10.0,12.0,10.0,9.0,0.0,10.0,11.0,10.0,7.0,12.0,10.0,9.0,10.0,10.0,9.0,8.0,11.0,10.0,8.0,11.0,11.0,14.0,9.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,9.0,11.0
>ENST00000489946.1,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,0.0,9.0,8.0,7.0,13.0,11.0,7.0,9.0,11.0,8.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,8.0,11.0,11.0,8.0,8.0,13.0,8.0,8.0,10.0
>ENST00000440505.1,10.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,9.0,0.0,8.0,7.0,9.0,9.0,9.0,8.0,12.0,8.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,9.0,7.0
>ENST00000605712.1,8.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0,0.0,6.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,7.0,14.0,8.0,11.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0
ENSG00000200757.1,9.0,7.0,7.0,7.0,7.0,9.0,6.0,7.0,7.0,7.0,6.0,0.0,10.0,6.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,7.0,9.0,6.0,7.0,6.0,7.0,10.0,8.0,7.0,10.0,8.0,7.0,7.0
>ENST00000550420.1,10.0,9.0,8.0,10.0,11.0,12.0,9.0,12.0,13.0,9.0,9.0,10.0,0.0,9.0,9.0,11.0,10.0,8.0,9.0,12.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,12.0,10.0,9.0,10.0
>ENST00000521678.1,12.0,7.0,7.0,9.0,10.0,8.0,8.0,10.0,11.0,9.0,8.0,6.0,9.0,0.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,6.0,7.0,10.0,9.0,8.0,8.0,8.0,12.0,8.0,9.0,11.0,8.0,9.0,8.0
>ENST00000588023.1,11.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,9.0,0.0,10.0,9.0,9.0,8.0,7.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,7.0,8.0
>ENST00000566704.1,9.0,9.0,10.0,9.0,11.0,10.0,8.0,10.0,9.0,8.0,9.0,8.0,11.0,9.0,10.0,0.0,9.0,8.0,9.0,9.0,11.0,8.0,13.0,10.0,9.0,9.0,7.0,9.0,11.0,9.0,9.0,10.0,10.0,8.0,9.0
>ENST00000478174.1,12.0,7.0,8.0,11.0,10.0,10.0,10.0,10.0,11.0,12.0,8.0,8.0,10.0,11.0,9.0,9.0,0.0,9.0,8.0,10.0,10.0,11.0,8.0,13.0,9.0,10.0,8.0,9.0,11.0,10.0,11.0,13.0,9.0,9.0,9.0
>ENST00000512910.1,12.0,6.0,8.0,13.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,0.0,7.0,8.0,9.0,7.0,7.0,8.0,8.0,6.0,8.0,8.0,9.0,9.0,7.0,8.0,7.0,7.0,8.0
>ENST00000550710.1,8.0,11.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,0.0,8.0,8.0,10.0,8.0,9.0,6.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,7.0,8.0
>ENST00000431607.1,10.0,7.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,7.0,8.0,12.0,9.0,7.0,9.0,10.0,8.0,8.0,0.0,9.0,7.0,10.0,9.0,10.0,8.0,8.0,11.0,9.0,8.0,9.0,11.0,8.0,9.0,10.0
ENSG00000197532.1,10.0,9.0,8.0,10.0,10.0,10.0,12.0,10.0,9.0,9.0,14.0,7.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,0.0,7.0,9.0,14.0,10.0,10.0,10.0,12.0,12.0,9.0,9.0,11.0,10.0,8.0,10.0
ENSG00000200095.1,8.0,5.0,6.0,9.0,11.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,11.0,7.0,10.0,7.0,7.0,0.0,8.0,8.0,7.0,9.0,7.0,7.0,10.0,10.0,7.0,9.0,7.0,7.0,7.0
>ENST00000467589.1,11.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,8.0,8.0,11.0,7.0,9.0,7.0,7.0,13.0,8.0,7.0,8.0,10.0,9.0,8.0,0.0,7.0,9.0,8.0,7.0,12.0,9.0,11.0,7.0,9.0,9.0,8.0,8.0
>ENST00000445588.2,10.0,9.0,11.0,9.0,11.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,13.0,8.0,9.0,9.0,14.0,8.0,7.0,0.0,8.0,11.0,8.0,9.0,12.0,9.0,8.0,10.0,9.0,9.0,9.0
>ENST00000452289.1,10.0,8.0,9.0,10.0,7.0,8.0,10.0,14.0,9.0,8.0,7.0,6.0,8.0,9.0,8.0,9.0,9.0,8.0,6.0,10.0,10.0,7.0,9.0,8.0,0.0,8.0,10.0,8.0,9.0,8.0,8.0,11.0,9.0,10.0,7.0
>ENST00000508857.2,9.0,7.0,10.0,9.0,10.0,11.0,8.0,9.0,10.0,7.0,8.0,7.0,8.0,8.0,8.0,9.0,10.0,6.0,9.0,8.0,10.0,9.0,8.0,11.0,8.0,0.0,8.0,10.0,9.0,10.0,12.0,10.0,7.0,7.0,7.0
