,ENSG00000223064.1,ENSG00000207689.1,ENSG00000252510.1,ENSG00000201145.1,ENSG00000275588.1,ENSG00000222236.1,ENSG00000252621.1,ENSG00000200336.1,ENSG00000274416.1,ENSG00000186564.5,ENSG00000221377.1,ENSG00000244389.3,ENSG00000207155.1,ENSG00000116661.9,ENSG00000202354.1,ENSG00000207206.1,ENSG00000241834.3,ENSG00000212171.1,ENSG00000208883.1,ENSG00000207221.1,ENSG00000221449.1,ENSG00000172457.5,ENSG00000242719.3,ENSG00000275070.1,ENSG00000269586.7,ENSG00000201448.1,ENSG00000252218.1,ENSG00000158604.14,ENSG00000206627.1,ENSG00000252548.1,ENSG00000207445.1,ENSG00000275713.2,ENSG00000163739.4,ENSG00000199631.1,ENSG00000239197.1,ENSG00000200619.1,ENSG00000120094.6,ENSG00000207316.1,ENSG00000207387.1,ENSG00000200191.1,ENSG00000125285.5,ENSG00000135569.4,ENSG00000266828.2,ENSG00000272385.1,ENSG00000277537.1,ENSG00000264972.2,ENSG00000277062.1,ENSG00000207703.1,ENSG00000280896.1,ENSG00000238832.1,ENSG00000207406.1,ENSG00000212546.1,ENSG00000275689.1,ENSG00000200889.1,ENSG00000278333.1,ENSG00000207258.1,ENSG00000207604.2,ENSG00000239101.1,ENSG00000116157.5,ENSG00000212102.1,ENSG00000207080.2
ENSG00000223064.1,0.0,8.0,9.0,8.0,8.0,8.0,6.0,6.0,5.0,8.0,6.0,7.0,6.0,8.0,6.0,19.0,6.0,6.0,5.0,6.0,8.0,7.0,7.0,6.0,11.0,6.0,9.0,9.0,21.0,6.0,7.0,8.0,9.0,5.0,7.0,8.0,9.0,6.0,5.0,6.0,10.0,7.0,7.0,6.0,6.0,6.0,6.0,8.0,7.0,8.0,9.0,15.0,7.0,7.0,7.0,6.0,7.0,10.0,10.0,7.0,6.0
ENSG00000207689.1,8.0,0.0,6.0,6.0,7.0,7.0,7.0,5.0,6.0,8.0,34.0,7.0,5.0,8.0,7.0,8.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,9.0,6.0,7.0,9.0,6.0,5.0,6.0,9.0,8.0,6.0,6.0,5.0,9.0,5.0,7.0,6.0,9.0,7.0,7.0,7.0,12.0,26.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,8.0,6.0,6.0,8.0,8.0,9.0,6.0,5.0
ENSG00000252510.1,9.0,6.0,0.0,27.0,7.0,31.0,5.0,22.0,8.0,9.0,6.0,7.0,6.0,9.0,6.0,9.0,7.0,33.0,6.0,8.0,7.0,9.0,8.0,7.0,11.0,7.0,8.0,9.0,9.0,8.0,6.0,9.0,9.0,6.0,9.0,29.0,9.0,6.0,6.0,6.0,10.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,9.0,6.0,6.0,6.0,8.0,6.0,6.0,5.0,8.0,7.0,9.0,7.0,6.0
ENSG00000201145.1,8.0,6.0,27.0,0.0,7.0,17.0,7.0,27.0,8.0,9.0,7.0,6.0,5.0,11.0,5.0,7.0,9.0,39.0,7.0,9.0,7.0,8.0,7.0,9.0,9.0,7.0,6.0,11.0,6.0,5.0,7.0,11.0,8.0,6.0,6.0,18.0,9.0,7.0,5.0,7.0,9.0,10.0,10.0,7.0,6.0,5.0,7.0,6.0,8.0,8.0,6.0,5.0,9.0,7.0,9.0,6.0,7.0,7.0,10.0,6.0,7.0
ENSG00000275588.1,8.0,7.0,7.0,7.0,0.0,7.0,9.0,7.0,7.0,11.0,7.0,61.0,8.0,20.0,8.0,8.0,52.0,6.0,7.0,7.0,8.0,10.0,28.0,18.0,13.0,6.0,8.0,10.0,8.0,7.0,8.0,8.0,10.0,7.0,8.0,8.0,9.0,9.0,7.0,7.0,10.0,8.0,28.0,7.0,6.0,7.0,66.0,8.0,17.0,9.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,10.0,23.0,8.0,8.0
ENSG00000222236.1,8.0,7.0,31.0,17.0,7.0,0.0,6.0,13.0,6.0,9.0,6.0,7.0,5.0,10.0,6.0,5.0,7.0,25.0,6.0,7.0,6.0,11.0,7.0,6.0,9.0,7.0,7.0,10.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,30.0,8.0,7.0,6.0,5.0,8.0,9.0,10.0,8.0,5.0,6.0,7.0,7.0,8.0,10.0,6.0,6.0,6.0,8.0,6.0,5.0,6.0,6.0,9.0,6.0,7.0
ENSG00000252621.1,6.0,7.0,5.0,7.0,9.0,6.0,0.0,7.0,5.0,8.0,5.0,7.0,18.0,9.0,9.0,6.0,7.0,5.0,6.0,6.0,8.0,8.0,7.0,8.0,12.0,7.0,8.0,10.0,6.0,6.0,6.0,10.0,9.0,7.0,6.0,8.0,10.0,15.0,7.0,7.0,7.0,8.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,6.0,6.0,6.0,6.0,8.0,16.0,6.0,6.0,10.0,6.0,14.0
ENSG00000200336.1,6.0,5.0,22.0,27.0,7.0,13.0,7.0,0.0,6.0,10.0,6.0,7.0,7.0,9.0,5.0,6.0,8.0,20.0,9.0,9.0,8.0,9.0,7.0,10.0,10.0,7.0,7.0,9.0,6.0,7.0,6.0,9.0,8.0,6.0,9.0,18.0,9.0,9.0,5.0,7.0,8.0,9.0,7.0,7.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,5.0,11.0,8.0,7.0,6.0,6.0,7.0,9.0,8.0,7.0
ENSG00000274416.1,5.0,6.0,8.0,8.0,7.0,6.0,5.0,6.0,0.0,9.0,5.0,8.0,5.0,10.0,6.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,10.0,7.0,10.0,6.0,6.0,9.0,5.0,7.0,7.0,8.0,9.0,6.0,6.0,6.0,9.0,6.0,6.0,6.0,9.0,8.0,8.0,6.0,5.0,5.0,7.0,10.0,7.0,7.0,7.0,5.0,7.0,8.0,6.0,5.0,6.0,7.0,9.0,8.0,6.0
ENSG00000186564.5,8.0,8.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,0.0,8.0,9.0,8.0,14.0,10.0,12.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,13.0,15.0,9.0,10.0,25.0,12.0,10.0,9.0,11.0,12.0,9.0,8.0,8.0,12.0,10.0,10.0,9.0,17.0,12.0,9.0,8.0,11.0,8.0,12.0,9.0,11.0,9.0,8.0,8.0,11.0,9.0,12.0,9.0,9.0,9.0,15.0,8.0,10.0
