,>ENST00000598912.1,>ENST00000505539.1,>ENST00000451239.1,>ENST00000420977.1,ENSG00000266477.2,>ENST00000519658.1,>ENST00000454958.1,>ENST00000456056.1,>ENST00000532608.1,>ENST00000601788.1,>ENST00000411729.1,>ENST00000495378.1,>ENST00000432112.2,>ENST00000617126.1,>ENST00000604811.1,>ENST00000626823.1,>ENST00000405580.1,>ENST00000503137.1,>ENST00000511612.1,>ENST00000568778.3,>ENST00000526069.1,>ENST00000532310.1,>ENST00000569391.1,>ENST00000456830.1,>ENST00000421395.1,>ENST00000404269.1,>ENST00000460716.1,>ENST00000434946.1,>ENST00000580702.1,>ENST00000390555.3,>ENST00000376932.3,>ENST00000436561.1,>ENST00000518369.1,>ENST00000411880.3,>ENST00000546447.1,>ENST00000507474.1,>ENST00000513164.2,>ENST00000504991.1,>ENST00000450678.1,>ENST00000454208.1,>ENST00000435754.1,>ENST00000521763.1,>ENST00000439300.1,>ENST00000332473.2,>ENST00000460165.2,>ENST00000382676.1,>ENST00000407268.2
>ENST00000598912.1,0.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,15.0,8.0,10.0,7.0,10.0,13.0,9.0,8.0,10.0,10.0,11.0,11.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,12.0,8.0,9.0,8.0,11.0,10.0,8.0,10.0,10.0,10.0,11.0,12.0
>ENST00000505539.1,9.0,0.0,10.0,10.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,11.0,8.0,8.0,11.0,11.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,12.0,12.0,10.0,10.0,12.0,10.0,9.0,12.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,10.0,8.0,9.0,8.0,8.0
>ENST00000451239.1,9.0,10.0,0.0,7.0,8.0,7.0,7.0,10.0,10.0,9.0,9.0,10.0,10.0,7.0,7.0,10.0,11.0,9.0,7.0,9.0,8.0,13.0,7.0,9.0,10.0,7.0,11.0,11.0,12.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,8.0,10.0,8.0,10.0,7.0,6.0
>ENST00000420977.1,9.0,10.0,7.0,0.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,7.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,12.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,11.0,7.0,10.0,8.0,7.0
ENSG00000266477.2,9.0,8.0,8.0,10.0,0.0,7.0,9.0,10.0,12.0,8.0,10.0,8.0,9.0,7.0,7.0,7.0,9.0,8.0,10.0,9.0,11.0,8.0,8.0,7.0,9.0,7.0,9.0,10.0,9.0,10.0,8.0,10.0,7.0,7.0,7.0,10.0,8.0,8.0,9.0,8.0,8.0,7.0,10.0,8.0,8.0,7.0,7.0
>ENST00000519658.1,11.0,10.0,7.0,10.0,7.0,0.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,11.0,11.0,9.0,11.0,10.0,8.0,8.0,8.0,11.0,8.0,9.0,9.0,9.0,11.0,8.0,10.0,11.0,10.0,8.0,9.0
>ENST00000454958.1,8.0,9.0,7.0,9.0,9.0,9.0,0.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,7.0,9.0,10.0,11.0,8.0,9.0,11.0,10.0,8.0,12.0,10.0,10.0,10.0,9.0,8.0
>ENST00000456056.1,9.0,11.0,10.0,11.0,10.0,9.0,10.0,0.0,12.0,9.0,10.0,10.0,9.0,10.0,7.0,7.0,10.0,10.0,10.0,8.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,8.0,9.0,9.0,8.0,11.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0
>ENST00000532608.1,10.0,9.0,10.0,9.0,12.0,10.0,8.0,12.0,0.0,10.0,10.0,10.0,11.0,7.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,13.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,9.0,8.0,8.0,8.0,11.0,10.0,8.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0
>ENST00000601788.1,9.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,0.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,11.0,10.0,11.0,8.0,9.0,9.0,14.0,9.0,12.0,8.0,11.0,9.0,10.0,11.0,8.0,8.0,8.0,8.0
>ENST00000411729.1,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.0,14.0,8.0,9.0,7.0,10.0,10.0,9.0,10.0,9.0,9.0,12.0,9.0,11.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0,8.0,10.0,8.0,10.0,8.0,8.0,11.0,10.0,9.0,11.0,11.0,8.0,8.0,9.0,8.0
>ENST00000495378.1,9.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,8.0,0.0,10.0,8.0,12.0,8.0,8.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,10.0,7.0,9.0,10.0,12.0,9.0,9.0,10.0,8.0,10.0,7.0,10.0,10.0,9.0,8.0,8.0,9.0,8.0,11.0,9.0,9.0,8.0,8.0
>ENST00000432112.2,15.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,14.0,10.0,0.0,10.0,9.0,7.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,12.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,11.0,10.0,8.0,8.0,8.0
>ENST00000617126.1,8.0,11.0,7.0,7.0,7.0,9.0,10.0,10.0,7.0,9.0,8.0,8.0,10.0,0.0,7.0,7.0,7.0,10.0,7.0,8.0,8.0,7.0,11.0,8.0,9.0,10.0,10.0,11.0,9.0,8.0,10.0,11.0,8.0,10.0,7.0,11.0,8.0,8.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
>ENST00000604811.1,10.0,8.0,7.0,9.0,7.0,8.0,8.0,7.0,9.0,8.0,9.0,12.0,9.0,7.0,0.0,7.0,7.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,6.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,10.0,7.0,10.0,10.0,8.0,9.0,8.0,7.0,8.0,7.0
>ENST00000626823.1,7.0,8.0,10.0,10.0,7.0,8.0,8.0,7.0,9.0,9.0,7.0,8.0,7.0,7.0,7.0,0.0,8.0,7.0,7.0,9.0,9.0,7.0,7.0,6.0,10.0,6.0,7.0,8.0,10.0,7.0,6.0,7.0,10.0,6.0,6.0,7.0,8.0,7.0,9.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0
>ENST00000405580.1,10.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,7.0,7.0,8.0,0.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,7.0,8.0,8.0,10.0,7.0,11.0,8.0,8.0,9.0,8.0
>ENST00000503137.1,13.0,11.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,0.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,11.0,10.0,11.0,10.0,10.0,11.0,8.0,11.0,11.0,11.0,9.0,9.0,11.0,11.0,10.0,9.0,11.0,12.0,10.0,10.0,10.0
>ENST00000511612.1,9.0,9.0,7.0,8.0,10.0,8.0,7.0,10.0,8.0,10.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,0.0,8.0,7.0,7.0,8.0,7.0,8.0,6.0,10.0,9.0,9.0,8.0,8.0,9.0,7.0,7.0,7.0,12.0,7.0,7.0,8.0,10.0,7.0,9.0,8.0,12.0,7.0,8.0,7.0
>ENST00000568778.3,8.0,9.0,9.0,10.0,9.0,8.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,0.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,12.0,10.0,9.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0
>ENST00000526069.1,10.0,10.0,8.0,10.0,11.0,9.0,8.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,7.0,9.0,0.0,8.0,8.0,10.0,11.0,9.0,9.0,10.0,11.0,9.0,8.0,9.0,7.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,7.0,11.0,8.0,8.0,8.0,8.0
>ENST00000532310.1,10.0,9.0,13.0,9.0,8.0,10.0,10.0,9.0,13.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,0.0,8.0,9.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,11.0,8.0,9.0,7.0,9.0,13.0,10.0,11.0,11.0,9.0,8.0,10.0,8.0,10.0,8.0,8.0
>ENST00000569391.1,11.0,9.0,7.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,12.0,8.0,9.0,11.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,0.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,11.0,8.0,10.0,10.0,12.0,10.0,8.0,9.0
>ENST00000456830.1,11.0,10.0,9.0,10.0,7.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,6.0,9.0,10.0,7.0,9.0,10.0,9.0,8.0,0.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0,10.0,12.0,9.0,11.0,9.0,8.0,9.0,10.0,12.0,11.0,10.0,9.0,9.0,8.0,7.0
>ENST00000421395.1,10.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,12.0,11.0,10.0,9.0,9.0,9.0,10.0,8.0,11.0,8.0,10.0,11.0,9.0,10.0,10.0,0.0,10.0,9.0,11.0,10.0,11.0,9.0,12.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0,9.0,10.0,10.0,8.0
>ENST00000404269.1,8.0,9.0,7.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,10.0,6.0,6.0,7.0,8.0,6.0,8.0,9.0,8.0,8.0,9.0,10.0,0.0,7.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,11.0,8.0,8.0,7.0,9.0,7.0,8.0,10.0,7.0,8.0,8.0,8.0
>ENST00000460716.1,9.0,12.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,7.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,7.0,0.0,10.0,11.0,9.0,9.0,10.0,8.0,9.0,8.0,11.0,9.0,11.0,9.0,10.0,8.0,9.0,15.0,11.0,9.0,9.0,8.0
>ENST00000434946.1,10.0,12.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,11.0,8.0,11.0,11.0,8.0,10.0,0.0,11.0,12.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,9.0,9.0,10.0,8.0
>ENST00000580702.1,10.0,10.0,12.0,9.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,9.0,11.0,11.0,0.0,11.0,13.0,11.0,8.0,11.0,8.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0
>ENST00000390555.3,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,11.0,11.0,9.0,11.0,8.0,9.0,7.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,12.0,11.0,0.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,12.0,9.0,9.0,10.0,8.0
>ENST00000376932.3,9.0,12.0,8.0,9.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,7.0,6.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,11.0,13.0,10.0,0.0,11.0,8.0,9.0,7.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0
>ENST00000436561.1,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,11.0,11.0,10.0,10.0,11.0,8.0,7.0,9.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,12.0,8.0,10.0,11.0,11.0,9.0,11.0,0.0,8.0,10.0,8.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0
>ENST00000518369.1,10.0,9.0,10.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,7.0,7.0,7.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,0.0,9.0,7.0,9.0,8.0,10.0,8.0,11.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0
>ENST00000411880.3,8.0,12.0,8.0,12.0,7.0,8.0,9.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,6.0,9.0,11.0,7.0,9.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,0.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,12.0,8.0,8.0,9.0
>ENST00000546447.1,9.0,8.0,9.0,9.0,7.0,8.0,10.0,11.0,8.0,9.0,8.0,7.0,9.0,7.0,7.0,6.0,8.0,11.0,7.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,9.0,0.0,8.0,9.0,9.0,10.0,7.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0
>ENST00000507474.1,12.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,14.0,10.0,10.0,10.0,11.0,9.0,7.0,9.0,11.0,12.0,9.0,10.0,9.0,9.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0,12.0,8.0,0.0,9.0,13.0,8.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0
>ENST00000513164.2,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,7.0,10.0,8.0,13.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,0.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,7.0
>ENST00000504991.1,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,12.0,8.0,9.0,8.0,8.0,10.0,7.0,7.0,9.0,7.0,8.0,9.0,10.0,10.0,8.0,10.0,8.0,11.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,13.0,10.0,0.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,7.0,7.0
>ENST00000450678.1,8.0,9.0,8.0,8.0,9.0,9.0,11.0,11.0,8.0,8.0,11.0,8.0,9.0,8.0,7.0,9.0,8.0,11.0,8.0,7.0,8.0,11.0,8.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,8.0,11.0,8.0,10.0,10.0,8.0,8.0,8.0,0.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0
>ENST00000454208.1,11.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,7.0,8.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,7.0,10.0,9.0,10.0,9.0,0.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0
>ENST00000435754.1,10.0,9.0,10.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,7.0,9.0,9.0,9.0,8.0,12.0,11.0,7.0,8.0,9.0,9.0,12.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,0.0,8.0,9.0,9.0,8.0,9.0,7.0
>ENST00000521763.1,8.0,11.0,8.0,8.0,7.0,8.0,12.0,9.0,8.0,10.0,11.0,8.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,7.0,8.0,10.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,11.0,8.0,8.0,9.0,9.0,8.0,0.0,10.0,7.0,8.0,9.0,8.0
