,>ENST00000485427.1,ENSG00000145632.14,>ENST00000565767.1,>ENST00000504490.2,>ENST00000309296.5,>ENST00000610385.1,>ENST00000605241.1
>ENST00000485427.1,0.0,10.0,11.0,11.0,7.0,7.0,10.0
ENSG00000145632.14,10.0,0.0,11.0,11.0,10.0,11.0,9.0
>ENST00000565767.1,11.0,11.0,0.0,10.0,8.0,9.0,7.0
>ENST00000504490.2,11.0,11.0,10.0,0.0,9.0,13.0,10.0
>ENST00000309296.5,7.0,10.0,8.0,9.0,0.0,8.0,7.0
>ENST00000610385.1,7.0,11.0,9.0,13.0,8.0,0.0,9.0
>ENST00000605241.1,10.0,9.0,7.0,10.0,7.0,9.0,0.0
