,>ENST00000567960.2,>ENST00000605734.1,>ENST00000511645.1,>ENST00000568264.1,ENSG00000206941.1,>ENST00000580133.2,>ENST00000614283.1,ENSG00000238876.1,>ENST00000415963.2,>ENST00000513727.1,>ENST00000436337.1,>ENST00000526692.2,>ENST00000440231.1,>ENST00000496868.1,>ENST00000450065.1,>ENST00000603687.1,>ENST00000476944.2,>ENST00000519111.1,>ENST00000444678.1,>ENST00000547380.2,>ENST00000404435.1,>ENST00000428923.1,>ENST00000420238.1,>ENST00000450201.2,>ENST00000416717.5
>ENST00000567960.2,0.0,8.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,13.0,13.0,10.0,11.0,9.0,12.0
>ENST00000605734.1,8.0,0.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,11.0,8.0,10.0,7.0,8.0,11.0,12.0,10.0,9.0,10.0
>ENST00000511645.1,10.0,8.0,0.0,8.0,10.0,9.0,10.0,8.0,9.0,10.0,11.0,13.0,10.0,9.0,10.0,11.0,14.0,10.0,10.0,10.0,14.0,9.0,10.0,9.0,10.0
>ENST00000568264.1,11.0,8.0,8.0,0.0,7.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,11.0,8.0,8.0,10.0,9.0,8.0,7.0,9.0,11.0,8.0,7.0,8.0,10.0
ENSG00000206941.1,10.0,7.0,10.0,7.0,0.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,11.0,10.0,9.0,6.0,8.0,10.0
>ENST00000580133.2,10.0,8.0,9.0,8.0,7.0,0.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,8.0,11.0,12.0
>ENST00000614283.1,11.0,9.0,10.0,9.0,8.0,10.0,0.0,8.0,9.0,9.0,9.0,12.0,10.0,10.0,11.0,12.0,13.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0
ENSG00000238876.1,10.0,8.0,8.0,7.0,7.0,8.0,8.0,0.0,7.0,7.0,7.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,7.0,9.0,10.0,7.0,7.0,8.0,9.0
>ENST00000415963.2,10.0,8.0,9.0,8.0,7.0,10.0,9.0,7.0,0.0,9.0,8.0,9.0,10.0,9.0,10.0,11.0,13.0,10.0,8.0,10.0,12.0,10.0,9.0,9.0,11.0
>ENST00000513727.1,9.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0,9.0,0.0,10.0,11.0,9.0,11.0,8.0,12.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,9.0,11.0
>ENST00000436337.1,9.0,8.0,11.0,8.0,8.0,9.0,9.0,7.0,8.0,10.0,0.0,10.0,8.0,8.0,9.0,11.0,9.0,10.0,9.0,11.0,11.0,10.0,7.0,8.0,10.0
>ENST00000526692.2,9.0,9.0,13.0,8.0,9.0,9.0,12.0,9.0,9.0,11.0,10.0,0.0,9.0,8.0,13.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,8.0,11.0,10.0
>ENST00000440231.1,9.0,10.0,10.0,11.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0,0.0,10.0,9.0,11.0,9.0,12.0,11.0,10.0,11.0,9.0,12.0,10.0,10.0
>ENST00000496868.1,9.0,8.0,9.0,8.0,8.0,9.0,10.0,7.0,9.0,11.0,8.0,8.0,10.0,0.0,7.0,9.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,11.0
>ENST00000450065.1,11.0,8.0,10.0,8.0,8.0,11.0,11.0,8.0,10.0,8.0,9.0,13.0,9.0,7.0,0.0,10.0,12.0,9.0,10.0,9.0,11.0,9.0,8.0,11.0,11.0
>ENST00000603687.1,10.0,11.0,11.0,10.0,9.0,10.0,12.0,9.0,11.0,12.0,11.0,10.0,11.0,9.0,10.0,0.0,10.0,12.0,9.0,11.0,11.0,10.0,9.0,12.0,12.0
>ENST00000476944.2,11.0,8.0,14.0,9.0,8.0,11.0,13.0,8.0,13.0,10.0,9.0,11.0,9.0,8.0,12.0,10.0,0.0,11.0,10.0,9.0,12.0,9.0,9.0,11.0,12.0
>ENST00000519111.1,10.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,12.0,8.0,9.0,12.0,11.0,0.0,8.0,10.0,10.0,9.0,12.0,9.0,10.0
>ENST00000444678.1,9.0,7.0,10.0,7.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,11.0,8.0,10.0,9.0,10.0,8.0,0.0,9.0,10.0,9.0,9.0,9.0,8.0
>ENST00000547380.2,13.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,0.0,12.0,10.0,10.0,11.0,10.0
>ENST00000404435.1,13.0,11.0,14.0,11.0,10.0,10.0,10.0,10.0,12.0,9.0,11.0,10.0,11.0,10.0,11.0,11.0,12.0,10.0,10.0,12.0,0.0,11.0,10.0,10.0,12.0
>ENST00000428923.1,10.0,12.0,9.0,8.0,9.0,10.0,10.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,0.0,10.0,10.0,11.0
>ENST00000420238.1,11.0,10.0,10.0,7.0,6.0,8.0,9.0,7.0,9.0,11.0,7.0,8.0,12.0,9.0,8.0,9.0,9.0,12.0,9.0,10.0,10.0,10.0,0.0,10.0,11.0
>ENST00000450201.2,9.0,9.0,9.0,8.0,8.0,11.0,10.0,8.0,9.0,9.0,8.0,11.0,10.0,8.0,11.0,12.0,11.0,9.0,9.0,11.0,10.0,10.0,10.0,0.0,11.0
>ENST00000416717.5,12.0,10.0,10.0,10.0,10.0,12.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,10.0,8.0,10.0,12.0,11.0,11.0,11.0,0.0
