,>ENST00000456611.1,>ENST00000391730.2,>ENST00000392864.2,>ENST00000560358.2,>ENST00000411618.1,>ENST00000520506.1,>ENST00000495438.1,>ENST00000456549.1,ENSG00000221535.1,>ENST00000437005.1,>ENST00000440710.1,>ENST00000559380.1,>ENST00000377927.3,>ENST00000603673.1,ENSG00000064490.13,>ENST00000431021.1,>ENST00000508172.3,>ENST00000441715.2,>ENST00000624821.1,ENSG00000265730.1,>ENST00000441577.1,>ENST00000407851.1,>ENST00000443049.1,>ENST00000467568.2,>ENST00000434672.1,>ENST00000524813.2,>ENST00000615912.1,>ENST00000507207.1,>ENST00000572092.1,>ENST00000421750.1,>ENST00000519251.1,>ENST00000420737.2
>ENST00000456611.1,0.0,9.0,14.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,13.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0
>ENST00000391730.2,9.0,0.0,10.0,10.0,12.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,14.0,10.0,9.0,9.0,11.0,8.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,8.0,10.0,9.0,8.0,13.0
>ENST00000392864.2,14.0,10.0,0.0,10.0,10.0,12.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,12.0,10.0,9.0,9.0,10.0,8.0,10.0,12.0,8.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,11.0
>ENST00000560358.2,9.0,10.0,10.0,0.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,11.0,9.0,12.0,8.0,15.0,11.0,9.0,8.0,9.0,12.0,10.0,9.0,10.0,12.0,10.0,9.0,11.0,9.0,8.0,9.0
>ENST00000411618.1,9.0,12.0,10.0,11.0,0.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,12.0,8.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,12.0,8.0,10.0,10.0,8.0,11.0,9.0,9.0,13.0
>ENST00000520506.1,8.0,10.0,12.0,10.0,10.0,0.0,9.0,9.0,7.0,10.0,10.0,8.0,9.0,7.0,9.0,8.0,9.0,13.0,11.0,9.0,73.0,8.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0
>ENST00000495438.1,9.0,9.0,9.0,9.0,10.0,9.0,0.0,8.0,6.0,9.0,7.0,8.0,9.0,7.0,11.0,10.0,11.0,8.0,10.0,6.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0
>ENST00000456549.1,9.0,8.0,9.0,10.0,9.0,9.0,8.0,0.0,8.0,9.0,12.0,9.0,9.0,12.0,10.0,11.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,8.0,7.0,9.0
ENSG00000221535.1,8.0,10.0,10.0,8.0,8.0,7.0,6.0,8.0,0.0,7.0,7.0,8.0,8.0,7.0,9.0,12.0,7.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,6.0,8.0,10.0,6.0,8.0,8.0,6.0,8.0
>ENST00000437005.1,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,7.0,0.0,9.0,8.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,8.0,11.0
>ENST00000440710.1,9.0,8.0,10.0,9.0,9.0,10.0,7.0,12.0,7.0,9.0,0.0,9.0,10.0,9.0,11.0,8.0,9.0,8.0,9.0,7.0,8.0,7.0,11.0,9.0,7.0,11.0,10.0,10.0,9.0,8.0,8.0,9.0
>ENST00000559380.1,9.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,0.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,12.0,11.0,8.0,9.0,8.0,8.0,10.0
>ENST00000377927.3,9.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,0.0,9.0,11.0,8.0,11.0,11.0,11.0,8.0,10.0,11.0,10.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0
>ENST00000603673.1,8.0,9.0,9.0,9.0,10.0,7.0,7.0,12.0,7.0,9.0,9.0,8.0,9.0,0.0,10.0,8.0,8.0,10.0,8.0,7.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,11.0,9.0
ENSG00000064490.13,13.0,14.0,12.0,12.0,12.0,9.0,11.0,10.0,9.0,11.0,11.0,10.0,11.0,10.0,0.0,11.0,11.0,13.0,13.0,10.0,11.0,11.0,11.0,12.0,10.0,12.0,11.0,10.0,11.0,14.0,10.0,13.0
>ENST00000431021.1,9.0,10.0,10.0,8.0,8.0,8.0,10.0,11.0,12.0,10.0,8.0,8.0,8.0,8.0,11.0,0.0,9.0,8.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,10.0,8.0,8.0,8.0
>ENST00000508172.3,9.0,9.0,9.0,15.0,10.0,9.0,11.0,10.0,7.0,10.0,9.0,8.0,11.0,8.0,11.0,9.0,0.0,8.0,10.0,8.0,8.0,10.0,12.0,9.0,12.0,12.0,13.0,8.0,10.0,12.0,11.0,11.0
>ENST00000441715.2,11.0,9.0,9.0,11.0,11.0,13.0,8.0,8.0,8.0,10.0,8.0,8.0,11.0,10.0,13.0,8.0,8.0,0.0,9.0,7.0,9.0,11.0,10.0,11.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,11.0
>ENST00000624821.1,9.0,11.0,10.0,9.0,11.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,11.0,8.0,13.0,9.0,10.0,9.0,0.0,7.0,9.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,10.0,12.0,8.0,11.0
ENSG00000265730.1,9.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,8.0,10.0,7.0,8.0,8.0,7.0,10.0,7.0,8.0,7.0,7.0,0.0,8.0,8.0,6.0,8.0,6.0,9.0,9.0,6.0,10.0,8.0,9.0,8.0
>ENST00000441577.1,9.0,8.0,10.0,9.0,9.0,73.0,10.0,8.0,7.0,9.0,8.0,8.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,0.0,9.0,11.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,11.0,9.0
>ENST00000407851.1,9.0,9.0,12.0,12.0,10.0,8.0,9.0,8.0,8.0,10.0,7.0,9.0,11.0,10.0,11.0,8.0,10.0,11.0,9.0,8.0,9.0,0.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,10.0,10.0
>ENST00000443049.1,10.0,10.0,8.0,10.0,10.0,11.0,10.0,8.0,6.0,11.0,11.0,8.0,10.0,10.0,11.0,8.0,12.0,10.0,10.0,6.0,11.0,9.0,0.0,8.0,9.0,12.0,9.0,9.0,10.0,8.0,9.0,10.0
>ENST00000467568.2,10.0,10.0,10.0,9.0,12.0,9.0,9.0,9.0,8.0,11.0,9.0,8.0,11.0,9.0,12.0,9.0,9.0,11.0,10.0,8.0,9.0,10.0,8.0,0.0,11.0,11.0,11.0,8.0,9.0,8.0,9.0,10.0
>ENST00000434672.1,8.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,6.0,8.0,7.0,9.0,8.0,9.0,10.0,7.0,12.0,9.0,10.0,6.0,8.0,10.0,9.0,11.0,0.0,11.0,10.0,7.0,9.0,9.0,8.0,9.0
>ENST00000524813.2,11.0,11.0,11.0,12.0,10.0,9.0,10.0,10.0,8.0,11.0,11.0,12.0,10.0,9.0,12.0,9.0,12.0,10.0,12.0,9.0,9.0,10.0,12.0,11.0,11.0,0.0,11.0,12.0,14.0,9.0,10.0,11.0
