,>ENST00000551901.5,>ENST00000483874.1,ENSG00000277502.1,>ENST00000526806.1,>ENST00000417549.1,>ENST00000510422.1,>ENST00000420888.1,>ENST00000526843.2,>ENST00000576545.1,>ENST00000430958.1,>ENST00000425243.1,>ENST00000396599.2,>ENST00000421799.1,>ENST00000583470.1,>ENST00000513620.1,>ENST00000419615.1,>ENST00000534895.1,>ENST00000567872.1,>ENST00000592379.2,>ENST00000434035.1,>ENST00000610994.1,>ENST00000439631.1,>ENST00000524498.1,>ENST00000619498.1,>ENST00000444468.1,>ENST00000450699.2,>ENST00000447765.1,ENSG00000239590.1,>ENST00000429616.1,>ENST00000543961.1,>ENST00000511085.1,>ENST00000452879.1,>ENST00000413068.1,>ENST00000616611.1,>ENST00000569698.2
>ENST00000551901.5,0.0,11.0,9.0,9.0,13.0,9.0,12.0,10.0,10.0,11.0,12.0,10.0,9.0,11.0,11.0,13.0,10.0,10.0,8.0,8.0,11.0,11.0,8.0,7.0,9.0,11.0,9.0,11.0,8.0,11.0,9.0,10.0,11.0,9.0,9.0
>ENST00000483874.1,11.0,0.0,8.0,10.0,10.0,8.0,12.0,13.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,10.0,11.0,10.0,10.0,8.0,7.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
ENSG00000277502.1,9.0,8.0,0.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,10.0,9.0,10.0,7.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,6.0,10.0,8.0
>ENST00000526806.1,9.0,10.0,9.0,0.0,8.0,13.0,7.0,9.0,7.0,10.0,8.0,7.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,8.0,9.0,9.0,6.0,8.0,8.0,7.0,12.0,7.0,10.0,8.0,10.0,7.0,9.0,10.0
>ENST00000417549.1,13.0,10.0,9.0,8.0,0.0,11.0,10.0,10.0,11.0,11.0,11.0,9.0,10.0,12.0,12.0,12.0,9.0,10.0,9.0,12.0,9.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,9.0,12.0,9.0,10.0,9.0,11.0,10.0
>ENST00000510422.1,9.0,8.0,11.0,13.0,11.0,0.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,12.0,11.0,8.0,10.0,10.0,9.0,9.0,11.0,10.0,11.0,9.0,8.0,14.0,9.0
>ENST00000420888.1,12.0,12.0,9.0,7.0,10.0,9.0,0.0,9.0,9.0,9.0,10.0,10.0,12.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,11.0,10.0,8.0,8.0,8.0,9.0,12.0,11.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0
>ENST00000526843.2,10.0,13.0,8.0,9.0,10.0,9.0,9.0,0.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,12.0,11.0,11.0,10.0,9.0,7.0,9.0,8.0,10.0,11.0,10.0,8.0,11.0,9.0,10.0,10.0,10.0,8.0
>ENST00000576545.1,10.0,10.0,10.0,7.0,11.0,9.0,9.0,10.0,0.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,10.0,8.0,9.0,9.0,7.0,9.0,8.0,14.0,8.0,8.0,8.0
>ENST00000430958.1,11.0,10.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,0.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,12.0,10.0,9.0,8.0,9.0,14.0,10.0,10.0,9.0,12.0,10.0,14.0,10.0,12.0,9.0
