,>ENST00000526830.1,>ENST00000417063.1,>ENST00000444895.1,>ENST00000428428.1,>ENST00000443400.1,>ENST00000448802.1,>ENST00000604869.1,>ENST00000507811.2,>ENST00000604493.1,>ENST00000620027.5,>ENST00000450600.1,>ENST00000559921.1,>ENST00000556888.2,>ENST00000449745.1,>ENST00000424043.3,>ENST00000452058.1,>ENST00000465511.1,>ENST00000444224.1,>ENST00000442790.2,>ENST00000553483.3,>ENST00000458118.5,ENSG00000238658.1,>ENST00000533247.1,>ENST00000451978.2,>ENST00000420685.1,>ENST00000434367.1,>ENST00000563482.1,>ENST00000417104.1,>ENST00000620700.1,>ENST00000632688.1,>ENST00000309229.6,>ENST00000493072.1,>ENST00000580276.1,>ENST00000430258.2,>ENST00000441918.1,>ENST00000615621.1,>ENST00000453101.1,>ENST00000554692.1,>ENST00000439549.1,>ENST00000513176.2,>ENST00000532759.1,>ENST00000443989.1,>ENST00000527255.1,>ENST00000334187.12,>ENST00000578494.1,>ENST00000510014.1,>ENST00000413707.1,>ENST00000448647.2,>ENST00000433292.2,>ENST00000463059.1,>ENST00000580060.1,>ENST00000473701.2,>ENST00000557841.1,>ENST00000427639.1,>ENST00000508098.1,>ENST00000416734.1,>ENST00000605793.1
>ENST00000526830.1,0.0,9.0,10.0,10.0,8.0,10.0,9.0,12.0,8.0,10.0,10.0,12.0,12.0,11.0,9.0,8.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,11.0,12.0,9.0,11.0,10.0,11.0,11.0,12.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,13.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0
>ENST00000417063.1,9.0,0.0,8.0,8.0,7.0,8.0,8.0,10.0,9.0,11.0,12.0,9.0,8.0,10.0,9.0,7.0,11.0,9.0,9.0,10.0,10.0,7.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,12.0,10.0,8.0,9.0,11.0,7.0,9.0,10.0,12.0,10.0,10.0,7.0,7.0,9.0,12.0
>ENST00000444895.1,10.0,8.0,0.0,8.0,8.0,10.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,13.0,9.0,8.0,10.0,12.0,11.0,10.0,12.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,12.0,9.0,11.0,12.0,13.0,10.0,8.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,15.0,11.0,9.0,10.0,10.0,11.0,8.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0
>ENST00000428428.1,10.0,8.0,8.0,0.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,11.0,12.0,13.0,10.0,8.0,9.0,11.0,8.0,9.0,8.0,7.0,10.0,9.0,9.0,9.0,12.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0
>ENST00000443400.1,8.0,7.0,8.0,10.0,0.0,8.0,7.0,8.0,8.0,10.0,9.0,8.0,10.0,10.0,10.0,7.0,8.0,11.0,10.0,8.0,9.0,9.0,11.0,7.0,9.0,9.0,7.0,9.0,9.0,10.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,11.0,9.0,8.0,7.0,9.0,8.0,12.0,9.0,7.0,10.0,11.0,8.0,8.0,8.0
>ENST00000448802.1,10.0,8.0,10.0,10.0,8.0,0.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,8.0,13.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,11.0,8.0,11.0,9.0,11.0,8.0,12.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,10.0
>ENST00000604869.1,9.0,8.0,9.0,8.0,7.0,9.0,0.0,9.0,7.0,10.0,10.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,9.0,7.0,10.0,7.0,13.0,8.0,9.0,9.0,8.0,9.0,11.0,8.0,8.0,12.0,8.0,8.0,8.0,10.0,9.0,8.0,7.0,9.0,10.0,8.0,10.0,9.0,8.0,8.0,11.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0
>ENST00000507811.2,12.0,10.0,10.0,10.0,8.0,10.0,9.0,0.0,9.0,11.0,10.0,9.0,10.0,13.0,11.0,9.0,10.0,10.0,10.0,13.0,9.0,8.0,10.0,9.0,11.0,9.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,11.0,12.0,11.0,8.0,12.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0
>ENST00000604493.1,8.0,9.0,10.0,9.0,8.0,9.0,7.0,9.0,0.0,10.0,9.0,11.0,10.0,11.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,7.0,10.0,8.0,9.0,9.0,7.0,11.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,10.0,8.0,10.0,10.0,9.0,13.0,9.0,10.0,8.0,7.0,10.0,12.0
>ENST00000620027.5,10.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,0.0,10.0,10.0,12.0,11.0,13.0,10.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,8.0,12.0,10.0,9.0,11.0,13.0,11.0,8.0,10.0,10.0,12.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,12.0,10.0,11.0,12.0,9.0,11.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0
