,>ENST00000435601.1,>ENST00000463958.1,>ENST00000436728.1,>ENST00000630128.1,ENSG00000128285.4,>ENST00000517759.1,>ENST00000444633.1,>ENST00000557593.1,>ENST00000530816.1,ENSG00000144043.11,>ENST00000513396.1,>ENST00000412499.1,>ENST00000560290.1,>ENST00000443540.1,>ENST00000604259.5,>ENST00000505613.1,>ENST00000559747.1,>ENST00000585464.1,>ENST00000453064.1,>ENST00000598671.1,>ENST00000449940.1,>ENST00000604797.1
>ENST00000435601.1,0.0,10.0,11.0,8.0,14.0,12.0,11.0,9.0,13.0,12.0,11.0,14.0,12.0,9.0,11.0,11.0,10.0,9.0,12.0,13.0,10.0,10.0
>ENST00000463958.1,10.0,0.0,10.0,6.0,9.0,9.0,10.0,7.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,12.0,9.0
>ENST00000436728.1,11.0,10.0,0.0,7.0,10.0,8.0,10.0,7.0,9.0,12.0,11.0,11.0,10.0,9.0,10.0,9.0,8.0,8.0,11.0,8.0,10.0,11.0
>ENST00000630128.1,8.0,6.0,7.0,0.0,10.0,7.0,8.0,7.0,7.0,28.0,8.0,25.0,8.0,6.0,6.0,9.0,9.0,6.0,9.0,9.0,8.0,8.0
ENSG00000128285.4,14.0,9.0,10.0,10.0,0.0,10.0,11.0,9.0,12.0,19.0,11.0,12.0,14.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,10.0,10.0
>ENST00000517759.1,12.0,9.0,8.0,7.0,10.0,0.0,9.0,8.0,11.0,11.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,7.0,9.0,10.0,11.0,9.0
>ENST00000444633.1,11.0,10.0,10.0,8.0,11.0,9.0,0.0,8.0,10.0,11.0,12.0,11.0,10.0,8.0,9.0,10.0,9.0,8.0,11.0,10.0,10.0,13.0
>ENST00000557593.1,9.0,7.0,7.0,7.0,9.0,8.0,8.0,0.0,10.0,12.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,7.0,8.0,10.0,8.0,9.0
>ENST00000530816.1,13.0,10.0,9.0,7.0,12.0,11.0,10.0,10.0,0.0,11.0,10.0,10.0,12.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0,10.0
ENSG00000144043.11,12.0,11.0,12.0,28.0,19.0,11.0,11.0,12.0,11.0,0.0,12.0,117.0,13.0,11.0,11.0,12.0,11.0,10.0,15.0,10.0,11.0,11.0
>ENST00000513396.1,11.0,9.0,11.0,8.0,11.0,9.0,12.0,8.0,10.0,12.0,0.0,11.0,15.0,10.0,10.0,9.0,10.0,8.0,11.0,11.0,9.0,9.0
>ENST00000412499.1,14.0,10.0,11.0,25.0,12.0,11.0,11.0,10.0,10.0,117.0,11.0,0.0,11.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0
>ENST00000560290.1,12.0,9.0,10.0,8.0,14.0,9.0,10.0,9.0,12.0,13.0,15.0,11.0,0.0,11.0,10.0,9.0,11.0,9.0,12.0,9.0,11.0,9.0
>ENST00000443540.1,9.0,9.0,9.0,6.0,11.0,10.0,8.0,9.0,9.0,11.0,10.0,12.0,11.0,0.0,13.0,8.0,12.0,7.0,9.0,9.0,8.0,9.0
>ENST00000604259.5,11.0,9.0,10.0,6.0,11.0,9.0,9.0,8.0,9.0,11.0,10.0,11.0,10.0,13.0,0.0,8.0,10.0,9.0,10.0,9.0,7.0,10.0
>ENST00000505613.1,11.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,12.0,9.0,11.0,9.0,8.0,8.0,0.0,9.0,8.0,14.0,10.0,9.0,11.0
>ENST00000559747.1,10.0,8.0,8.0,9.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,12.0,10.0,9.0,0.0,9.0,9.0,11.0,9.0,9.0
>ENST00000585464.1,9.0,8.0,8.0,6.0,9.0,7.0,8.0,7.0,9.0,10.0,8.0,10.0,9.0,7.0,9.0,8.0,9.0,0.0,9.0,8.0,7.0,8.0
>ENST00000453064.1,12.0,9.0,11.0,9.0,11.0,9.0,11.0,8.0,9.0,15.0,11.0,12.0,12.0,9.0,10.0,14.0,9.0,9.0,0.0,10.0,9.0,9.0
>ENST00000598671.1,13.0,11.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,0.0,11.0,9.0
>ENST00000449940.1,10.0,12.0,10.0,8.0,10.0,11.0,10.0,8.0,12.0,11.0,9.0,10.0,11.0,8.0,7.0,9.0,9.0,7.0,9.0,11.0,0.0,9.0
>ENST00000604797.1,10.0,9.0,11.0,8.0,10.0,9.0,13.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,8.0,9.0,9.0,9.0,0.0
