,>ENST00000400348.3,>ENST00000479738.1,>ENST00000434191.1,>ENST00000617319.1,>ENST00000479856.1,>ENST00000574177.1,ENSG00000201071.1,>ENST00000583887.1,>ENST00000533973.1,>ENST00000448009.1,>ENST00000503164.1,>ENST00000582078.2,>ENST00000602994.1,>ENST00000424277.2,>ENST00000575289.1,>ENST00000425307.1,>ENST00000443084.1,>ENST00000530354.1,>ENST00000449892.1,>ENST00000615580.1,>ENST00000622492.1,>ENST00000527592.1,>ENST00000564941.1,>ENST00000478031.1,>ENST00000478593.1,>ENST00000513820.1,>ENST00000405487.1,>ENST00000565251.2,>ENST00000616744.1,>ENST00000436148.1,>ENST00000511640.1,>ENST00000584490.1,ENSG00000238406.1,>ENST00000445936.1,>ENST00000616104.1,>ENST00000508142.1,>ENST00000511727.1,>ENST00000446155.1,>ENST00000416706.2,>ENST00000591146.2,>ENST00000513509.1,>ENST00000504389.2,>ENST00000468627.1,>ENST00000538229.2,>ENST00000486397.1,>ENST00000579571.1,>ENST00000559385.1,>ENST00000436287.1,>ENST00000620291.1
>ENST00000400348.3,0.0,11.0,10.0,13.0,10.0,13.0,11.0,9.0,14.0,10.0,12.0,9.0,11.0,10.0,10.0,11.0,11.0,13.0,11.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,12.0,10.0,9.0,13.0,10.0,13.0,10.0,14.0,10.0,13.0,12.0,10.0,13.0,9.0,9.0,11.0,14.0,10.0,11.0
>ENST00000479738.1,11.0,0.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,7.0,11.0,9.0,11.0,9.0,9.0,11.0,9.0,7.0,14.0,10.0,11.0,8.0,8.0,13.0,11.0,9.0,9.0,10.0,11.0,8.0,8.0,12.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,10.0,8.0,11.0,11.0,9.0
>ENST00000434191.1,10.0,9.0,0.0,9.0,8.0,8.0,7.0,9.0,10.0,9.0,7.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,7.0,8.0,8.0,10.0,9.0,10.0,7.0,8.0,14.0,8.0,6.0,9.0,8.0,7.0,10.0,9.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,7.0
>ENST00000617319.1,13.0,10.0,9.0,0.0,8.0,10.0,8.0,9.0,12.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,7.0,8.0,9.0,8.0,12.0,9.0,11.0,12.0,8.0,8.0,9.0,10.0,10.0,11.0,15.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,10.0
>ENST00000479856.1,10.0,9.0,8.0,8.0,0.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,12.0,11.0,9.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,10.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,11.0,9.0,9.0
>ENST00000574177.1,13.0,9.0,8.0,10.0,9.0,0.0,9.0,9.0,9.0,11.0,11.0,8.0,10.0,9.0,9.0,10.0,11.0,11.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,12.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0
ENSG00000201071.1,11.0,9.0,7.0,8.0,7.0,9.0,0.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,9.0,8.0,6.0,7.0,8.0,9.0,7.0,7.0,8.0,9.0,7.0,7.0,10.0,8.0,6.0,7.0,9.0,7.0,8.0,7.0,7.0,6.0,7.0,6.0,9.0,7.0,7.0,9.0,6.0,9.0,7.0,6.0
>ENST00000583887.1,9.0,9.0,9.0,9.0,8.0,9.0,7.0,0.0,11.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,14.0,8.0,7.0,8.0,9.0,8.0,10.0,7.0,9.0,11.0,7.0,8.0,10.0,10.0,7.0,7.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0
>ENST00000533973.1,14.0,9.0,10.0,12.0,9.0,9.0,8.0,11.0,0.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,12.0,9.0,11.0,11.0,9.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,10.0,11.0,9.0,14.0,9.0,12.0,9.0,10.0,9.0,10.0,10.0,12.0,11.0
>ENST00000448009.1,10.0,9.0,9.0,10.0,9.0,11.0,7.0,8.0,9.0,0.0,8.0,7.0,10.0,10.0,10.0,8.0,9.0,11.0,11.0,8.0,11.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,8.0,10.0,10.0,9.0,8.0,9.0,12.0,9.0,8.0,9.0,11.0,9.0,8.0
>ENST00000503164.1,12.0,14.0,7.0,10.0,9.0,11.0,8.0,8.0,10.0,8.0,0.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,11.0,8.0,9.0,11.0,11.0,9.0,8.0,10.0,10.0,8.0,7.0,11.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,13.0,9.0,10.0,8.0,10.0,9.0,8.0
>ENST00000582078.2,9.0,7.0,9.0,10.0,8.0,8.0,7.0,9.0,11.0,7.0,9.0,0.0,8.0,9.0,9.0,7.0,8.0,9.0,10.0,8.0,6.0,8.0,8.0,7.0,7.0,10.0,9.0,9.0,7.0,7.0,10.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,10.0,7.0,7.0,8.0,9.0,9.0,8.0
>ENST00000602994.1,11.0,11.0,9.0,11.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,8.0,0.0,10.0,10.0,9.0,10.0,12.0,14.0,11.0,12.0,9.0,10.0,8.0,9.0,10.0,13.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,12.0,10.0,10.0
>ENST00000424277.2,10.0,9.0,7.0,10.0,9.0,9.0,7.0,9.0,10.0,10.0,9.0,9.0,10.0,0.0,10.0,10.0,12.0,10.0,11.0,9.0,9.0,10.0,9.0,8.0,8.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,6.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,11.0,9.0
>ENST00000575289.1,10.0,11.0,9.0,11.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,0.0,8.0,9.0,12.0,10.0,9.0,8.0,9.0,9.0,10.0,7.0,11.0,10.0,9.0,10.0,8.0,9.0,11.0,7.0,11.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0,7.0
>ENST00000425307.1,11.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,7.0,9.0,10.0,8.0,0.0,9.0,12.0,9.0,7.0,9.0,8.0,9.0,8.0,8.0,11.0,11.0,7.0,7.0,9.0,9.0,7.0,7.0,11.0,7.0,9.0,10.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0
>ENST00000443084.1,11.0,9.0,8.0,9.0,12.0,11.0,7.0,8.0,10.0,9.0,8.0,8.0,10.0,12.0,9.0,9.0,0.0,11.0,10.0,10.0,9.0,10.0,8.0,8.0,9.0,11.0,11.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,12.0,10.0
