,>ENST00000455684.1,>ENST00000422015.1,>ENST00000458047.1,>ENST00000548456.1,>ENST00000416584.1,>ENST00000401596.1,>ENST00000503762.1,>ENST00000447680.1,>ENST00000434429.2,>ENST00000533936.1,>ENST00000450941.1,>ENST00000529649.2,>ENST00000523156.1,>ENST00000503430.1,>ENST00000605667.1,>ENST00000511060.2,>ENST00000378775.3,>ENST00000443382.1,>ENST00000615272.1,>ENST00000485355.1,>ENST00000618593.1,>ENST00000428356.1,ENSG00000107018.7,>ENST00000564926.3,>ENST00000456373.1,>ENST00000402760.2,>ENST00000527787.2,>ENST00000537692.1,>ENST00000442306.2,>ENST00000604197.1,>ENST00000442248.1,>ENST00000532142.1,>ENST00000454229.1,>ENST00000436818.2,>ENST00000435209.1,>ENST00000420084.1,>ENST00000426641.3,ENSG00000272215.1
>ENST00000455684.1,0.0,10.0,8.0,10.0,8.0,11.0,10.0,9.0,10.0,8.0,11.0,13.0,12.0,10.0,15.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,6.0
>ENST00000422015.1,10.0,0.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,12.0,11.0,12.0,8.0,11.0,13.0,11.0,8.0,11.0,9.0,12.0,11.0,10.0,13.0,11.0,11.0,9.0,10.0,9.0,12.0,10.0,10.0,12.0,9.0,13.0,12.0,10.0
>ENST00000458047.1,8.0,9.0,0.0,10.0,8.0,10.0,9.0,10.0,7.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,7.0,11.0,8.0,11.0,14.0,10.0,10.0,8.0,11.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0,10.0,11.0,8.0,8.0,10.0,8.0
>ENST00000548456.1,10.0,9.0,10.0,0.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,7.0,9.0,7.0,10.0,8.0,10.0,9.0,9.0,11.0,8.0,7.0,7.0,10.0,8.0,11.0,8.0,10.0,10.0,8.0,9.0,8.0,9.0
>ENST00000416584.1,8.0,9.0,8.0,8.0,0.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,8.0,11.0,8.0,11.0,10.0,10.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,14.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0
>ENST00000401596.1,11.0,10.0,10.0,9.0,10.0,0.0,11.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,8.0,11.0,7.0,10.0,8.0,9.0,13.0,11.0,12.0,8.0,13.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,10.0,8.0
>ENST00000503762.1,10.0,9.0,9.0,8.0,10.0,11.0,0.0,10.0,9.0,9.0,9.0,9.0,12.0,12.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,11.0,10.0,11.0,11.0,8.0,10.0,9.0,9.0,11.0,8.0,9.0,11.0,9.0,10.0,10.0,8.0
>ENST00000447680.1,9.0,10.0,10.0,8.0,10.0,10.0,10.0,0.0,9.0,10.0,8.0,8.0,11.0,11.0,8.0,11.0,8.0,10.0,8.0,9.0,10.0,11.0,10.0,7.0,10.0,9.0,7.0,10.0,9.0,8.0,9.0,10.0,9.0,11.0,10.0,11.0,15.0,7.0
>ENST00000434429.2,10.0,10.0,7.0,9.0,11.0,10.0,9.0,9.0,0.0,10.0,9.0,10.0,12.0,9.0,8.0,9.0,8.0,11.0,9.0,11.0,7.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,11.0,9.0,9.0,9.0,7.0,12.0,10.0,9.0
>ENST00000533936.1,8.0,11.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,0.0,9.0,12.0,10.0,12.0,8.0,9.0,9.0,9.0,7.0,9.0,8.0,11.0,10.0,8.0,11.0,11.0,8.0,8.0,10.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,12.0,8.0
>ENST00000450941.1,11.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,0.0,8.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,8.0,8.0,7.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,7.0
>ENST00000529649.2,13.0,12.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,12.0,8.0,0.0,11.0,10.0,8.0,9.0,10.0,10.0,9.0,12.0,9.0,10.0,9.0,8.0,10.0,10.0,7.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,11.0,10.0,6.0
>ENST00000523156.1,12.0,11.0,9.0,10.0,10.0,10.0,12.0,11.0,12.0,10.0,10.0,11.0,0.0,11.0,9.0,13.0,11.0,12.0,9.0,10.0,9.0,12.0,13.0,11.0,11.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,8.0
>ENST00000503430.1,10.0,12.0,10.0,10.0,11.0,11.0,12.0,11.0,9.0,12.0,10.0,10.0,11.0,0.0,13.0,10.0,10.0,11.0,9.0,11.0,9.0,12.0,14.0,10.0,13.0,11.0,9.0,9.0,10.0,10.0,12.0,10.0,11.0,12.0,11.0,11.0,11.0,7.0
>ENST00000605667.1,15.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,13.0,0.0,10.0,8.0,9.0,7.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,6.0
>ENST00000511060.2,9.0,11.0,9.0,9.0,11.0,11.0,10.0,11.0,9.0,9.0,8.0,9.0,13.0,10.0,10.0,0.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,7.0
>ENST00000378775.3,10.0,13.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,10.0,11.0,10.0,8.0,9.0,0.0,10.0,7.0,8.0,7.0,8.0,11.0,7.0,9.0,8.0,9.0,10.0,8.0,7.0,9.0,9.0,10.0,8.0,7.0,9.0,11.0,5.0
>ENST00000443382.1,9.0,11.0,11.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,12.0,11.0,9.0,10.0,10.0,0.0,8.0,11.0,9.0,12.0,11.0,11.0,11.0,10.0,10.0,12.0,8.0,9.0,10.0,11.0,11.0,10.0,14.0,10.0,10.0,9.0
>ENST00000615272.1,8.0,8.0,8.0,7.0,10.0,8.0,10.0,8.0,9.0,7.0,10.0,9.0,9.0,9.0,7.0,9.0,7.0,8.0,0.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,7.0,7.0,9.0,9.0,10.0,9.0,9.0,7.0,7.0,9.0,6.0
>ENST00000485355.1,10.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,11.0,12.0,10.0,11.0,9.0,9.0,8.0,11.0,10.0,0.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,8.0,10.0,11.0,9.0,10.0,9.0,8.0,9.0,12.0,6.0
>ENST00000618593.1,10.0,9.0,14.0,8.0,9.0,13.0,11.0,10.0,7.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,7.0,9.0,8.0,8.0,0.0,11.0,11.0,8.0,11.0,8.0,8.0,9.0,8.0,11.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,7.0
>ENST00000428356.1,9.0,12.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,12.0,12.0,9.0,10.0,8.0,12.0,9.0,10.0,11.0,0.0,12.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,18.0,10.0,11.0,11.0,12.0,10.0,11.0,8.0
ENSG00000107018.7,10.0,11.0,10.0,9.0,11.0,12.0,11.0,10.0,10.0,10.0,9.0,9.0,13.0,14.0,10.0,12.0,11.0,11.0,10.0,10.0,11.0,12.0,0.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,11.0,9.0
>ENST00000564926.3,9.0,10.0,8.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,10.0,8.0,11.0,10.0,8.0,10.0,7.0,11.0,10.0,9.0,8.0,9.0,10.0,0.0,9.0,10.0,8.0,8.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,7.0
>ENST00000456373.1,10.0,13.0,11.0,11.0,10.0,13.0,11.0,10.0,9.0,11.0,10.0,10.0,11.0,13.0,9.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,11.0,9.0,0.0,11.0,11.0,9.0,10.0,10.0,13.0,14.0,12.0,11.0,9.0,10.0,11.0,8.0
>ENST00000402760.2,10.0,11.0,9.0,8.0,9.0,10.0,11.0,9.0,8.0,11.0,9.0,10.0,11.0,11.0,9.0,9.0,8.0,10.0,8.0,10.0,8.0,10.0,10.0,10.0,11.0,0.0,9.0,10.0,10.0,8.0,11.0,8.0,10.0,10.0,8.0,9.0,10.0,8.0
>ENST00000527787.2,8.0,11.0,10.0,7.0,10.0,9.0,8.0,7.0,8.0,8.0,11.0,7.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,11.0,9.0,0.0,9.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0
>ENST00000537692.1,8.0,9.0,8.0,7.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,9.0,10.0,9.0,7.0,10.0,10.0,12.0,7.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,0.0,7.0,7.0,10.0,8.0,8.0,10.0,8.0,10.0,10.0,7.0
>ENST00000442306.2,8.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,10.0,10.0,7.0,10.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,12.0,10.0,10.0,8.0,7.0,0.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0
>ENST00000604197.1,8.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,7.0,9.0,11.0,10.0,7.0,8.0,7.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,8.0,7.0,7.0,8.0,0.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,6.0
>ENST00000442248.1,11.0,12.0,9.0,11.0,14.0,9.0,11.0,9.0,11.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0,9.0,11.0,11.0,18.0,10.0,9.0,13.0,11.0,8.0,10.0,8.0,9.0,0.0,9.0,10.0,12.0,10.0,11.0,10.0,8.0
>ENST00000532142.1,10.0,10.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,14.0,8.0,9.0,8.0,9.0,8.0,9.0,0.0,9.0,9.0,8.0,8.0,11.0,7.0
>ENST00000454229.1,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,11.0,11.0,9.0,12.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,0.0,9.0,9.0,10.0,10.0,6.0
>ENST00000436818.2,9.0,12.0,11.0,10.0,9.0,11.0,11.0,11.0,9.0,9.0,11.0,10.0,11.0,12.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,12.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,12.0,9.0,9.0,0.0,9.0,10.0,10.0,8.0
>ENST00000435209.1,10.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,7.0,9.0,11.0,9.0,10.0,11.0,9.0,10.0,7.0,14.0,7.0,8.0,10.0,12.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,0.0,8.0,9.0,8.0
>ENST00000420084.1,9.0,13.0,8.0,9.0,10.0,8.0,10.0,11.0,12.0,9.0,10.0,11.0,10.0,11.0,8.0,10.0,9.0,10.0,7.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,8.0,10.0,10.0,8.0,0.0,11.0,7.0
>ENST00000426641.3,10.0,12.0,10.0,8.0,9.0,10.0,10.0,15.0,10.0,12.0,11.0,10.0,11.0,11.0,8.0,9.0,11.0,10.0,9.0,12.0,9.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,11.0,0.0,9.0
ENSG00000272215.1,6.0,10.0,8.0,9.0,9.0,8.0,8.0,7.0,9.0,8.0,7.0,6.0,8.0,7.0,6.0,7.0,5.0,9.0,6.0,6.0,7.0,8.0,9.0,7.0,8.0,8.0,7.0,7.0,8.0,6.0,8.0,7.0,6.0,8.0,8.0,7.0,9.0,0.0
