,>ENST00000505359.1,>ENST00000583058.1,>ENST00000523715.2,>ENST00000452866.1,>ENST00000498002.1,>ENST00000532151.2,>ENST00000446470.1,>ENST00000615944.1,>ENST00000488313.1,>ENST00000435859.1,>ENST00000416807.1,>ENST00000415522.1,>ENST00000333650.7,>ENST00000438685.1,>ENST00000566851.5,>ENST00000606979.1,>ENST00000518550.1,>ENST00000610227.1,>ENST00000503807.1,>ENST00000556286.1,>ENST00000442902.1,>ENST00000498779.1,>ENST00000554200.1,>ENST00000275546.4,>ENST00000335020.2,>ENST00000567392.1,>ENST00000624635.1,>ENST00000398992.2,>ENST00000443487.2,>ENST00000584586.1,>ENST00000372993.4,>ENST00000403332.2,>ENST00000397347.2
>ENST00000505359.1,0.0,10.0,13.0,10.0,11.0,11.0,9.0,9.0,9.0,12.0,10.0,12.0,9.0,11.0,11.0,9.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0
>ENST00000583058.1,10.0,0.0,11.0,10.0,9.0,11.0,12.0,9.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,11.0,10.0,11.0,12.0,12.0,11.0,9.0,10.0,10.0,12.0,9.0,9.0,11.0,10.0,10.0,11.0,11.0,10.0
>ENST00000523715.2,13.0,11.0,0.0,8.0,9.0,10.0,8.0,7.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,8.0,9.0,9.0,11.0,8.0,9.0,11.0,8.0,9.0,8.0,11.0,11.0
>ENST00000452866.1,10.0,10.0,8.0,0.0,11.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,13.0,9.0,9.0,9.0,8.0,11.0,13.0,9.0,8.0,10.0,9.0
>ENST00000498002.1,11.0,9.0,9.0,11.0,0.0,8.0,8.0,8.0,7.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,12.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,7.0,10.0,6.0,13.0,8.0
>ENST00000532151.2,11.0,11.0,10.0,9.0,8.0,0.0,10.0,7.0,10.0,10.0,8.0,9.0,8.0,11.0,11.0,9.0,12.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,11.0,9.0
>ENST00000446470.1,9.0,12.0,8.0,10.0,8.0,10.0,0.0,11.0,7.0,8.0,9.0,12.0,8.0,9.0,8.0,10.0,9.0,8.0,11.0,9.0,8.0,8.0,10.0,11.0,9.0,7.0,7.0,9.0,8.0,8.0,6.0,10.0,8.0
>ENST00000615944.1,9.0,9.0,7.0,10.0,8.0,7.0,11.0,0.0,7.0,6.0,8.0,7.0,8.0,6.0,9.0,9.0,8.0,10.0,8.0,7.0,8.0,6.0,8.0,8.0,7.0,7.0,6.0,9.0,6.0,8.0,6.0,8.0,8.0
>ENST00000488313.1,9.0,11.0,10.0,8.0,7.0,10.0,7.0,7.0,0.0,9.0,11.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,13.0,8.0,9.0,7.0,11.0,8.0,7.0,8.0,9.0,9.0,7.0,9.0,9.0,7.0
>ENST00000435859.1,12.0,10.0,8.0,10.0,10.0,10.0,8.0,6.0,9.0,0.0,8.0,13.0,9.0,10.0,8.0,11.0,10.0,9.0,10.0,9.0,11.0,12.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,11.0,8.0
>ENST00000416807.1,10.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,11.0,8.0,0.0,10.0,9.0,12.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,7.0,10.0,9.0
>ENST00000415522.1,12.0,12.0,10.0,10.0,9.0,9.0,12.0,7.0,9.0,13.0,10.0,0.0,10.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0
