,>ENST00000624042.1,>ENST00000548131.1,>ENST00000334569.3,>ENST00000445258.1,>ENST00000623377.1,>ENST00000456305.2,>ENST00000440548.1,>ENST00000473114.1,>ENST00000563423.2,>ENST00000417812.1,>ENST00000539058.1,>ENST00000488289.1,>ENST00000429825.2,>ENST00000556574.2,>ENST00000525221.1,>ENST00000492994.1,>ENST00000446659.1,>ENST00000584963.1,>ENST00000604980.1,>ENST00000458451.1,>ENST00000487812.1,>ENST00000477247.6,>ENST00000463353.1,>ENST00000437408.1,>ENST00000433580.1,>ENSTR0000456370.6
>ENST00000624042.1,0.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,9.0,12.0,9.0,9.0,8.0,11.0
>ENST00000548131.1,8.0,0.0,13.0,5.0,7.0,8.0,7.0,7.0,8.0,6.0,10.0,6.0,7.0,7.0,7.0,10.0,6.0,10.0,9.0,9.0,9.0,8.0,7.0,6.0,8.0,7.0
>ENST00000334569.3,9.0,13.0,0.0,10.0,9.0,10.0,9.0,11.0,10.0,8.0,9.0,8.0,11.0,7.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,7.0
>ENST00000445258.1,10.0,5.0,10.0,0.0,8.0,7.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,6.0,8.0,8.0,7.0,9.0,10.0,10.0,8.0,9.0,8.0,6.0,8.0,9.0
>ENST00000623377.1,10.0,7.0,9.0,8.0,0.0,10.0,8.0,10.0,10.0,9.0,10.0,11.0,8.0,7.0,10.0,8.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,8.0,9.0,10.0
>ENST00000456305.2,10.0,8.0,10.0,7.0,10.0,0.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0
>ENST00000440548.1,8.0,7.0,9.0,10.0,8.0,8.0,0.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,11.0,10.0,9.0,13.0,8.0,8.0,6.0,7.0,8.0
>ENST00000473114.1,10.0,7.0,11.0,9.0,10.0,9.0,9.0,0.0,10.0,10.0,10.0,10.0,12.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,8.0,12.0,9.0
>ENST00000563423.2,11.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0,0.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0
>ENST00000417812.1,9.0,6.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,0.0,10.0,9.0,8.0,7.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,11.0,7.0,7.0,9.0,9.0
>ENST00000539058.1,10.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0
>ENST00000488289.1,9.0,6.0,8.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,9.0,7.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,8.0,11.0,10.0,9.0
>ENST00000429825.2,10.0,7.0,11.0,9.0,8.0,9.0,8.0,12.0,9.0,8.0,9.0,9.0,0.0,8.0,9.0,10.0,8.0,9.0,12.0,9.0,8.0,9.0,10.0,7.0,9.0,8.0
>ENST00000556574.2,10.0,7.0,7.0,6.0,7.0,9.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,0.0,8.0,7.0,8.0,7.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,7.0
>ENST00000525221.1,11.0,7.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,0.0,10.0,9.0,9.0,10.0,13.0,11.0,11.0,8.0,8.0,9.0,9.0
>ENST00000492994.1,10.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,7.0,10.0,0.0,8.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0
>ENST00000446659.1,10.0,6.0,10.0,7.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,8.0,0.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0
>ENST00000584963.1,8.0,10.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,7.0,9.0,8.0,9.0,0.0,11.0,11.0,10.0,10.0,8.0,8.0,9.0,9.0
>ENST00000604980.1,10.0,9.0,11.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,12.0,9.0,10.0,10.0,9.0,11.0,0.0,11.0,10.0,10.0,10.0,9.0,11.0,9.0
>ENST00000458451.1,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,13.0,10.0,9.0,11.0,11.0,0.0,15.0,11.0,9.0,11.0,9.0,9.0
>ENST00000487812.1,9.0,9.0,8.0,8.0,11.0,10.0,13.0,10.0,10.0,11.0,9.0,11.0,8.0,8.0,11.0,10.0,9.0,10.0,10.0,15.0,0.0,8.0,8.0,10.0,8.0,10.0
>ENST00000477247.6,12.0,8.0,10.0,9.0,11.0,10.0,8.0,11.0,10.0,11.0,9.0,11.0,9.0,9.0,11.0,8.0,8.0,10.0,10.0,11.0,8.0,0.0,11.0,8.0,11.0,10.0
>ENST00000463353.1,9.0,7.0,9.0,8.0,10.0,9.0,8.0,10.0,11.0,7.0,9.0,8.0,10.0,7.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,11.0,0.0,8.0,12.0,8.0
>ENST00000437408.1,9.0,6.0,9.0,6.0,8.0,8.0,6.0,8.0,9.0,7.0,8.0,11.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,11.0,10.0,8.0,8.0,0.0,12.0,8.0
>ENST00000433580.1,8.0,8.0,9.0,8.0,9.0,8.0,7.0,12.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,11.0,12.0,12.0,0.0,9.0
>ENSTR0000456370.6,11.0,7.0,7.0,9.0,10.0,8.0,8.0,9.0,11.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,0.0
