,>ENST00000490136.1,>ENST00000420943.1,>ENST00000405943.3,>ENST00000443577.1,>ENST00000511446.2,>ENST00000398690.3,>ENST00000325243.6,>ENST00000518920.2,>ENST00000478994.2,>ENST00000412558.1,>ENST00000612657.1,ENSG00000240767.3,>ENST00000486551.1,>ENST00000469911.1,>ENST00000444439.1,>ENST00000621860.1,>ENST00000575546.1,>ENST00000603405.1,>ENST00000480085.1,>ENST00000467115.1,ENSG00000252860.1,>ENST00000604678.1,>ENST00000305491.5,>ENST00000513456.1,>ENST00000488873.2,>ENST00000285176.12,>ENST00000585431.2,>ENST00000578341.2,>ENST00000459730.1,>ENST00000420174.1,>ENST00000603244.1,>ENST00000617367.1,>ENST00000546924.1
>ENST00000490136.1,0.0,7.0,11.0,10.0,11.0,10.0,11.0,12.0,10.0,9.0,8.0,11.0,9.0,12.0,9.0,8.0,8.0,10.0,11.0,9.0,8.0,9.0,9.0,11.0,203.0,12.0,10.0,10.0,9.0,10.0,10.0,8.0,13.0
>ENST00000420943.1,7.0,0.0,8.0,7.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,10.0,6.0,9.0,7.0,7.0,9.0,7.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,7.0,7.0,8.0
>ENST00000405943.3,11.0,8.0,0.0,9.0,9.0,8.0,9.0,12.0,9.0,10.0,9.0,12.0,7.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,11.0,11.0,10.0,11.0,7.0,9.0,9.0,8.0,8.0
>ENST00000443577.1,10.0,7.0,9.0,0.0,12.0,12.0,8.0,10.0,10.0,9.0,8.0,11.0,8.0,10.0,9.0,8.0,8.0,8.0,10.0,8.0,7.0,9.0,9.0,10.0,9.0,13.0,10.0,7.0,9.0,9.0,9.0,8.0,8.0
>ENST00000511446.2,11.0,9.0,9.0,12.0,0.0,10.0,9.0,10.0,9.0,9.0,12.0,8.0,10.0,10.0,11.0,10.0,12.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,12.0,11.0,10.0,11.0,12.0,9.0,8.0,10.0
>ENST00000398690.3,10.0,9.0,8.0,12.0,10.0,0.0,11.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,7.0,7.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0
>ENST00000325243.6,11.0,8.0,9.0,8.0,9.0,11.0,0.0,11.0,11.0,9.0,8.0,9.0,8.0,11.0,9.0,7.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,14.0,10.0,8.0,9.0
>ENST00000518920.2,12.0,7.0,12.0,10.0,10.0,9.0,11.0,0.0,9.0,9.0,9.0,9.0,7.0,11.0,11.0,7.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0
>ENST00000478994.2,10.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,0.0,8.0,10.0,10.0,9.0,11.0,11.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0
>ENST00000412558.1,9.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,0.0,9.0,8.0,12.0,8.0,9.0,7.0,8.0,7.0,10.0,9.0,9.0,9.0,8.0,9.0,12.0,13.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0
>ENST00000612657.1,8.0,7.0,9.0,8.0,12.0,9.0,8.0,9.0,10.0,9.0,0.0,8.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,7.0,9.0
ENSG00000240767.3,11.0,8.0,12.0,11.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,0.0,8.0,8.0,11.0,8.0,8.0,7.0,7.0,6.0,7.0,9.0,9.0,9.0,13.0,11.0,9.0,8.0,7.0,8.0,9.0,7.0,8.0
>ENST00000486551.1,9.0,7.0,7.0,8.0,10.0,7.0,8.0,7.0,9.0,12.0,11.0,8.0,0.0,7.0,9.0,9.0,7.0,6.0,8.0,7.0,7.0,8.0,10.0,6.0,8.0,10.0,10.0,7.0,9.0,8.0,8.0,8.0,8.0
>ENST00000469911.1,12.0,6.0,9.0,10.0,10.0,9.0,11.0,11.0,11.0,8.0,10.0,8.0,7.0,0.0,10.0,10.0,9.0,10.0,10.0,8.0,11.0,11.0,9.0,8.0,11.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0
