,>ENST00000512815.2,ENSG00000281581.1,>ENST00000438379.1,>ENST00000616254.1,>ENST00000618654.1,>ENST00000414446.1,>ENST00000436160.1,>ENST00000528913.1,>ENST00000510507.2,>ENST00000445891.1,>ENST00000413041.5,ENSG00000199157.1,>ENST00000466044.1,>ENST00000523026.1,>ENST00000454517.1,>ENST00000451083.1,>ENST00000510947.1,>ENST00000433254.1,>ENST00000424055.1,>ENST00000618187.1,>ENST00000511702.2,>ENST00000443436.1,>ENST00000490007.2
>ENST00000512815.2,0.0,7.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,10.0,11.0,8.0,9.0
ENSG00000281581.1,7.0,0.0,9.0,10.0,9.0,6.0,7.0,8.0,6.0,7.0,6.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,5.0,7.0,7.0,7.0,6.0
>ENST00000438379.1,10.0,9.0,0.0,9.0,9.0,8.0,13.0,9.0,9.0,11.0,10.0,7.0,11.0,10.0,8.0,10.0,10.0,10.0,8.0,10.0,8.0,8.0,7.0
>ENST00000616254.1,9.0,10.0,9.0,0.0,8.0,8.0,10.0,10.0,9.0,10.0,13.0,9.0,11.0,16.0,10.0,9.0,11.0,11.0,8.0,10.0,10.0,9.0,7.0
>ENST00000618654.1,10.0,9.0,9.0,8.0,0.0,9.0,9.0,12.0,8.0,9.0,8.0,6.0,10.0,8.0,11.0,6.0,8.0,13.0,11.0,9.0,8.0,8.0,6.0
>ENST00000414446.1,10.0,6.0,8.0,8.0,9.0,0.0,10.0,9.0,13.0,8.0,9.0,9.0,9.0,10.0,10.0,11.0,8.0,9.0,11.0,8.0,10.0,8.0,12.0
>ENST00000436160.1,10.0,7.0,13.0,10.0,9.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,10.0,8.0
>ENST00000528913.1,8.0,8.0,9.0,10.0,12.0,9.0,9.0,0.0,9.0,12.0,8.0,7.0,11.0,8.0,10.0,9.0,10.0,12.0,11.0,12.0,10.0,9.0,9.0
>ENST00000510507.2,9.0,6.0,9.0,9.0,8.0,13.0,9.0,9.0,0.0,9.0,10.0,8.0,9.0,10.0,12.0,9.0,11.0,12.0,7.0,9.0,9.0,8.0,9.0
>ENST00000445891.1,9.0,7.0,11.0,10.0,9.0,8.0,9.0,12.0,9.0,0.0,10.0,6.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,8.0,9.0,7.0
>ENST00000413041.5,9.0,6.0,10.0,13.0,8.0,9.0,9.0,8.0,10.0,10.0,0.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0
ENSG00000199157.1,8.0,6.0,7.0,9.0,6.0,9.0,9.0,7.0,8.0,6.0,8.0,0.0,9.0,7.0,7.0,7.0,7.0,8.0,6.0,8.0,7.0,8.0,7.0
>ENST00000466044.1,9.0,8.0,11.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,0.0,12.0,11.0,9.0,10.0,10.0,9.0,12.0,10.0,11.0,9.0
>ENST00000523026.1,9.0,7.0,10.0,16.0,8.0,10.0,11.0,8.0,10.0,9.0,9.0,7.0,12.0,0.0,9.0,8.0,9.0,12.0,8.0,13.0,13.0,9.0,8.0
>ENST00000454517.1,11.0,7.0,8.0,10.0,11.0,10.0,10.0,10.0,12.0,9.0,10.0,7.0,11.0,9.0,0.0,9.0,9.0,10.0,11.0,9.0,12.0,9.0,9.0
>ENST00000451083.1,10.0,6.0,10.0,9.0,6.0,11.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,0.0,8.0,9.0,7.0,10.0,9.0,11.0,9.0
>ENST00000510947.1,11.0,6.0,10.0,11.0,8.0,8.0,9.0,10.0,11.0,10.0,9.0,7.0,10.0,9.0,9.0,8.0,0.0,10.0,11.0,10.0,10.0,10.0,8.0
>ENST00000433254.1,10.0,8.0,10.0,11.0,13.0,9.0,11.0,12.0,12.0,9.0,10.0,8.0,10.0,12.0,10.0,9.0,10.0,0.0,9.0,12.0,9.0,10.0,9.0
>ENST00000424055.1,9.0,5.0,8.0,8.0,11.0,11.0,9.0,11.0,7.0,10.0,9.0,6.0,9.0,8.0,11.0,7.0,11.0,9.0,0.0,10.0,9.0,8.0,8.0
>ENST00000618187.1,10.0,7.0,10.0,10.0,9.0,8.0,10.0,12.0,9.0,11.0,11.0,8.0,12.0,13.0,9.0,10.0,10.0,12.0,10.0,0.0,12.0,10.0,9.0
>ENST00000511702.2,11.0,7.0,8.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0,7.0,10.0,13.0,12.0,9.0,10.0,9.0,9.0,12.0,0.0,12.0,14.0
>ENST00000443436.1,8.0,7.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,11.0,9.0,9.0,11.0,10.0,10.0,8.0,10.0,12.0,0.0,8.0
>ENST00000490007.2,9.0,6.0,7.0,7.0,6.0,12.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,14.0,8.0,0.0
