,ENSG00000211666.2,ENSG00000211662.2,ENSG00000211667.2,ENSG00000211663.2,ENSG00000211653.2,ENSG00000200011.1,ENSG00000211660.3,ENSG00000211648.2,ENSG00000174586.10,ENSG00000211659.2,ENSG00000211657.3,ENSG00000211656.3,ENSG00000211670.2,ENSG00000211664.2,ENSG00000211652.2,ENSG00000211665.2,ENSG00000211673.2,ENSG00000211655.3,ENSG00000211651.3,ENSG00000265170.2,ENSG00000211639.2,ENSG00000211640.3,ENSG00000211654.2,ENSG00000211644.2,ENSG00000239703.3,ENSG00000211641.2,ENSG00000269103.2,ENSG00000211642.2,ENSG00000211647.1
ENSG00000211666.2,0.0,30.0,16.0,21.0,67.0,7.0,419.0,44.0,10.0,19.0,43.0,198.0,26.0,359.0,22.0,19.0,24.0,54.0,52.0,9.0,20.0,27.0,26.0,52.0,8.0,35.0,9.0,37.0,26.0
ENSG00000211662.2,30.0,0.0,384.0,53.0,32.0,8.0,26.0,32.0,13.0,76.0,79.0,22.0,213.0,38.0,13.0,72.0,103.0,27.0,32.0,16.0,14.0,19.0,22.0,29.0,9.0,22.0,10.0,24.0,22.0
ENSG00000211667.2,16.0,384.0,0.0,48.0,34.0,7.0,16.0,30.0,15.0,55.0,71.0,19.0,188.0,24.0,16.0,60.0,102.0,24.0,30.0,10.0,20.0,25.0,22.0,27.0,9.0,20.0,10.0,25.0,22.0
ENSG00000211663.2,21.0,53.0,48.0,0.0,45.0,7.0,18.0,30.0,14.0,49.0,81.0,17.0,55.0,25.0,19.0,40.0,48.0,24.0,30.0,9.0,17.0,14.0,22.0,26.0,8.0,17.0,8.0,43.0,22.0
ENSG00000211653.2,67.0,32.0,34.0,45.0,0.0,8.0,59.0,194.0,15.0,28.0,55.0,33.0,28.0,83.0,19.0,28.0,42.0,162.0,200.0,10.0,24.0,30.0,27.0,158.0,9.0,30.0,9.0,33.0,26.0
ENSG00000200011.1,7.0,8.0,7.0,7.0,8.0,0.0,7.0,7.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,9.0,8.0,8.0,7.0,8.0,7.0,7.0,10.0,13.0,9.0
ENSG00000211660.3,419.0,26.0,16.0,18.0,59.0,7.0,0.0,42.0,11.0,19.0,39.0,177.0,22.0,308.0,22.0,19.0,23.0,50.0,50.0,9.0,20.0,21.0,25.0,47.0,11.0,34.0,8.0,34.0,25.0
ENSG00000211648.2,44.0,32.0,30.0,30.0,194.0,7.0,42.0,0.0,14.0,28.0,39.0,28.0,26.0,55.0,15.0,28.0,35.0,368.0,477.0,8.0,25.0,22.0,24.0,155.0,9.0,16.0,9.0,27.0,21.0
ENSG00000174586.10,10.0,13.0,15.0,14.0,15.0,10.0,11.0,14.0,0.0,14.0,13.0,13.0,13.0,13.0,11.0,13.0,15.0,14.0,14.0,38.0,11.0,11.0,13.0,12.0,16.0,15.0,82.0,16.0,13.0
ENSG00000211659.2,19.0,76.0,55.0,49.0,28.0,7.0,19.0,28.0,14.0,0.0,57.0,13.0,66.0,20.0,16.0,395.0,107.0,23.0,28.0,9.0,14.0,22.0,20.0,26.0,9.0,16.0,10.0,27.0,20.0
