,>ENST00000634680.1,ENSG00000207711.1,>ENST00000416738.1,>ENST00000485809.1,>ENST00000522847.1,>ENST00000436355.2,>ENST00000423401.1,>ENST00000417082.1,>ENST00000434308.1,>ENST00000620521.1,>ENST00000549509.1,>ENST00000451988.1,>ENST00000565017.1,ENSG00000277985.1,>ENST00000547904.1,>ENST00000440136.1,>ENST00000436723.1,>ENST00000605704.1,>ENST00000451515.2,>ENST00000621265.1,>ENST00000411536.1,>ENST00000611635.4,>ENST00000528843.1,>ENST00000604442.1,>ENST00000418616.1,>ENST00000616193.1,>ENST00000436882.1,>ENST00000605605.1,ENSG00000251871.1,>ENST00000617809.1,>ENST00000266746.10,>ENST00000521066.2,>ENST00000424316.1,>ENST00000615956.1,>ENST00000428741.2,>ENST00000603801.5,>ENST00000431295.1,>ENST00000407590.1,>ENST00000530835.1,>ENST00000615444.1,>ENST00000414458.1,>ENST00000423931.1,>ENST00000582765.1,>ENST00000464118.2,>ENST00000556855.1,>ENST00000427081.2,>ENST00000469405.1
>ENST00000634680.1,0.0,9.0,10.0,11.0,16.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,8.0,9.0,12.0,8.0,10.0,11.0,10.0,12.0,11.0,10.0,8.0
ENSG00000207711.1,9.0,0.0,9.0,7.0,9.0,7.0,7.0,9.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,8.0,10.0,9.0,9.0,8.0,7.0,8.0,8.0,10.0,6.0,8.0,8.0,8.0,8.0,7.0,6.0,9.0,7.0,7.0,8.0,6.0,8.0,11.0,8.0,11.0,12.0,7.0,8.0
>ENST00000416738.1,10.0,9.0,0.0,8.0,10.0,12.0,9.0,11.0,11.0,10.0,8.0,8.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,12.0,10.0,11.0,9.0,9.0,8.0,13.0,8.0,7.0,9.0,12.0,11.0,11.0,9.0,8.0,12.0,10.0,10.0,11.0,9.0,9.0,12.0,12.0,9.0,12.0,10.0,8.0
>ENST00000485809.1,11.0,7.0,8.0,0.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,7.0,8.0,7.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,7.0,8.0,11.0,8.0,8.0,10.0,8.0,9.0
>ENST00000522847.1,16.0,9.0,10.0,10.0,0.0,13.0,9.0,11.0,11.0,12.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,10.0,10.0,8.0,11.0,13.0,10.0,9.0,12.0,13.0,10.0,10.0,7.0,9.0,15.0,10.0,10.0,10.0,8.0,10.0,12.0,9.0,10.0,9.0,11.0,12.0,9.0,9.0,11.0,8.0,8.0
>ENST00000436355.2,10.0,7.0,12.0,9.0,13.0,0.0,10.0,10.0,10.0,11.0,8.0,9.0,8.0,8.0,11.0,11.0,10.0,9.0,8.0,14.0,10.0,11.0,10.0,9.0,12.0,9.0,10.0,9.0,6.0,9.0,11.0,10.0,10.0,8.0,8.0,15.0,8.0,8.0,12.0,7.0,10.0,12.0,10.0,9.0,10.0,9.0,9.0
>ENST00000423401.1,9.0,7.0,9.0,8.0,9.0,10.0,0.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,8.0,8.0,7.0,10.0,12.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,8.0
>ENST00000417082.1,10.0,9.0,11.0,10.0,11.0,10.0,9.0,0.0,9.0,9.0,8.0,8.0,12.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,11.0,14.0,10.0,9.0,11.0,9.0,11.0,9.0,8.0,12.0,11.0,8.0,10.0,9.0,9.0,12.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,9.0,12.0,9.0,9.0
>ENST00000434308.1,10.0,8.0,11.0,8.0,11.0,10.0,8.0,9.0,0.0,9.0,9.0,9.0,10.0,9.0,10.0,40.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,9.0,12.0,9.0,10.0,9.0,9.0,12.0,8.0,8.0,11.0,9.0,9.0,10.0,11.0,9.0,11.0,8.0,11.0
>ENST00000620521.1,11.0,8.0,10.0,9.0,12.0,11.0,9.0,9.0,9.0,0.0,11.0,8.0,7.0,8.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,9.0,6.0,10.0,12.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,7.0,8.0
>ENST00000549509.1,9.0,7.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,11.0,0.0,8.0,9.0,7.0,8.0,10.0,8.0,8.0,7.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,15.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0
>ENST00000451988.1,9.0,6.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,0.0,9.0,7.0,9.0,8.0,8.0,7.0,9.0,7.0,13.0,10.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,10.0,7.0,9.0,12.0,8.0,8.0,6.0,9.0,9.0,7.0,8.0,10.0,9.0,9.0,10.0,7.0,9.0
