,>ENST00000491096.1,>ENST00000413598.1,>ENST00000569776.2,>ENST00000519351.1,>ENST00000426799.1,>ENST00000449669.1,>ENST00000455776.1,>ENST00000495231.1,>ENST00000510438.1,>ENST00000456360.5,>ENST00000453783.1,>ENST00000503900.1,>ENST00000422141.1,>ENST00000401555.2,>ENST00000412474.1,>ENST00000416486.2,>ENST00000443754.1,>ENST00000419236.1,>ENST00000460282.1,>ENST00000416024.1,>ENST00000594712.1,>ENST00000427672.1,>ENST00000419384.1,>ENST00000450289.1,>ENST00000395772.3,>ENST00000455337.1,>ENST00000450788.1,>ENST00000457096.1,>ENST00000436391.1,>ENST00000429337.1,>ENST00000508114.1,>ENST00000553845.1,>ENST00000492704.1,>ENST00000471495.1,>ENST00000491450.1,>ENST00000401856.1,>ENST00000601155.1,>ENST00000431831.1,>ENST00000255500.2,>ENST00000493874.1,>ENST00000515074.1,>ENST00000435924.1,>ENST00000313544.2,>ENST00000584002.1,>ENST00000602494.1,>ENST00000437208.1,>ENST00000519856.1,>ENST00000320802.6,>ENST00000483119.2,>ENST00000582658.1,>ENST00000479473.1,>ENST00000622497.1,>ENST00000557601.2,>ENST00000405153.1,>ENST00000564330.1,>ENST00000605360.1,>ENST00000563214.1,>ENST00000432501.1,>ENST00000414685.1
>ENST00000491096.1,0.0,10.0,8.0,10.0,9.0,11.0,8.0,9.0,10.0,9.0,11.0,10.0,11.0,8.0,8.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,11.0,8.0,8.0,10.0,10.0,9.0,9.0,12.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0
>ENST00000413598.1,10.0,0.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,12.0,13.0,11.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,11.0,9.0,12.0,8.0,10.0,10.0,9.0,7.0,7.0,8.0,12.0,9.0,8.0,8.0,8.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0
>ENST00000569776.2,8.0,8.0,0.0,6.0,8.0,10.0,9.0,8.0,9.0,7.0,7.0,8.0,10.0,8.0,7.0,8.0,9.0,7.0,7.0,9.0,6.0,7.0,7.0,8.0,9.0,8.0,10.0,8.0,9.0,7.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,10.0,8.0,8.0,10.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,7.0
>ENST00000519351.1,10.0,8.0,6.0,0.0,8.0,8.0,11.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,7.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,7.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,6.0,7.0,10.0,9.0,8.0,7.0,9.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0,7.0,11.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,11.0,8.0
>ENST00000426799.1,9.0,9.0,8.0,8.0,0.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,11.0,13.0,11.0,12.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,13.0,9.0,8.0,9.0,10.0,9.0,10.0,14.0,10.0,8.0
>ENST00000449669.1,11.0,9.0,10.0,8.0,10.0,0.0,8.0,10.0,10.0,13.0,10.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,11.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,10.0,8.0,11.0,9.0,9.0,8.0,9.0,10.0,13.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,12.0,10.0,8.0,8.0
>ENST00000455776.1,8.0,9.0,9.0,11.0,9.0,8.0,0.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,13.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,16.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,12.0,11.0,9.0,10.0,12.0,11.0,10.0,11.0,11.0,9.0,9.0,11.0,9.0,10.0
>ENST00000495231.1,9.0,10.0,8.0,7.0,11.0,10.0,9.0,0.0,11.0,10.0,11.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,14.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0
>ENST00000510438.1,10.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,0.0,10.0,11.0,10.0,10.0,12.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,12.0,11.0,10.0,11.0,10.0,9.0
>ENST00000456360.5,9.0,10.0,7.0,9.0,11.0,13.0,10.0,10.0,10.0,0.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,12.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,11.0,9.0,8.0,10.0,10.0,9.0,9.0,12.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,11.0,11.0,10.0,10.0
