,>ENST00000441226.2,>ENST00000561005.1,>ENST00000423297.1,>ENST00000545814.1,>ENST00000427283.1,>ENST00000419076.2,>ENST00000525146.1,>ENST00000457963.2,>ENST00000430089.1,>ENST00000439258.2,>ENST00000469219.1,>ENST00000433925.1,>ENST00000458717.1,>ENST00000457557.1,>ENST00000445732.1,>ENST00000615016.1,ENSG00000105711.10,>ENST00000436141.1,>ENST00000416946.1,>ENST00000606708.1,>ENST00000582808.1,>ENST00000562979.1,>ENST00000565194.1,>ENST00000403828.1,>ENST00000620418.1,>ENST00000418136.3,>ENST00000448649.1,>ENST00000425207.1,>ENST00000419933.2,>ENST00000497718.5,>ENST00000565115.2,>ENST00000412626.2,>ENST00000498379.1,>ENST00000429316.1,>ENST00000434543.1,>ENST00000422509.1,>ENST00000400899.2,>ENST00000427955.1,>ENST00000430462.1,>ENST00000433527.1,>ENST00000422205.1,>ENST00000502884.1,>ENST00000450823.1,>ENST00000449411.1,>ENST00000428434.1,>ENST00000450885.2,>ENST00000460866.1,>ENST00000433415.1,>ENST00000422450.1,>ENST00000573189.2,>ENST00000448273.1,>ENST00000420733.1,>ENST00000412870.1,>ENST00000437678.1,>ENST00000566124.1
>ENST00000441226.2,0.0,9.0,11.0,8.0,10.0,7.0,8.0,8.0,10.0,8.0,13.0,10.0,9.0,9.0,10.0,10.0,13.0,7.0,12.0,7.0,11.0,10.0,13.0,11.0,9.0,9.0,8.0,8.0,10.0,13.0,9.0,9.0,8.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,8.0,11.0,11.0
>ENST00000561005.1,9.0,0.0,8.0,6.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,10.0,11.0,9.0,9.0,9.0,9.0,6.0,9.0,7.0,9.0,10.0,8.0,12.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,10.0,9.0,7.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,11.0,10.0,8.0,9.0,9.0,7.0
>ENST00000423297.1,11.0,8.0,0.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,13.0,10.0,11.0,10.0,9.0,9.0,14.0,8.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,8.0,9.0,11.0,9.0,10.0,11.0,8.0,8.0,10.0,10.0,10.0,11.0,11.0,10.0,12.0,9.0,9.0,10.0,12.0,13.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,11.0
>ENST00000545814.1,8.0,6.0,9.0,0.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,11.0,10.0,11.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,14.0,8.0,10.0,11.0,7.0,8.0,12.0,7.0,8.0,10.0,7.0,8.0,10.0,7.0,9.0,7.0,9.0,8.0,8.0,9.0,12.0,8.0,8.0,9.0,10.0,9.0
>ENST00000427283.1,10.0,9.0,10.0,10.0,0.0,9.0,14.0,9.0,12.0,10.0,11.0,10.0,11.0,13.0,10.0,12.0,14.0,9.0,12.0,10.0,11.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,11.0,12.0,10.0,12.0,12.0,10.0,11.0,9.0,9.0,9.0,10.0,12.0,9.0,10.0,9.0,12.0,10.0,13.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0
>ENST00000419076.2,7.0,8.0,10.0,9.0,9.0,0.0,10.0,8.0,8.0,11.0,10.0,8.0,10.0,9.0,8.0,9.0,11.0,7.0,11.0,7.0,9.0,10.0,7.0,10.0,13.0,8.0,9.0,9.0,13.0,11.0,8.0,10.0,9.0,7.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0
>ENST00000525146.1,8.0,8.0,9.0,9.0,14.0,10.0,0.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,8.0,10.0,10.0,17.0,11.0,8.0,10.0,9.0,9.0,12.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0
>ENST00000457963.2,8.0,9.0,9.0,9.0,9.0,8.0,10.0,0.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,11.0,8.0,9.0,9.0,8.0,10.0,12.0,8.0,10.0,8.0,9.0,12.0,10.0,10.0,7.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,11.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0
>ENST00000430089.1,10.0,8.0,10.0,10.0,12.0,8.0,9.0,8.0,0.0,10.0,9.0,9.0,8.0,9.0,10.0,13.0,12.0,8.0,12.0,7.0,12.0,9.0,8.0,10.0,11.0,10.0,7.0,8.0,12.0,11.0,8.0,11.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,7.0,10.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0
>ENST00000439258.2,8.0,9.0,10.0,8.0,10.0,11.0,8.0,9.0,10.0,0.0,10.0,9.0,10.0,10.0,8.0,9.0,11.0,7.0,10.0,8.0,13.0,10.0,8.0,9.0,11.0,11.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,59.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,11.0,10.0,9.0,10.0,11.0,9.0,8.0
>ENST00000469219.1,13.0,7.0,13.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,0.0,8.0,10.0,11.0,9.0,11.0,11.0,7.0,11.0,8.0,11.0,10.0,10.0,10.0,9.0,7.0,8.0,7.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,13.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0
>ENST00000433925.1,10.0,10.0,10.0,11.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,0.0,8.0,9.0,9.0,9.0,11.0,11.0,11.0,8.0,9.0,8.0,10.0,11.0,12.0,9.0,8.0,8.0,9.0,11.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,11.0,11.0,9.0,8.0,11.0,10.0,11.0,13.0,9.0,11.0,10.0,11.0
>ENST00000458717.1,9.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,8.0,0.0,10.0,10.0,10.0,13.0,8.0,11.0,11.0,10.0,9.0,9.0,11.0,12.0,10.0,9.0,8.0,10.0,14.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0,9.0,11.0,10.0,10.0,11.0
>ENST00000457557.1,9.0,9.0,10.0,11.0,13.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,0.0,10.0,11.0,12.0,7.0,11.0,9.0,10.0,12.0,8.0,11.0,11.0,9.0,10.0,11.0,10.0,13.0,9.0,10.0,10.0,7.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,8.0,11.0,9.0,11.0,10.0,10.0,10.0,8.0,9.0,10.0,13.0
>ENST00000445732.1,10.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,0.0,10.0,11.0,7.0,10.0,8.0,13.0,10.0,8.0,9.0,8.0,10.0,11.0,8.0,9.0,10.0,8.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,8.0,8.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0,7.0,9.0,10.0
