,ENSG00000182968.4,ENSG00000270601.4,ENSG00000162931.11,ENSG00000162069.14
ENSG00000182968.4,0.0,13.0,12.0,13.0
ENSG00000270601.4,13.0,0.0,72.0,71.0
ENSG00000162931.11,12.0,72.0,0.0,90.0
ENSG00000162069.14,13.0,71.0,90.0,0.0
