,>ENST00000469899.2,>ENST00000474651.1,>ENST00000407450.1,>ENST00000448467.1,>ENST00000555482.1,>ENST00000525252.1,>ENST00000509116.1,>ENST00000436076.1,>ENST00000401024.2,>ENST00000423357.1,>ENST00000412709.3,>ENST00000577406.1,>ENST00000451989.1,>ENST00000413346.1,>ENST00000444235.1,>ENST00000453691.1,>ENST00000433237.1,>ENST00000603046.1,>ENST00000504855.1,>ENST00000416931.1,>ENST00000531556.1,>ENST00000441100.1,>ENST00000402379.1,>ENST00000550637.1,>ENST00000604378.2,>ENST00000391491.2,ENSG00000122728.6,>ENST00000517728.1,>ENST00000508739.1,>ENST00000620115.1,>ENST00000520765.1,>ENST00000421074.1,ENSG00000184160.7,>ENST00000532468.2,>ENST00000592118.2
>ENST00000469899.2,0.0,10.0,11.0,10.0,7.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,14.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0
>ENST00000474651.1,10.0,0.0,13.0,11.0,9.0,8.0,10.0,10.0,11.0,10.0,10.0,12.0,12.0,10.0,10.0,9.0,9.0,11.0,13.0,10.0,13.0,9.0,11.0,9.0,11.0,10.0,14.0,9.0,10.0,9.0,13.0,9.0,12.0,10.0,11.0
>ENST00000407450.1,11.0,13.0,0.0,12.0,9.0,11.0,11.0,11.0,11.0,11.0,13.0,12.0,12.0,10.0,11.0,11.0,11.0,10.0,11.0,14.0,12.0,9.0,10.0,10.0,13.0,10.0,13.0,10.0,11.0,9.0,11.0,9.0,12.0,10.0,11.0
>ENST00000448467.1,10.0,11.0,12.0,0.0,10.0,10.0,12.0,14.0,12.0,11.0,11.0,12.0,11.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,10.0,13.0,10.0,13.0,9.0,11.0,11.0,9.0,9.0,11.0,9.0,10.0
>ENST00000555482.1,7.0,9.0,9.0,10.0,0.0,7.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,7.0,9.0,9.0,7.0,9.0,10.0,7.0,9.0,7.0,9.0,7.0,9.0,10.0,9.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0
>ENST00000525252.1,10.0,8.0,11.0,10.0,7.0,0.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0
>ENST00000509116.1,9.0,10.0,11.0,12.0,9.0,9.0,0.0,12.0,10.0,11.0,11.0,11.0,10.0,10.0,12.0,11.0,12.0,11.0,11.0,9.0,11.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,9.0,12.0
>ENST00000436076.1,9.0,10.0,11.0,14.0,9.0,8.0,12.0,0.0,10.0,12.0,9.0,10.0,10.0,13.0,12.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,7.0,9.0,12.0,8.0,12.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,12.0
>ENST00000401024.2,9.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,0.0,10.0,12.0,9.0,10.0,10.0,11.0,9.0,8.0,8.0,11.0,8.0,9.0,7.0,9.0,10.0,11.0,9.0,12.0,8.0,9.0,10.0,8.0,10.0,11.0,8.0,12.0
>ENST00000423357.1,10.0,10.0,11.0,11.0,9.0,10.0,11.0,12.0,10.0,0.0,10.0,10.0,12.0,10.0,10.0,11.0,10.0,11.0,10.0,8.0,10.0,7.0,8.0,10.0,12.0,9.0,12.0,8.0,10.0,9.0,10.0,7.0,9.0,9.0,10.0
